Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Kadis,Peter Kent,Norbert Koehl,Simon Strelchik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"Thornhill/Thornhill"," 1","Vaughan",40,29,11,17,0,97,355
35089,"Thornhill/Thornhill"," 2","Vaughan",57,24,7,19,1,108,221
35089,"Thornhill/Thornhill"," 2-1","Vaughan",86,80,9,8,2,185,339
35089,"Thornhill/Thornhill"," 3","Vaughan",72,52,2,13,1,140,315
35089,"Thornhill/Thornhill"," 3-1","Vaughan",79,58,3,11,0,151,332
35089,"Thornhill/Thornhill"," 4A","Vaughan",61,44,3,16,0,124,286
35089,"Thornhill/Thornhill"," 4B","Vaughan",68,56,3,15,1,143,296
35089,"Thornhill/Thornhill"," 5","Vaughan",89,75,16,9,3,192,357
35089,"Thornhill/Thornhill"," 5-1","Vaughan",86,106,12,32,0,236,440
35089,"Thornhill/Thornhill"," 6","Vaughan",45,73,7,21,2,148,341
35089,"Thornhill/Thornhill"," 7","Vaughan",123,84,6,15,2,230,525
35089,"Thornhill/Thornhill"," 8","Vaughan",77,92,5,20,3,197,404
35089,"Thornhill/Thornhill"," 9","Vaughan",59,59,7,23,1,149,363
35089,"Thornhill/Thornhill"," 9-1","Vaughan",61,58,8,8,0,135,344
35089,"Thornhill/Thornhill"," 10","Vaughan",46,48,4,8,0,106,266
35089,"Thornhill/Thornhill"," 10-1","Vaughan",75,75,10,11,0,171,352
35089,"Thornhill/Thornhill"," 11","Vaughan",60,125,13,13,0,211,440
35089,"Thornhill/Thornhill"," 12","Vaughan",72,109,4,14,0,199,412
35089,"Thornhill/Thornhill"," 13A","Vaughan",57,83,12,12,1,165,328
35089,"Thornhill/Thornhill"," 13B","Vaughan",65,89,11,8,1,174,341
35089,"Thornhill/Thornhill"," 14","Vaughan",97,130,11,26,2,266,531
35089,"Thornhill/Thornhill"," 15","Vaughan",44,92,2,11,0,149,291
