Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cooper,Jack McClintock,Anne Park Shannon,Adam Saab,Denise Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Victoria/Victoria"," 1","Victoria",0,81,39,21,119,0,260,518
59035,"Victoria/Victoria"," 2","Victoria",1,47,23,6,53,0,130,241
59035,"Victoria/Victoria"," 3","Victoria",0,68,49,20,138,1,276,475
59035,"Victoria/Victoria"," 4","Victoria",2,55,26,36,141,0,260,419
59035,"Victoria/Victoria"," 5","Victoria",1,69,33,59,191,0,353,577
59035,"Victoria/Victoria"," 6","Victoria",1,57,45,42,176,0,321,506
59035,"Victoria/Victoria"," 7","Victoria",1,40,25,20,91,0,177,321
59035,"Victoria/Victoria"," 8","Victoria",0,53,28,30,101,0,212,412
59035,"Victoria/Victoria"," 9","Victoria",1,119,39,5,46,1,211,385
59035,"Victoria/Victoria"," 10","Victoria",1,73,49,25,155,0,303,655
59035,"Victoria/Victoria"," 11","Victoria",1,134,55,11,75,0,276,530
59035,"Victoria/Victoria"," 12","Victoria",2,75,25,25,121,1,249,628
59035,"Victoria/Victoria"," 13","Victoria",0,39,13,17,40,0,109,205
59035,"Victoria/Victoria"," 14","Victoria",0,62,37,30,116,4,249,494
59035,"Victoria/Victoria"," 15","Victoria",0,55,18,18,66,0,157,438
59035,"Victoria/Victoria"," 16","Victoria",0,69,23,28,127,2,249,462
59035,"Victoria/Victoria"," 17","Victoria",0,33,19,29,75,1,157,415
59035,"Victoria/Victoria"," 18","Victoria",0,55,26,21,76,1,179,381
59035,"Victoria/Victoria"," 19","Victoria",0,60,43,34,138,2,277,597
59035,"Victoria/Victoria"," 20","Victoria",0,59,48,24,119,0,250,482
59035,"Victoria/Victoria"," 21","Victoria",3,61,22,30,81,0,197,376
59035,"Victoria/Victoria"," 22","Victoria",1,21,14,24,85,0,145,265
59035,"Victoria/Victoria"," 23","Victoria",0,60,35,24,163,0,282,539
59035,"Victoria/Victoria"," 24","Victoria",3,19,10,11,68,0,111,300
59035,"Victoria/Victoria"," 25","Victoria",1,58,34,32,101,0,226,474
59035,"Victoria/Victoria"," 26","Victoria",2,30,22,27,63,0,144,331
59035,"Victoria/Victoria"," 27","Victoria",0,24,22,24,127,1,198,354
59035,"Victoria/Victoria"," 28","Victoria",1,37,37,30,133,0,238,479
59035,"Victoria/Victoria"," 29","Victoria",0,62,39,42,166,5,314,502
59035,"Victoria/Victoria"," 30","Victoria",2,41,21,20,84,0,168,278
59035,"Victoria/Victoria"," 31","Victoria",0,79,48,17,129,1,274,463
59035,"Victoria/Victoria"," 32","Victoria",0,19,17,15,71,0,122,215
59035,"Victoria/Victoria"," 33","Victoria",4,72,45,26,134,2,283,579
59035,"Victoria/Victoria"," 34","Victoria",3,80,41,26,140,1,291,476
59035,"Victoria/Victoria"," 35","Victoria",1,53,26,7,62,0,149,255
59035,"Victoria/Victoria"," 36","Victoria",2,62,26,19,115,0,224,459
59035,"Victoria/Victoria"," 37","Victoria",0,33,32,30,108,2,205,407
59035,"Victoria/Victoria"," 38","Victoria",1,31,20,22,105,0,179,370
59035,"Victoria/Victoria"," 39A","Victoria",0,55,36,49,188,1,329,591
59035,"Victoria/Victoria"," 39B","Mobile poll/Bureau itinérant",Merged with No. 511A/Fusionné avec le nº 511A,,,,,,,65
59035,"Victoria/Victoria"," 40","Victoria",2,48,34,32,179,0,295,498
59035,"Victoria/Victoria"," 41","Victoria",2,78,28,25,122,0,255,444
59035,"Victoria/Victoria"," 42","Victoria",2,43,26,18,67,0,156,283
59035,"Victoria/Victoria"," 43","Victoria",1,47,27,32,103,0,210,323
59035,"Victoria/Victoria"," 44","Victoria",2,38,25,19,121,0,205,302
59035,"Victoria/Victoria"," 45","Victoria",0,28,40,35,115,0,218,352
59035,"Victoria/Victoria"," 46","Victoria",1,62,49,39,196,1,348,522
59035,"Victoria/Victoria"," 47","Victoria",0,63,35,24,133,0,255,409
59035,"Victoria/Victoria"," 48","Victoria",0,35,28,26,88,0,177,295
59035,"Victoria/Victoria"," 49","Victoria",0,38,37,22,98,0,195,326
59035,"Victoria/Victoria"," 50","Victoria",0,31,28,22,80,0,161,264
59035,"Victoria/Victoria"," 51","Saanich",1,66,50,22,77,0,216,430
59035,"Victoria/Victoria"," 52","Saanich",0,78,57,24,107,0,266,401
59035,"Victoria/Victoria"," 53","Saanich",2,77,35,31,91,1,237,380
59035,"Victoria/Victoria"," 54","Saanich",1,80,64,42,142,1,330,455
59035,"Victoria/Victoria"," 55","Saanich",0,72,53,27,90,0,242,371
59035,"Victoria/Victoria"," 56","Saanich",0,89,33,26,73,0,221,396
59035,"Victoria/Victoria"," 57","Saanich",0,68,54,14,73,0,209,371
59035,"Victoria/Victoria"," 58","Saanich",0,80,47,24,105,1,257,426
59035,"Victoria/Victoria"," 59","Saanich",1,49,30,13,83,1,177,282
59035,"Victoria/Victoria"," 60","Saanich",1,42,41,18,84,0,186,307
59035,"Victoria/Victoria"," 61","Saanich",0,104,52,40,109,0,305,440
59035,"Victoria/Victoria"," 62","Saanich",2,59,22,29,78,0,190,297
59035,"Victoria/Victoria"," 63","Saanich",2,65,34,16,108,0,225,292
59035,"Victoria/Victoria"," 64","Saanich",0,89,45,31,148,0,313,453
59035,"Victoria/Victoria"," 65","Saanich",2,46,17,22,81,1,169,266
59035,"Victoria/Victoria"," 66","Saanich",2,31,8,19,45,0,105,208
59035,"Victoria/Victoria"," 67","Saanich",0,52,34,22,133,0,241,401
59035,"Victoria/Victoria"," 68A","Saanich",1,120,129,76,141,3,470,663
59035,"Victoria/Victoria"," 68B","Saanich",0,93,93,62,94,1,343,500
