Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Sonia Jurado,Pierre-Paul Routhier,Brian Sarwer-Foner,Linda Schwey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 47","Châteauguay",45,21,35,1,56,2,160,338
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 48","Châteauguay",Merged with No. 106/Fusionné avec le nº 106,,,,,,,309
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 49","Châteauguay",72,43,56,17,72,2,262,417
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 50","Châteauguay",54,35,48,8,74,4,223,410
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 51","Châteauguay",83,27,42,9,57,2,220,401
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 52","Châteauguay",130,38,57,13,69,3,310,503
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 53A","Châteauguay",62,26,33,6,39,2,168,302
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 53B","Châteauguay",50,28,42,6,25,2,153,309
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 54","Châteauguay",68,34,22,8,43,5,180,402
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 55","Châteauguay",84,34,27,3,54,2,204,324
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 56","Châteauguay",75,33,49,8,62,1,228,417
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 57","Châteauguay",60,45,58,8,59,1,231,392
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 58","Châteauguay",101,39,44,7,39,2,232,443
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 59","Châteauguay",141,73,53,9,62,6,344,517
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 60","Châteauguay",66,50,40,5,73,3,237,372
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 61","Châteauguay",46,37,59,12,79,1,234,405
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 62","Châteauguay",54,38,53,6,64,8,223,357
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 63","Châteauguay",68,39,61,10,71,1,250,421
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 64","Châteauguay",80,32,64,5,57,5,243,447
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 65","Châteauguay",69,43,66,8,57,5,248,445
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 66","Châteauguay",80,40,36,6,55,3,220,421
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 67","Châteauguay",85,38,72,11,61,2,269,477
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 68","Châteauguay",86,37,51,5,68,3,250,396
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 69","Châteauguay",91,44,62,13,47,3,260,419
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 70","Châteauguay",53,37,42,10,56,4,202,412
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 71","Châteauguay",79,32,33,4,31,5,184,420
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 72","Châteauguay",107,49,27,8,61,4,256,523
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 73","Châteauguay",79,23,45,10,37,4,198,351
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 74","Châteauguay",71,37,47,8,53,4,220,399
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 75","Châteauguay",74,29,35,14,41,2,195,313
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 76","Châteauguay",62,36,42,8,67,3,218,342
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 77","Châteauguay",84,30,39,4,47,1,205,383
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 78","Châteauguay",72,23,41,3,34,6,179,293
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 79","Châteauguay",90,40,40,6,46,8,230,398
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 80","Châteauguay",74,51,60,14,47,4,250,410
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 81","Châteauguay",101,54,79,8,87,5,334,557
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 82","Châteauguay",109,40,36,8,49,4,246,400
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 83","Châteauguay",70,42,39,9,58,0,218,368
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 84","Mercier",149,52,56,12,68,6,343,606
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 85","Mercier",100,22,45,9,34,2,212,364
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 86","Mercier",164,80,47,10,45,3,349,582
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 87A","Mercier",116,36,27,9,29,5,222,349
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 87B","Mercier",122,29,36,5,30,2,224,374
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 88","Mercier",115,21,43,4,33,9,225,407
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 89","Mercier",191,62,48,7,48,10,366,583
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 90","Mercier",167,36,44,7,36,2,292,465
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 91","Mercier",156,48,56,13,49,7,329,517
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 92","Mercier",139,30,57,11,42,7,286,497
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 93","Mercier",104,31,37,9,19,4,204,326
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 94","Mercier",100,29,22,8,24,5,188,333
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 95","Mercier",87,19,19,3,15,5,148,294
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 96","Mercier",132,40,40,8,34,5,259,400
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 97","Mercier",180,57,51,8,39,8,343,542
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 98","Mercier",134,45,33,5,25,9,251,423
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 99","Mercier",186,36,40,5,29,7,303,493
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 100","Mercier",81,23,33,5,30,6,178,342
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 101","Saint-Isidore",125,25,30,4,23,3,210,331
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 102","Saint-Isidore",105,26,32,6,22,4,195,337
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 103","Saint-Isidore",128,26,23,3,31,6,217,356
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 104","Saint-Isidore",137,44,39,8,46,7,281,429
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 105","Saint-Isidore",156,39,56,12,41,6,310,514
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 106","Kahnawake 14",44,47,43,12,57,5,208,746
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 107","Sainte-Catherine",207,37,41,5,40,8,338,571
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 108","Sainte-Catherine",108,24,26,3,30,6,197,342
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 109","Sainte-Catherine",147,40,24,7,33,3,254,376
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 110","Sainte-Catherine",128,30,40,11,39,2,250,417
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 111","Sainte-Catherine",Merged with No. 111-1/Fusionné avec le nº 111-1,,,,,,,55
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 111-1","Sainte-Catherine",65,18,14,7,22,4,130,158
