Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Herb Davis,Judy Foote,Kaitlin Wainwright,Terry White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 1","Mainland",14,55,1,35,1,106,250
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 2","Three Rock Cove",12,24,1,22,0,59,146
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 3","Lourdes",29,72,1,60,0,162,397
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 4","Lourdes",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 5","Black Duck Brook",15,21,0,17,0,53,276
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 6","Fox Island River--Point au Mal",14,21,0,36,0,71,124
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 7","West Bay",23,27,1,33,0,84,183
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 8","Piccadilly",23,38,2,48,0,111,361
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 9","Boswarlos",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 10","Noels Pond--Cold Brook",15,41,2,60,2,120,260
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 11","Cape St. George -- Marche Pointe -- De Grau",35,45,2,63,0,145,366
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 12","Marches Point--Red Brook",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 13","Cape St. George",26,25,4,42,1,98,362
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 14","Sheaves Cove",6,9,0,16,0,31,61
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 15","Ship Cove--Lower Cove",24,24,3,31,1,83,261
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 16","Campbells Creek",8,18,0,12,0,38,58
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 17","Felix Cove",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 18A","Port au Port West--Aguathuna--Felix Cove--Boswarlos",32,50,3,44,1,130,376
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 18B","Port au Port West--Aguathuna--Felix Cove--Boswarlos",18,37,4,35,0,94,307
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 19A","Berry Head--Port au Port East",16,23,4,16,1,60,141
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 19B","Berry Head--Port au Port East",8,20,2,22,0,52,118
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 20","Port au Port East",26,39,3,38,1,107,249
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 21","Kippens",30,76,5,49,1,161,344
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 22","Kippens",16,48,3,18,0,85,183
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 22-1","Kippens",46,80,7,58,2,193,376
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 23","Kippens",52,125,7,78,1,263,547
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 24","Stephenville",29,113,3,41,0,186,413
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 24-1","Stephenville",13,27,0,18,1,59,183
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 25","Stephenville",16,57,4,50,1,128,375
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 26","Stephenville",16,63,2,30,1,112,304
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 26-1","Stephenville",7,20,2,11,1,41,184
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 27","Stephenville",12,47,2,36,0,97,235
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 28","Stephenville",29,68,9,35,1,142,431
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 29","Stephenville",28,126,3,56,2,215,482
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 30","Stephenville",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 31","Stephenville",29,91,3,61,0,184,435
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 32","Stephenville",13,39,4,54,3,113,453
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 33","Stephenville",26,94,2,50,1,173,383
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 34","Stephenville",30,74,2,54,1,161,399
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 35","Stephenville",25,83,3,59,0,170,401
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 36","Stephenville",28,64,1,50,0,143,360
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 37","Stephenville",26,36,3,34,0,99,283
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 38","Gallants--Georges Lake",3,15,1,12,0,31,58
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 39","Black Duck Siding",8,17,0,16,0,41,70
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 40","Stephenville Crossing",19,49,3,37,1,109,360
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 40-1","Stephenville Crossing",15,36,2,27,1,81,250
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 41","Stephenville Crossing",34,75,2,62,0,173,444
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 42","Stephenville Crossing",3,11,1,3,0,18,162
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 43","Stephenville Crossing",23,57,0,54,0,134,374
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 44","Mattis Point",2,6,0,6,0,14,64
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 45","St. Teresa",13,33,5,39,0,90,332
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 46","Flat Bay",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 47","St. George's",18,38,2,28,0,86,329
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 48","Barachois Brook",16,29,2,16,0,63,116
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 49","St. George's",41,93,3,49,1,187,399
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 50","St. George's",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 51","St. George's",22,64,6,41,1,134,388
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 52","Heatherton",26,23,1,37,0,87,176
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 53","Highlands",12,15,0,4,0,31,61
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 54","St. David's",47,54,3,63,0,167,342
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 55","McKay's--Jeffrey's--Cartyville",57,58,3,43,1,162,334
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 56","Robinsons",22,36,4,31,0,93,211
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 57","Codroy",31,58,1,41,0,131,307
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 58","O'Regan's--Millville--Great Codroy",34,40,4,35,0,113,248
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 59","Coal Brook--South Branch",22,38,0,42,0,102,219
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 60","Doyles--Upper Ferry",23,70,4,54,0,151,385
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 61","St. Andrew's",21,77,2,39,1,140,220
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 62","Cape Ray",22,68,5,36,0,131,300
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 63","Fox Roost-Margaree",11,62,0,14,0,87,251
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 64","Isle aux Morts",20,34,3,11,0,68,228
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 65","Isle aux Morts",39,61,0,20,0,120,363
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 66","Burnt Islands",14,57,1,15,0,87,382
