Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Barnes,Ken Cole,Alan Coxwell,Daryl Kramp,Michael McMahon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 1","Maynooth",2,44,11,104,29,0,190,332
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 2","Maynooth",0,26,15,110,27,0,178,313
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 3","Bangor",0,49,15,122,22,0,208,330
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 4","Herschel",2,13,5,68,16,0,104,239
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 5","Monteagle",0,25,10,68,24,2,129,271
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 6","Herschel",0,38,11,80,31,0,160,345
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 7","Herschel",3,30,12,150,39,1,235,520
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 8","Monteagle",0,9,2,46,10,0,67,232
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 9","Monteagle",1,41,23,79,34,1,179,409
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 10","Carlow",1,33,21,116,29,0,200,313
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 11","Mayo",0,34,14,101,36,0,185,316
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 12","Faraday",4,20,12,112,33,1,182,366
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 13","Faraday",0,36,13,121,33,2,205,365
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 14","Faraday",1,26,11,59,17,0,114,207
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 15","Bancroft",0,20,15,83,14,0,132,311
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 16","Bancroft",0,17,3,45,4,1,70,157
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 17","Bancroft",1,16,7,42,9,1,76,258
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 18","Bancroft",2,40,12,87,36,1,178,421
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 19","Dungannon",1,27,17,93,19,0,157,361
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 20","Bancroft",1,58,12,118,32,0,221,453
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 21","Bancroft",0,36,17,112,27,0,192,462
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 22","Bancroft",0,15,9,66,28,0,118,250
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 23","Dungannon",1,39,12,117,32,0,201,356
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 24","Dungannon",1,62,21,136,33,0,253,521
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 25","Wollaston",0,29,11,69,17,2,128,246
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 26","Limerick",0,16,16,43,9,1,85,173
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 27","Tudor and Cashel",0,19,5,45,16,0,85,146
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 28","Wollaston",0,38,19,136,42,0,235,413
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 29","Tudor and Cashel",0,20,10,119,18,0,167,360
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 30","Queensborough",1,10,12,54,8,0,85,176
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 31","Marmora and Lake",7,43,27,130,31,1,239,480
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 32","Marmora and Lake",4,55,23,143,35,1,261,473
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 33","Marmora and Lake",0,41,19,127,49,0,236,425
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 34","Marmora",2,24,16,86,37,1,166,400
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 35","Marmora",3,27,16,134,38,0,218,407
