Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Aglukkaq,Kirt Kootoo Ejesiak,Paul Irngaut,Peter Ittinuar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
62001,"Nunavut/Nunavut"," 1","Grise Fiord",6,18,14,6,0,44,82
62001,"Nunavut/Nunavut"," 2","Resolute",29,22,22,5,0,78,136
62001,"Nunavut/Nunavut"," 3","Nanisivik",Void/Supprimé,,,,,,
62001,"Nunavut/Nunavut"," 4","Arctic Bay",30,36,73,6,0,145,368
62001,"Nunavut/Nunavut"," 5A","Pond Inlet",46,52,83,9,1,191,420
62001,"Nunavut/Nunavut"," 5B","Pond Inlet",35,38,72,8,0,153,312
62001,"Nunavut/Nunavut"," 6","Clyde River",59,104,50,19,0,232,430
62001,"Nunavut/Nunavut"," 7A","Igloolik",51,60,227,12,0,350,436
62001,"Nunavut/Nunavut"," 7B","Igloolik",Merged with No. 7A/Fusionné avec le nº 7A,,,,,,324
62001,"Nunavut/Nunavut"," 8","Hall Beach",32,41,67,12,4,156,365
62001,"Nunavut/Nunavut"," 9","Qikiqtarjuaq",50,48,27,10,0,135,336
62001,"Nunavut/Nunavut"," 10A","Pangnirtung",50,62,83,17,0,212,450
62001,"Nunavut/Nunavut"," 10B","Pangnirtung",40,41,65,17,2,165,319
62001,"Nunavut/Nunavut"," 11A","Iqaluit",42,64,49,5,2,162,393
62001,"Nunavut/Nunavut"," 11B","Iqaluit",67,80,39,12,2,200,426
62001,"Nunavut/Nunavut"," 11C","Iqaluit",32,66,40,7,2,147,348
62001,"Nunavut/Nunavut"," 11D","Iqaluit",43,59,37,10,1,150,312
62001,"Nunavut/Nunavut"," 11E","Iqaluit",47,66,45,5,0,163,397
62001,"Nunavut/Nunavut"," 11F","Iqaluit",46,85,56,13,1,201,470
62001,"Nunavut/Nunavut"," 11G","Iqaluit",36,91,47,5,2,181,371
62001,"Nunavut/Nunavut"," 11H","Iqaluit",29,73,35,8,0,145,361
62001,"Nunavut/Nunavut"," 11I","Iqaluit",36,91,62,11,0,200,446
62001,"Nunavut/Nunavut"," 11J","Iqaluit",36,53,33,8,1,131,289
62001,"Nunavut/Nunavut"," 11K","Iqaluit",50,64,57,5,1,177,383
62001,"Nunavut/Nunavut"," 12","Kimmirut",30,55,28,10,0,123,232
62001,"Nunavut/Nunavut"," 13A","Cape Dorset",27,47,41,15,0,130,368
62001,"Nunavut/Nunavut"," 13B","Cape Dorset",32,56,53,11,0,152,378
62001,"Nunavut/Nunavut"," 14","Coral Harbour",66,23,13,11,0,113,387
62001,"Nunavut/Nunavut"," 15","Sanikiluaq",69,45,105,21,0,240,414
62001,"Nunavut/Nunavut"," 16A","Arviat",90,42,39,16,0,187,507
62001,"Nunavut/Nunavut"," 16B","Arviat",118,55,55,30,0,258,509
62001,"Nunavut/Nunavut"," 17","Whale Cove",35,29,14,8,1,87,153
62001,"Nunavut/Nunavut"," 18A","Rankin Inlet",94,68,45,52,1,260,686
62001,"Nunavut/Nunavut"," 18B","Rankin Inlet",115,69,63,30,1,278,690
62001,"Nunavut/Nunavut"," 19","Chesterfield Inlet",26,28,30,32,1,117,202
62001,"Nunavut/Nunavut"," 20A","Baker Lake",76,41,44,25,0,186,482
62001,"Nunavut/Nunavut"," 20B","Baker Lake",66,33,42,23,0,164,475
62001,"Nunavut/Nunavut"," 21","Repulse Bay",81,24,24,4,0,133,332
62001,"Nunavut/Nunavut"," 22","Kugaaruk",114,19,20,14,0,167,329
62001,"Nunavut/Nunavut"," 23","Taloyoak",129,24,32,21,1,207,428
62001,"Nunavut/Nunavut"," 24A","Gjoa Haven",Merged with No. 24B/Fusionné avec le nº 24B,,,,,,282
62001,"Nunavut/Nunavut"," 24B","Gjoa Haven",305,39,24,20,2,390,299
62001,"Nunavut/Nunavut"," 25A","Cambridge Bay",91,45,35,15,0,186,444
62001,"Nunavut/Nunavut"," 25B","Cambridge Bay",84,36,44,20,0,184,458
62001,"Nunavut/Nunavut"," 26A","Kugluktuk",61,29,27,13,2,132,383
62001,"Nunavut/Nunavut"," 26B","Kugluktuk",62,31,31,13,1,138,388
62001,"Nunavut/Nunavut"," 27","Bathurst Inlet",Void/Supprimé,,,,,,
62001,"Nunavut/Nunavut"," 28","Kugluktuk",Void/Supprimé,,,,,,
62001,"Nunavut/Nunavut"," 600","Pond Inlet",5,3,2,1,0,11,
62001,"Nunavut/Nunavut"," 601","Igloolik",3,1,16,0,0,20,
62001,"Nunavut/Nunavut"," 602","Pangnirtung",1,6,5,1,0,13,
62001,"Nunavut/Nunavut"," 603","Iqaluit",49,80,60,11,1,201,
62001,"Nunavut/Nunavut"," 604","Cape Dorset",2,5,1,0,0,8,
62001,"Nunavut/Nunavut"," 605","Baker Lake",4,2,5,5,0,16,
62001,"Nunavut/Nunavut"," 606","Rankin Inlet",11,11,7,5,0,34,
62001,"Nunavut/Nunavut"," 607","Arviat",13,14,1,3,0,31,
62001,"Nunavut/Nunavut"," 608","Gjoa Haven",Combined with No. 24B/Jumelé avec le nº 24B,,,,,,
62001,"Nunavut/Nunavut"," 609","Cambridge Bay",7,5,1,2,0,15,
62001,"Nunavut/Nunavut"," 610","Kugluktuk",11,10,8,3,0,32,
62001,"Nunavut/Nunavut",,Group 1/Groupe 1,21,33,6,19,0,79,89
62001,"Nunavut/Nunavut",,Group 2/Groupe 2,25,27,24,5,1,82,

