Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Gravelle,Ian McCracken,Louise Portelance,Steve Rutchinski,Fred Twilley,Yves Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Nickel Belt/Nickel Belt"," 1","Foleyet",33,10,18,0,3,0,0,64,202
35056,"Nickel Belt/Nickel Belt"," 2","The Cache",18,9,13,0,4,0,0,44,110
35056,"Nickel Belt/Nickel Belt"," 3","Mattagami 71",41,2,9,0,1,0,0,53,79
35056,"Nickel Belt/Nickel Belt"," 4","Gogama",33,16,17,0,2,0,0,68,165
35056,"Nickel Belt/Nickel Belt"," 5","Gogama",30,10,25,0,4,1,0,70,224
35056,"Nickel Belt/Nickel Belt"," 5-1","Shining Tree",9,2,1,0,0,0,0,12,33
35056,"Nickel Belt/Nickel Belt"," 6","Ramsey",6,8,5,0,1,0,0,20,27
35056,"Nickel Belt/Nickel Belt"," 6-1","Westree",14,7,8,0,0,0,0,29,52
35056,"Nickel Belt/Nickel Belt"," 7","Cartier",97,26,23,0,11,0,0,157,308
35056,"Nickel Belt/Nickel Belt"," 8","Onaping Falls",55,22,9,0,6,0,0,92,199
35056,"Nickel Belt/Nickel Belt"," 9","Onaping Falls",109,36,32,0,11,0,5,193,353
35056,"Nickel Belt/Nickel Belt"," 10","Onaping Falls",63,25,12,0,5,0,0,105,256
35056,"Nickel Belt/Nickel Belt"," 11","Onaping Falls",76,22,17,0,9,0,0,124,267
35056,"Nickel Belt/Nickel Belt"," 12","Onaping Falls",74,42,21,0,7,1,1,146,358
35056,"Nickel Belt/Nickel Belt"," 13","Onaping Falls",88,32,18,0,13,0,0,151,271
35056,"Nickel Belt/Nickel Belt"," 14","Onaping Falls",71,40,24,0,12,1,0,148,325
35056,"Nickel Belt/Nickel Belt"," 15","Onaping Falls",78,44,30,2,3,0,1,158,302
35056,"Nickel Belt/Nickel Belt"," 16","Onaping Falls",96,57,21,0,14,0,2,190,368
35056,"Nickel Belt/Nickel Belt"," 17","Onaping Falls",84,50,25,0,5,1,2,167,322
35056,"Nickel Belt/Nickel Belt"," 18","Onaping Falls",143,71,39,0,14,2,0,269,563
35056,"Nickel Belt/Nickel Belt"," 19","Onaping Falls",55,37,15,0,8,0,0,115,285
35056,"Nickel Belt/Nickel Belt"," 20","Rayside-Balfour",107,26,45,1,6,0,1,186,373
35056,"Nickel Belt/Nickel Belt"," 21","Rayside-Balfour",58,25,17,0,7,0,0,107,243
35056,"Nickel Belt/Nickel Belt"," 22","Rayside-Balfour",125,15,16,1,4,0,0,161,320
35056,"Nickel Belt/Nickel Belt"," 23","Rayside-Balfour",74,27,24,0,10,0,1,136,326
35056,"Nickel Belt/Nickel Belt"," 24","Rayside-Balfour",116,19,25,0,12,1,1,174,400
35056,"Nickel Belt/Nickel Belt"," 25","Rayside-Balfour",114,32,45,1,14,1,0,207,390
35056,"Nickel Belt/Nickel Belt"," 26","Rayside-Balfour",38,10,16,0,2,2,0,68,181
35056,"Nickel Belt/Nickel Belt"," 27","Rayside-Balfour",88,19,23,0,10,1,2,143,341
35056,"Nickel Belt/Nickel Belt"," 28","Rayside-Balfour",107,19,37,0,7,0,0,170,351
35056,"Nickel Belt/Nickel Belt"," 29","Rayside-Balfour",86,19,46,2,6,0,1,160,323
35056,"Nickel Belt/Nickel Belt"," 30","Rayside-Balfour",123,21,32,0,8,0,0,184,402
35056,"Nickel Belt/Nickel Belt"," 31","Rayside-Balfour",70,18,32,0,9,1,3,133,305
35056,"Nickel Belt/Nickel Belt"," 32","Rayside-Balfour",100,30,46,0,8,0,0,184,333
35056,"Nickel Belt/Nickel Belt"," 33","Rayside-Balfour",79,20,19,0,8,0,0,126,305
35056,"Nickel Belt/Nickel Belt"," 34","Rayside-Balfour",120,42,36,1,4,0,0,203,467
35056,"Nickel Belt/Nickel Belt"," 35","Rayside-Balfour",132,70,53,0,13,0,0,268,497
35056,"Nickel Belt/Nickel Belt"," 36","Rayside-Balfour",107,26,36,0,6,0,0,175,396
35056,"Nickel Belt/Nickel Belt"," 37","Rayside-Balfour",115,26,25,0,5,0,0,171,362
35056,"Nickel Belt/Nickel Belt"," 38","Rayside-Balfour",94,35,57,1,7,0,0,194,410
35056,"Nickel Belt/Nickel Belt"," 39","Rayside-Balfour",92,28,49,0,13,0,0,182,383
35056,"Nickel Belt/Nickel Belt"," 40","Rayside-Balfour",153,47,54,0,10,2,0,266,566
35056,"Nickel Belt/Nickel Belt"," 41","Rayside-Balfour",98,34,44,0,9,0,1,186,324
35056,"Nickel Belt/Nickel Belt"," 42","Rayside-Balfour",97,41,42,0,8,1,3,192,377
35056,"Nickel Belt/Nickel Belt"," 43","Rayside-Balfour",69,29,26,0,6,0,2,132,248
35056,"Nickel Belt/Nickel Belt"," 44","Rayside-Balfour",79,16,46,0,6,3,2,152,299
35056,"Nickel Belt/Nickel Belt"," 45","Rayside-Balfour",89,33,46,0,9,2,0,179,381
35056,"Nickel Belt/Nickel Belt"," 46","Rayside-Balfour",119,25,41,1,4,0,0,190,367
35056,"Nickel Belt/Nickel Belt"," 47A","Rayside-Balfour",84,27,37,1,7,1,2,159,348
35056,"Nickel Belt/Nickel Belt"," 47B","Rayside-Balfour",87,22,34,0,4,1,1,149,348
