Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Pat Cordner,Jane MacDiarmid,Kevin Walsh,Glenda Whiteman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake/Selkirk--Interlake"," 1","St. Martin",128,27,0,9,7,0,171,516
46010,"Selkirk--Interlake/Selkirk--Interlake"," 1-1","Denbeigh Point",0,0,0,0,0,0,0,4
46010,"Selkirk--Interlake/Selkirk--Interlake"," 2","Dauphin River",10,12,0,7,0,0,29,65
46010,"Selkirk--Interlake/Selkirk--Interlake"," 3","Grahamdale",143,18,0,10,4,0,175,302
46010,"Selkirk--Interlake/Selkirk--Interlake"," 4","Lake St. Martin",19,33,2,23,3,0,80,284
46010,"Selkirk--Interlake/Selkirk--Interlake"," 5","Little Saskatchewan",56,18,0,13,1,0,88,101
46010,"Selkirk--Interlake/Selkirk--Interlake"," 6A","Fairford 50",38,25,0,23,2,0,88,234
46010,"Selkirk--Interlake/Selkirk--Interlake"," 6B","Fairford 50",46,34,0,10,4,0,94,239
46010,"Selkirk--Interlake/Selkirk--Interlake"," 7","Dallas",11,10,0,4,1,1,27,45
46010,"Selkirk--Interlake/Selkirk--Interlake"," 8","Jackhead Harbour",13,37,0,7,1,1,59,139
46010,"Selkirk--Interlake/Selkirk--Interlake"," 9","Matheson Island",22,18,0,1,2,0,43,77
46010,"Selkirk--Interlake/Selkirk--Interlake"," 10A","Fisher River",22,58,1,24,4,1,110,307
46010,"Selkirk--Interlake/Selkirk--Interlake"," 10B","Fisher River",20,77,2,21,7,1,128,384
46010,"Selkirk--Interlake/Selkirk--Interlake"," 11","Little Bullhead",7,11,0,2,1,0,21,51
46010,"Selkirk--Interlake/Selkirk--Interlake"," 12","Peguis",33,101,0,16,3,1,154,367
46010,"Selkirk--Interlake/Selkirk--Interlake"," 13A","Peguis",34,78,1,5,5,2,125,341
46010,"Selkirk--Interlake/Selkirk--Interlake"," 13B","Peguis",22,83,0,8,2,0,115,338
46010,"Selkirk--Interlake/Selkirk--Interlake"," 14","Peguis",26,84,2,11,6,2,131,322
46010,"Selkirk--Interlake/Selkirk--Interlake"," 15","Hodgson",113,35,1,16,4,0,169,458
46010,"Selkirk--Interlake/Selkirk--Interlake"," 16","Fisherton",71,33,3,8,4,0,119,193
46010,"Selkirk--Interlake/Selkirk--Interlake"," 17A","Fisher Branch",81,35,0,16,7,0,139,286
46010,"Selkirk--Interlake/Selkirk--Interlake"," 17B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,22
46010,"Selkirk--Interlake/Selkirk--Interlake"," 18","Sylvan",73,41,3,12,5,1,135,292
46010,"Selkirk--Interlake/Selkirk--Interlake"," 19","Hecla",87,16,0,0,3,0,106,167
46010,"Selkirk--Interlake/Selkirk--Interlake"," 20","Okno",54,13,1,2,2,0,72,286
46010,"Selkirk--Interlake/Selkirk--Interlake"," 21","Vidir",80,27,1,11,0,0,119,287
46010,"Selkirk--Interlake/Selkirk--Interlake"," 22","Ledwyn",102,41,2,11,4,1,161,295
46010,"Selkirk--Interlake/Selkirk--Interlake"," 23","Riverton",71,61,2,11,2,1,148,336
46010,"Selkirk--Interlake/Selkirk--Interlake"," 24","Riverton",36,26,0,2,1,0,65,123
46010,"Selkirk--Interlake/Selkirk--Interlake"," 25","Framnes",104,28,0,4,3,0,139,251
46010,"Selkirk--Interlake/Selkirk--Interlake"," 26","Arborg",140,46,1,7,14,2,210,541
46010,"Selkirk--Interlake/Selkirk--Interlake"," 27","Arborg",122,50,1,9,5,3,190,318
46010,"Selkirk--Interlake/Selkirk--Interlake"," 28","Geyser",81,51,4,18,3,0,157,233
46010,"Selkirk--Interlake/Selkirk--Interlake"," 29","Hnausa",66,27,1,10,8,1,113,245
46010,"Selkirk--Interlake/Selkirk--Interlake"," 30","Siglunes",63,13,0,5,2,0,83,204
46010,"Selkirk--Interlake/Selkirk--Interlake"," 31","Moosehorn",169,50,4,11,11,0,245,393
46010,"Selkirk--Interlake/Selkirk--Interlake"," 32","Ashern",150,19,2,12,5,1,189,320
46010,"Selkirk--Interlake/Selkirk--Interlake"," 33","Ashern",88,16,0,14,1,1,120,261
46010,"Selkirk--Interlake/Selkirk--Interlake"," 34","Ashern",78,20,0,15,6,0,119,236
46010,"Selkirk--Interlake/Selkirk--Interlake"," 35","Camper",68,15,0,6,1,0,90,156
46010,"Selkirk--Interlake/Selkirk--Interlake"," 36","Dog Creek",18,19,0,17,1,0,55,330
46010,"Selkirk--Interlake/Selkirk--Interlake"," 37","Eriksdale",149,63,4,19,12,1,248,501
46010,"Selkirk--Interlake/Selkirk--Interlake"," 38","Eriksdale",115,18,0,10,3,0,146,263
46010,"Selkirk--Interlake/Selkirk--Interlake"," 39","Broad Valley",98,34,1,3,3,0,139,219
46010,"Selkirk--Interlake/Selkirk--Interlake"," 40","Chatfield",104,51,6,4,5,0,170,345
46010,"Selkirk--Interlake/Selkirk--Interlake"," 41","Minnewakan",165,22,1,12,11,0,211,394
46010,"Selkirk--Interlake/Selkirk--Interlake"," 42","Lundar",166,34,2,15,7,1,225,456
46010,"Selkirk--Interlake/Selkirk--Interlake"," 43","Rembrandt",71,41,1,8,11,0,132,250
46010,"Selkirk--Interlake/Selkirk--Interlake"," 44","Fraserwood",106,41,0,11,5,0,163,271
46010,"Selkirk--Interlake/Selkirk--Interlake"," 45","Komarno",94,45,3,10,14,0,166,311
46010,"Selkirk--Interlake/Selkirk--Interlake"," 46","Silver Harbour",195,82,2,30,14,1,324,554
46010,"Selkirk--Interlake/Selkirk--Interlake"," 47","Camp Morton",96,42,0,10,9,0,157,264
46010,"Selkirk--Interlake/Selkirk--Interlake"," 48","Loni Beach",171,74,4,36,29,3,317,549
46010,"Selkirk--Interlake/Selkirk--Interlake"," 49","Aspen Park",144,62,2,26,7,0,241,412
46010,"Selkirk--Interlake/Selkirk--Interlake"," 50","Gimli",174,64,2,31,22,1,294,610
46010,"Selkirk--Interlake/Selkirk--Interlake"," 51","Gimli",98,57,0,4,5,0,164,298
46010,"Selkirk--Interlake/Selkirk--Interlake"," 52A","Gimli",79,46,0,16,3,1,145,280
46010,"Selkirk--Interlake/Selkirk--Interlake"," 52B","Gimli",92,31,2,14,13,2,154,282
46010,"Selkirk--Interlake/Selkirk--Interlake"," 53","South Beach",188,62,0,18,11,0,279,496
46010,"Selkirk--Interlake/Selkirk--Interlake"," 54","Husavick",82,35,1,12,1,0,131,293
46010,"Selkirk--Interlake/Selkirk--Interlake"," 55","Sandy Hook",205,35,0,30,24,0,294,474
46010,"Selkirk--Interlake/Selkirk--Interlake"," 56","Winnipeg Beach",125,36,1,26,12,0,200,331
46010,"Selkirk--Interlake/Selkirk--Interlake"," 57A","Winnipeg Beach",91,62,0,19,8,0,180,342
46010,"Selkirk--Interlake/Selkirk--Interlake"," 57B","Winnipeg Beach",112,49,1,8,7,0,177,319
46010,"Selkirk--Interlake/Selkirk--Interlake"," 58","Oak Point",101,32,1,11,3,0,148,283
46010,"Selkirk--Interlake/Selkirk--Interlake"," 59","St. Laurent",56,15,0,13,2,0,86,180
46010,"Selkirk--Interlake/Selkirk--Interlake"," 60","St. Laurent",128,61,1,66,17,1,274,625
46010,"Selkirk--Interlake/Selkirk--Interlake"," 61","Inwood",145,55,2,18,9,0,229,423
46010,"Selkirk--Interlake/Selkirk--Interlake"," 62","Erinview",136,22,2,13,5,2,180,370
46010,"Selkirk--Interlake/Selkirk--Interlake"," 63","Lake Francis",83,22,3,11,5,0,124,308
46010,"Selkirk--Interlake/Selkirk--Interlake"," 64","Reaburn",98,8,0,21,3,0,130,228
46010,"Selkirk--Interlake/Selkirk--Interlake"," 65","Woodlands",210,30,1,13,14,2,270,521
