Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon Bernier,Nicole Charbonneau Barron,Pierre Diamond,Carole Lavallée,Vesna Vesic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 1","Saint-Bruno-de-Montarville",6,26,88,107,36,5,268,379
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 1-1","Saint-Bruno-de-Montarville",13,36,46,71,37,3,206,272
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 2","Saint-Bruno-de-Montarville",2,30,55,96,14,2,199,314
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 2-1","Saint-Bruno-de-Montarville",2,19,40,48,11,1,121,180
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 3","Saint-Bruno-de-Montarville",13,38,55,119,24,1,250,384
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 4","Saint-Bruno-de-Montarville",3,29,48,66,23,0,169,258
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 4-1","Saint-Bruno-de-Montarville",9,25,42,79,29,0,184,287
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 5","Saint-Bruno-de-Montarville",8,25,60,68,28,1,190,287
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 5-1","Saint-Bruno-de-Montarville",1,26,60,53,43,1,184,250
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 6","Saint-Bruno-de-Montarville",7,27,58,77,42,2,213,323
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 7","Saint-Bruno-de-Montarville",6,37,72,88,40,3,246,379
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 8","Saint-Bruno-de-Montarville",8,39,58,78,24,1,208,360
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 9","Saint-Bruno-de-Montarville",5,33,44,80,28,2,192,313
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 10","Saint-Bruno-de-Montarville",5,16,22,49,18,1,111,193
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 10-1","Saint-Bruno-de-Montarville",12,39,59,82,31,1,224,345
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 11","Saint-Bruno-de-Montarville",15,24,53,113,42,3,250,373
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 12","Saint-Bruno-de-Montarville",13,36,52,65,43,3,212,355
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 12-1","Saint-Bruno-de-Montarville",6,25,31,50,11,0,123,221
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 13","Saint-Bruno-de-Montarville",10,30,32,73,27,2,174,291
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 14","Saint-Bruno-de-Montarville",10,31,59,72,23,1,196,319
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 15","Saint-Bruno-de-Montarville",6,25,52,68,18,1,170,253
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 16","Saint-Bruno-de-Montarville",6,33,64,93,43,4,243,385
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 17","Saint-Bruno-de-Montarville",11,35,69,85,39,2,241,374
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 18","Saint-Bruno-de-Montarville",10,35,71,85,35,3,239,352
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 19","Saint-Bruno-de-Montarville",10,30,65,114,36,2,257,392
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 20","Saint-Bruno-de-Montarville",6,40,64,98,33,3,244,397
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 21","Saint-Bruno-de-Montarville",14,31,43,74,26,2,190,293
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 22A","Saint-Bruno-de-Montarville",1,6,34,44,22,2,109,182
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 22B","Saint-Bruno-de-Montarville",4,25,33,65,26,0,153,254
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 23","Saint-Bruno-de-Montarville",10,43,56,60,25,1,195,292
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 23-1","Saint-Bruno-de-Montarville",4,32,42,38,7,1,124,228
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 24","Saint-Bruno-de-Montarville",8,44,86,48,27,2,215,312
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 24-1","Saint-Bruno-de-Montarville",12,24,63,68,30,2,199,314
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 25","Saint-Bruno-de-Montarville",11,53,93,63,30,2,252,362
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 26","Saint-Bruno-de-Montarville",9,31,93,59,26,2,220,347
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 27","Saint-Bruno-de-Montarville",16,45,72,91,43,3,270,410
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 28","Saint-Bruno-de-Montarville",16,28,61,71,23,0,199,344
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 29","Saint-Bruno-de-Montarville",12,40,67,64,30,1,214,326
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 30","Saint-Bruno-de-Montarville",8,39,94,88,29,1,259,367
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 31","Saint-Bruno-de-Montarville",9,23,54,62,20,0,168,253
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 32","Saint-Bruno-de-Montarville",10,39,83,73,24,1,230,371
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 33","Saint-Bruno-de-Montarville",9,33,53,74,34,1,204,331
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 34","Saint-Bruno-de-Montarville",8,38,85,84,26,2,243,382
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 35","Saint-Bruno-de-Montarville",18,42,75,61,34,1,231,374
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 36","Saint-Bruno-de-Montarville",10,35,81,106,20,2,254,391
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 37","Saint-Bruno-de-Montarville",9,53,58,78,27,2,227,364
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 37-1","Saint-Bruno-de-Montarville",9,26,40,65,18,3,161,297
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 38","Saint-Bruno-de-Montarville",2,34,94,101,23,0,254,425
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 39","Saint-Bruno-de-Montarville",9,22,46,64,25,2,168,293
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 40","Saint-Bruno-de-Montarville",10,24,42,62,23,0,161,305
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 41","Saint-Bruno-de-Montarville",11,22,52,79,33,2,199,326
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 42","Saint-Bruno-de-Montarville",17,31,86,106,34,0,274,395
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 43","Saint-Bruno-de-Montarville",12,38,66,72,37,4,229,372
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 43-1","Saint-Bruno-de-Montarville",16,23,41,86,34,2,202,350
24062,"Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert"," 44","Saint-Bruno-de-Montarville",10,37,34,97,34,6,218,333
