Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Noreen Hartlen,David Montgomery,Carolyn Scott,Peter Stoffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 1","Beaver Bank Villa",Void/Supprimé,,,,,,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 2A","Beaver Bank",16,35,34,160,0,245,455
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 2B","Mobile poll/Bureau itinérant",3,11,14,8,0,36,47
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 3","Beaver Bank Lake",14,34,23,142,1,214,379
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 4","Kinsac",5,31,14,75,1,126,225
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 4-1","Halifax",13,42,16,139,0,210,344
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 5","Beaver Bank",12,29,23,107,0,171,314
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 6","Halifax",7,56,22,121,0,206,356
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 6-1","Halifax",7,18,17,87,0,129,213
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 7","Halifax",10,32,22,155,1,220,443
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 8","Halifax",11,43,18,81,0,153,298
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9","Halifax",5,24,14,36,0,79,149
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9-1A","Halifax",6,50,15,68,0,139,275
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9-1B","Halifax",8,41,13,83,1,146,250
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 10","Halifax",3,13,10,112,0,138,346
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 11","Halifax",7,9,7,97,0,120,342
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 12","Halifax",8,19,13,114,0,154,335
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 13","Halifax",12,79,47,131,3,272,471
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 14","Lewis Lake",13,36,23,95,1,168,334
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 15","Springfield Lake",5,28,11,65,0,109,184
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 15-1","Halifax",12,42,23,131,0,208,362
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16A","Springfield Lake",7,29,36,86,0,158,246
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16B","Springfield Lake",10,36,12,87,0,145,249
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16-1","Halifax",7,7,14,49,0,77,163
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 17","Springfield Lake",13,43,31,126,0,213,356
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 18","Springfield Lake",10,32,17,88,2,149,286
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 19","Springfield Lake",5,21,22,126,0,174,384
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 20","Upper Sackville",10,46,30,122,1,209,412
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 20-1","Halifax",0,8,7,16,0,31,55
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 21","Halifax",5,55,27,88,0,175,325
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22","Halifax",7,66,32,135,0,240,455
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22-1","Halifax",4,27,19,76,0,126,244
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 23","Halifax",6,38,18,86,1,149,232
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 23-1","Halifax",5,48,12,141,0,206,352
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 24","Halifax",14,65,24,141,0,244,395
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 25","Halifax",11,30,13,86,0,140,272
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 26","Halifax",12,26,19,121,0,178,339
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 26-1","Halifax",0,13,13,60,1,87,164
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 27","Halifax",2,29,17,74,0,122,251
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 27-1","Halifax",5,37,19,108,0,169,300
