Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raynald Blais,Denis Gauvreau,Darryl Gray,Gaston Langlais,Julien Leblanc,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 1","Murdochville",75,34,21,13,7,2,152,296
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 2","Murdochville",43,23,10,7,2,0,85,173
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 3","Murdochville",38,19,11,6,2,2,78,173
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 4","Grande-Vallée",44,12,39,4,1,1,101,240
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 5","Grande-Vallée",71,32,33,16,3,1,156,363
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 6","Grande-Vallée",76,41,39,23,1,3,183,382
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 7","Cloridorme",68,25,14,7,1,1,116,159
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 8","Cloridorme",67,58,36,6,5,1,173,442
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 9","Saint-Yvon",40,26,30,7,0,0,103,246
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 10","Saint-Yvon",Void/Supprimé,,,,,,,
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 11","Gaspé",54,20,25,20,4,4,127,369
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 12","Gaspé",37,13,12,10,0,1,73,148
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 12-1","Gaspé",Merged with No. 12/Fusionné avec le nº 12,,,,,,,82
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 13A","Gaspé",62,30,27,19,2,1,141,418
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 13B","Gaspé",48,15,27,16,0,0,106,302
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 14","Gaspé",Void/Supprimé,,,,,,,
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 15","Gaspé",26,13,8,2,1,0,50,182
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 16","Gaspé",40,29,21,8,0,0,98,300
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 16-1","Gaspé",19,16,14,4,1,0,54,206
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 17","Gaspé",44,8,20,5,2,2,81,390
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 18","Gaspé",40,11,17,13,2,1,84,272
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 19","Gaspé",44,30,13,16,2,1,106,384
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 20","Gaspé",71,9,21,12,0,3,116,472
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 21","Gaspé",67,16,10,13,5,1,112,294
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 22","Gaspé",34,9,16,6,2,0,67,200
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 23","Gaspé",73,48,25,14,3,1,164,322
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 24","Gaspé",62,32,18,12,7,2,133,258
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 25A","Gaspé",61,42,33,15,7,2,160,314
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 25B","Gaspé",Merged with No. 24/Fusionné avec le nº 24,,,,,,,59
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 26","Gaspé",59,38,45,29,3,3,177,331
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 27","Gaspé",61,53,55,54,2,4,229,503
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 28","Gaspé",23,20,17,7,0,1,68,164
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 29","Gaspé",59,33,24,16,7,0,139,337
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 30","Gaspé",77,49,28,16,12,2,184,500
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 31","Gaspé",59,40,24,21,3,5,152,382
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 32","Gaspé",34,33,20,10,5,0,102,209
24019,"Gaspésie--Îles-de-la-Madeleine/Gaspésie--Îles-de-la-Madeleine"," 33","Gaspé",97,48,31,37,6,3,222,431
