Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Bevan-Baker,J'Nan Brown,Mary Crane,Wayne Easter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 1","Baltic",14,26,113,107,2,262,404
11004,"Malpeque/Malpeque"," 2","Irishtown",17,13,106,103,2,241,382
11004,"Malpeque/Malpeque"," 3","Indian River",16,10,101,93,1,221,331
11004,"Malpeque/Malpeque"," 4","Southwest River",12,22,96,61,1,192,301
11004,"Malpeque/Malpeque"," 5","Clinton ",5,21,56,96,0,178,263
11004,"Malpeque/Malpeque"," 6","Founds Mills",26,14,117,98,2,257,420
11004,"Malpeque/Malpeque"," 7","Kelvin Grove North",17,34,121,112,2,286,520
11004,"Malpeque/Malpeque"," 8","Kensington",11,34,83,75,2,205,398
11004,"Malpeque/Malpeque"," 9","Kensington",8,27,75,69,5,184,356
11004,"Malpeque/Malpeque"," 10","Clermont",7,28,103,88,3,229,453
11004,"Malpeque/Malpeque"," 11","New Annan",10,16,94,62,0,182,321
11004,"Malpeque/Malpeque"," 12","Travellers Rest",21,26,111,86,0,244,422
11004,"Malpeque/Malpeque"," 13","North Bedeque",9,37,115,120,0,281,433
11004,"Malpeque/Malpeque"," 14","Mill Valley",6,26,69,75,0,176,329
11004,"Malpeque/Malpeque"," 15","South Freetown",19,23,79,107,1,229,356
11004,"Malpeque/Malpeque"," 16","Central Bedeque",9,16,103,93,1,222,337
11004,"Malpeque/Malpeque"," 17","Lower Bedeque",19,25,100,117,4,265,430
11004,"Malpeque/Malpeque"," 18","KinKora",9,15,114,126,1,265,414
11004,"Malpeque/Malpeque"," 19","Maple Plains",16,22,90,95,0,223,371
11004,"Malpeque/Malpeque"," 20","North Carleton",8,18,92,131,4,253,400
11004,"Malpeque/Malpeque"," 21","Borden-Carleton",16,28,89,85,0,218,357
11004,"Malpeque/Malpeque"," 22","Cape Traverse",18,23,102,97,0,240,358
11004,"Malpeque/Malpeque"," 23","Tryon",33,23,112,128,0,296,372
11004,"Malpeque/Malpeque"," 24","Stanley Bridge",23,19,95,119,3,259,387
11004,"Malpeque/Malpeque"," 25","Cavendish",18,24,127,118,3,290,396
11004,"Malpeque/Malpeque"," 26","North Rustico",19,31,110,79,2,241,354
11004,"Malpeque/Malpeque"," 27","St. Anns",21,19,87,113,1,241,351
11004,"Malpeque/Malpeque"," 28","Fredericton",11,20,86,116,0,233,395
11004,"Malpeque/Malpeque"," 29","Breadalbane",23,29,72,107,3,234,330
11004,"Malpeque/Malpeque"," 30","Springvale",18,12,58,91,1,180,295
11004,"Malpeque/Malpeque"," 31","South Rustico",27,33,122,132,3,317,421
11004,"Malpeque/Malpeque"," 32","Oyster Bed Bridge",8,14,77,106,1,206,343
11004,"Malpeque/Malpeque"," 33","Wheatley River",15,17,72,71,1,176,300
11004,"Malpeque/Malpeque"," 34","Hunter River",11,23,84,114,2,234,405
11004,"Malpeque/Malpeque"," 35","Darlington",15,16,72,117,2,222,354
11004,"Malpeque/Malpeque"," 36","Hampshire",9,16,100,65,2,192,301
11004,"Malpeque/Malpeque"," 37","Emyvale",27,25,82,146,0,280,426
11004,"Malpeque/Malpeque"," 38","Maplewood",31,28,78,112,0,249,412
11004,"Malpeque/Malpeque"," 39","Green Bay",22,28,117,120,1,288,437
11004,"Malpeque/Malpeque"," 40","Victoria",67,15,79,107,2,270,393
11004,"Malpeque/Malpeque"," 41","South Melville",33,20,93,91,1,238,378
11004,"Malpeque/Malpeque"," 42","Argyle Shore",22,21,114,109,1,267,416
11004,"Malpeque/Malpeque"," 43","Stanhope Beach",9,27,78,148,0,262,415
11004,"Malpeque/Malpeque"," 44","Covehead Road",15,28,88,135,2,268,433
11004,"Malpeque/Malpeque"," 45","Suffolk",16,31,79,146,1,273,424
11004,"Malpeque/Malpeque"," 46A","Union",3,15,16,23,0,57,77
11004,"Malpeque/Malpeque"," 46B","Union",3,23,84,65,0,175,261
11004,"Malpeque/Malpeque"," 47","Marshfield",11,28,65,74,2,180,281
11004,"Malpeque/Malpeque"," 48","Harrington",18,26,74,70,2,190,383
11004,"Malpeque/Malpeque"," 49","Brackley Point",14,24,83,114,5,240,385
11004,"Malpeque/Malpeque"," 50","North Winsloe",14,20,84,97,4,219,386
11004,"Malpeque/Malpeque"," 51","Royalty Junction",4,11,42,51,0,108,159
11004,"Malpeque/Malpeque"," 52","Winsloe",11,11,52,80,2,156,259
11004,"Malpeque/Malpeque"," 53","Brackley Beach",24,19,77,70,1,191,299
11004,"Malpeque/Malpeque"," 54","Milton Station",10,24,76,77,0,187,341
11004,"Malpeque/Malpeque"," 55","Warren Grove",16,32,45,87,3,183,288
11004,"Malpeque/Malpeque"," 56","Chateau Estates",9,24,57,73,2,165,352
11004,"Malpeque/Malpeque"," 57","Candlelight Park",11,22,68,75,0,176,355
11004,"Malpeque/Malpeque"," 58","East Wiltshire",10,16,74,85,1,186,341
11004,"Malpeque/Malpeque"," 59","Cornwall",10,26,84,71,1,192,398
11004,"Malpeque/Malpeque"," 60","Cornwall",16,25,93,91,3,228,503
11004,"Malpeque/Malpeque"," 61","Elliot Park",19,36,79,99,0,233,404
11004,"Malpeque/Malpeque"," 62","York Point",9,13,44,57,1,124,205
11004,"Malpeque/Malpeque"," 63","Primrose Point",11,32,103,112,1,259,432
11004,"Malpeque/Malpeque"," 64","Cornwall",12,26,52,72,1,163,333
11004,"Malpeque/Malpeque"," 65","Cornwall",9,17,81,80,2,189,360
11004,"Malpeque/Malpeque"," 66","Kingston",12,21,92,102,0,227,370
11004,"Malpeque/Malpeque"," 67","Stathgartney",20,29,95,108,0,252,378
