Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Esposito,Larry Horwitz,Lisa Lumley,Brian Masse,Elizabeth Rowley,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Windsor West/Windsor-Ouest"," 1","Windsor",9,28,23,70,0,0,0,130,343
35102,"Windsor West/Windsor-Ouest"," 2","Windsor",8,18,15,27,1,0,0,69,267
35102,"Windsor West/Windsor-Ouest"," 3","Windsor",4,13,11,52,2,1,2,85,420
35102,"Windsor West/Windsor-Ouest"," 4","Windsor",3,12,5,46,2,0,2,70,456
35102,"Windsor West/Windsor-Ouest"," 5","Windsor",4,32,11,75,0,2,5,129,372
35102,"Windsor West/Windsor-Ouest"," 6","Windsor",5,25,17,73,2,2,2,126,434
35102,"Windsor West/Windsor-Ouest"," 7","Windsor",4,27,15,43,0,1,0,90,402
35102,"Windsor West/Windsor-Ouest"," 8","Windsor",7,21,37,73,0,1,1,140,464
35102,"Windsor West/Windsor-Ouest"," 9","Windsor",5,32,114,72,3,1,1,228,384
35102,"Windsor West/Windsor-Ouest"," 10","Windsor",5,10,11,40,1,0,3,70,242
35102,"Windsor West/Windsor-Ouest"," 11","Windsor",7,43,16,48,0,0,1,115,410
35102,"Windsor West/Windsor-Ouest"," 12","Windsor",9,45,28,43,0,2,5,132,377
35102,"Windsor West/Windsor-Ouest"," 13","Windsor",9,35,27,91,0,0,2,164,377
35102,"Windsor West/Windsor-Ouest"," 14","Windsor",11,13,26,79,0,0,3,132,369
35102,"Windsor West/Windsor-Ouest"," 15","Windsor",10,27,31,66,1,2,1,138,362
35102,"Windsor West/Windsor-Ouest"," 16","Windsor",14,35,31,115,0,0,1,196,472
35102,"Windsor West/Windsor-Ouest"," 17","Windsor",12,32,21,80,0,0,0,145,356
35102,"Windsor West/Windsor-Ouest"," 18","Windsor",11,16,13,76,0,0,1,117,473
35102,"Windsor West/Windsor-Ouest"," 19","Windsor",4,20,9,37,0,0,0,70,253
35102,"Windsor West/Windsor-Ouest"," 20","Windsor",6,22,15,32,1,0,0,76,231
35102,"Windsor West/Windsor-Ouest"," 21","Windsor",25,21,28,61,1,1,1,138,277
35102,"Windsor West/Windsor-Ouest"," 22","Windsor",13,31,28,105,3,1,0,181,439
35102,"Windsor West/Windsor-Ouest"," 23","Windsor",8,38,31,92,1,1,0,171,475
35102,"Windsor West/Windsor-Ouest"," 24","Windsor",8,37,25,87,1,0,1,159,407
35102,"Windsor West/Windsor-Ouest"," 25","Windsor",69,140,83,193,4,3,2,494,587
35102,"Windsor West/Windsor-Ouest"," 26","Windsor",6,27,24,22,0,0,0,79,236
