Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Lois Brown,Glenn Hubbers,Tim Jones,Ray Luff,Mike Seaward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"Newmarket--Aurora/Newmarket--Aurora"," 1A","Newmarket",3,98,10,100,0,31,0,242,472
35053,"Newmarket--Aurora/Newmarket--Aurora"," 1B","Newmarket",7,110,21,84,2,25,2,251,477
35053,"Newmarket--Aurora/Newmarket--Aurora"," 1C","Newmarket",5,109,13,102,0,35,2,266,490
35053,"Newmarket--Aurora/Newmarket--Aurora"," 1-1A","Newmarket",4,61,8,46,1,14,1,135,302
35053,"Newmarket--Aurora/Newmarket--Aurora"," 1-1B","Newmarket",7,65,8,62,1,25,0,168,317
35053,"Newmarket--Aurora/Newmarket--Aurora"," 2A","Newmarket",6,57,4,64,2,6,1,140,294
35053,"Newmarket--Aurora/Newmarket--Aurora"," 2B","Newmarket",5,51,16,47,1,22,1,143,323
35053,"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",3,95,11,61,5,18,0,193,434
35053,"Newmarket--Aurora/Newmarket--Aurora"," 4","Newmarket",0,109,19,90,2,13,0,233,417
35053,"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",3,123,15,105,0,16,1,263,463
35053,"Newmarket--Aurora/Newmarket--Aurora"," 6","Newmarket",9,137,22,90,0,24,1,283,503
35053,"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",3,128,17,90,0,12,0,250,447
35053,"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",5,86,21,39,2,36,1,190,456
35053,"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",5,84,30,65,2,36,3,225,464
35053,"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",3,136,14,75,0,10,0,238,382
35053,"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",5,118,14,71,0,18,3,229,384
35053,"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",0,124,15,103,0,9,2,253,479
35053,"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",4,134,30,104,1,27,2,302,520
35053,"Newmarket--Aurora/Newmarket--Aurora"," 14","Newmarket",5,102,35,69,1,29,1,242,402
35053,"Newmarket--Aurora/Newmarket--Aurora"," 14-1","Newmarket",8,122,18,82,1,20,2,253,373
35053,"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",8,82,7,35,0,6,0,138,247
35053,"Newmarket--Aurora/Newmarket--Aurora"," 16","Newmarket",7,135,15,47,0,15,0,219,385
35053,"Newmarket--Aurora/Newmarket--Aurora"," 17","Newmarket",2,114,20,73,1,23,2,235,420
35053,"Newmarket--Aurora/Newmarket--Aurora"," 17-1","Newmarket",3,110,15,50,0,16,0,194,330
35053,"Newmarket--Aurora/Newmarket--Aurora"," 18","Newmarket",3,85,9,47,0,17,0,161,307
35053,"Newmarket--Aurora/Newmarket--Aurora"," 18-1","Newmarket",2,71,18,60,1,16,0,168,343
35053,"Newmarket--Aurora/Newmarket--Aurora"," 19","Newmarket",6,72,4,41,0,8,0,131,231
35053,"Newmarket--Aurora/Newmarket--Aurora"," 19-1","Newmarket",9,101,12,78,1,17,0,218,437
35053,"Newmarket--Aurora/Newmarket--Aurora"," 20","Newmarket",13,85,22,79,0,29,3,231,461
35053,"Newmarket--Aurora/Newmarket--Aurora"," 21","Newmarket",10,154,19,101,1,20,0,305,546
35053,"Newmarket--Aurora/Newmarket--Aurora"," 21-1","Newmarket",4,61,6,50,0,11,0,132,302
35053,"Newmarket--Aurora/Newmarket--Aurora"," 22A","Newmarket",1,62,12,48,0,12,1,136,284
35053,"Newmarket--Aurora/Newmarket--Aurora"," 22B","Newmarket",3,72,15,52,0,19,2,163,292
35053,"Newmarket--Aurora/Newmarket--Aurora"," 23","Newmarket",8,111,25,78,1,27,1,251,433
