Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dianna Allen,Craig Bridges,Andrew Moulden,Anthony Rota,Joe Sinicrope,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 1","Hillview",41,15,2,53,82,0,193,358
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 2","Dymond ",37,5,3,83,41,0,169,367
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3","Dymond ",29,4,1,119,52,0,205,396
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3-1","Temiskaming Shores",24,4,1,57,15,0,101,197
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 4","Sutton Bay",20,8,0,98,50,1,177,369
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 5","New Liskeard",30,3,1,76,39,1,150,340
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 6","New Liskeard",30,3,0,89,38,1,161,348
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7","New Liskeard",30,6,0,53,43,0,132,289
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 8","New Liskeard",12,18,1,78,46,0,155,344
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9","New Liskeard",31,12,0,90,53,0,186,350
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 10","New Liskeard",30,8,4,59,32,1,134,326
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 11","New Liskeard",34,9,0,93,36,1,173,368
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 12","New Liskeard",25,9,1,64,32,0,131,290
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 13","New Liskeard",34,8,2,89,56,0,189,417
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 14","New Liskeard",40,10,2,51,41,0,144,323
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15","New Liskeard",32,7,1,62,34,2,138,276
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 16","Haileybury",49,15,0,61,44,0,169,374
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 17","Haileybury",27,15,2,94,46,0,184,410
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 18","Haileybury",36,4,1,55,39,0,135,298
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19","Haileybury",21,7,0,46,24,0,98,248
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20","Haileybury",33,8,0,37,20,0,98,270
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 21","Haileybury",60,6,1,57,43,0,167,403
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 22","Haileybury",23,8,0,61,23,2,117,267
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23","Haileybury",42,7,1,96,54,1,201,451
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 24","North Cobalt",30,4,1,38,19,0,92,221
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25","North Cobalt",55,9,1,81,37,0,183,373
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26","Coleman",47,5,0,65,45,1,163,330
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 27","Cobalt",41,3,3,62,40,0,149,302
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 28","Cobalt",38,12,2,50,32,2,136,359
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 29","Cobalt",60,10,2,86,35,0,193,377
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 30","Latchford",40,10,0,62,47,3,162,313
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31A","Bear Island",13,6,0,40,3,1,63,76
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31B","Bear Island",Merged with No. 32/Fusionné avec le nº 32,,,,,,,168
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32","Temagami",44,27,0,74,59,2,206,314
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32-1","Temagami",15,9,0,30,23,0,77,173
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 33","Marten River",Void/Supprimé,,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 34","Marten River--Tilden Lake",21,20,0,36,70,0,147,254
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 35","Thorne",47,9,2,76,49,1,184,372
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 36","Balsam Creek",30,9,3,54,36,0,132,272
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37","Redbridge",54,16,0,54,94,2,220,425
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37-1","Feronia-Songis",16,6,0,23,35,0,80,167
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 38","Nipissing 10",22,7,0,92,20,0,141,291
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 39","North Bay ",27,10,4,104,36,0,181,387
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40","North Bay ",38,15,1,72,59,1,186,555
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 41","North Bay ",Void/Supprimé,,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42","North Bay ",10,6,1,5,10,1,33,37
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42-1","North Bay ",36,10,5,34,35,0,120,363
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42-2","North Bay ",2,2,0,1,2,0,7,24
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 43","North Bay ",31,23,2,91,70,0,217,347
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 44","North Bay ",18,6,0,75,51,0,150,344
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 45","North Bay ",33,13,0,60,25,0,131,312
