Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Pierre Bélisle,Yvon Breton,Nicole Demers,Alain Giguère,Alia Haddad,Eric Madelein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"Laval/Laval"," 1A","Laval",39,1,88,25,92,7,1,253,383
24032,"Laval/Laval"," 1B","Laval",49,0,71,13,65,7,1,206,362
24032,"Laval/Laval"," 2A","Laval",31,0,95,35,47,9,1,218,343
24032,"Laval/Laval"," 2B","Laval",30,1,71,34,33,0,4,173,289
24032,"Laval/Laval"," 3A","Laval",37,0,64,21,47,9,1,179,257
24032,"Laval/Laval"," 3B","Laval",38,0,67,13,44,2,2,166,258
24032,"Laval/Laval"," 4","Laval",33,1,88,41,57,7,4,231,436
24032,"Laval/Laval"," 5","Laval",45,0,102,38,60,7,6,258,467
24032,"Laval/Laval"," 6","Laval",37,1,128,33,38,10,5,252,421
24032,"Laval/Laval"," 7","Laval",13,2,103,32,33,9,6,198,389
24032,"Laval/Laval"," 8","Laval",27,1,114,34,53,10,6,245,503
24032,"Laval/Laval"," 9","Laval",37,1,64,21,55,7,3,188,342
24032,"Laval/Laval"," 10","Laval",41,2,108,36,53,11,2,253,424
24032,"Laval/Laval"," 11","Laval",37,1,112,32,60,17,7,266,437
24032,"Laval/Laval"," 12","Laval",35,0,115,32,39,7,1,229,406
24032,"Laval/Laval"," 13","Laval",36,0,96,24,42,4,3,205,377
24032,"Laval/Laval"," 14","Laval",28,0,65,34,50,4,6,187,324
24032,"Laval/Laval"," 15","Laval",41,1,93,34,40,8,8,225,350
24032,"Laval/Laval"," 16","Laval",29,0,89,22,34,6,2,182,307
24032,"Laval/Laval"," 17","Laval",26,0,97,35,46,10,1,215,372
24032,"Laval/Laval"," 18","Laval",49,0,109,43,54,10,0,265,453
24032,"Laval/Laval"," 19","Laval",37,1,101,37,55,7,4,242,451
24032,"Laval/Laval"," 20","Laval",32,0,67,26,44,7,2,178,305
24032,"Laval/Laval"," 21","Laval",37,1,88,38,62,10,1,237,442
24032,"Laval/Laval"," 22","Laval",29,0,85,32,42,5,4,197,384
24032,"Laval/Laval"," 23","Laval",30,2,95,29,34,11,3,204,387
24032,"Laval/Laval"," 24","Laval",26,1,88,28,54,11,5,213,370
24032,"Laval/Laval"," 25","Laval",51,0,118,30,51,6,6,262,418
24032,"Laval/Laval"," 26","Laval",34,2,94,35,70,7,1,243,403
24032,"Laval/Laval"," 27","Laval",58,1,75,44,63,6,6,253,407
24032,"Laval/Laval"," 28","Laval",49,3,118,39,59,11,4,283,508
24032,"Laval/Laval"," 29A","Laval",30,1,43,21,38,2,0,135,301
24032,"Laval/Laval"," 29B","Laval",13,0,59,14,27,5,0,118,322
24032,"Laval/Laval"," 30","Laval",49,3,83,30,68,7,2,242,395
24032,"Laval/Laval"," 31","Laval",41,0,112,59,82,6,5,305,466
24032,"Laval/Laval"," 32","Laval",55,1,121,55,68,9,3,312,525
24032,"Laval/Laval"," 33","Laval",40,1,140,41,38,6,5,271,414
24032,"Laval/Laval"," 34","Laval",38,2,116,55,59,13,6,289,392
24032,"Laval/Laval"," 35","Laval",43,2,133,40,68,8,7,301,454
24032,"Laval/Laval"," 36","Laval",61,4,118,30,59,10,4,286,465
24032,"Laval/Laval"," 37","Laval",28,1,70,14,33,5,4,155,275
24032,"Laval/Laval"," 38","Laval",23,0,84,21,44,2,0,174,341
24032,"Laval/Laval"," 39","Laval",42,1,113,25,48,7,4,240,428
