Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nick Capra,Giulio Manfrini,Kevin Nguyen,Judy Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"York West/York-Ouest"," 1","North York",9,44,31,131,0,215,417
35106,"York West/York-Ouest"," 2","North York",5,31,19,184,1,240,465
35106,"York West/York-Ouest"," 3","North York",4,12,14,112,1,143,325
35106,"York West/York-Ouest"," 4A","North York",7,25,14,79,1,126,298
35106,"York West/York-Ouest"," 4B","North York",2,17,19,68,2,108,257
35106,"York West/York-Ouest"," 5","North York",6,16,37,105,2,166,297
35106,"York West/York-Ouest"," 6","North York",17,25,39,123,0,204,346
35106,"York West/York-Ouest"," 7","North York",8,27,35,123,3,196,367
35106,"York West/York-Ouest"," 8","North York",8,34,44,91,2,179,358
35106,"York West/York-Ouest"," 9","North York",8,26,25,112,1,172,387
35106,"York West/York-Ouest"," 10","North York",12,25,26,106,1,170,332
35106,"York West/York-Ouest"," 11A","North York",5,30,20,73,0,128,246
35106,"York West/York-Ouest"," 11B","North York",8,23,23,94,1,149,276
35106,"York West/York-Ouest"," 12A","North York",3,20,18,71,0,112,251
35106,"York West/York-Ouest"," 12B","North York",4,19,20,68,2,113,248
35106,"York West/York-Ouest"," 13","North York",5,17,14,119,0,155,276
35106,"York West/York-Ouest"," 14","North York",5,21,21,90,0,137,232
35106,"York West/York-Ouest"," 15","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 16","North York",5,35,23,165,1,229,437
35106,"York West/York-Ouest"," 17A","North York",5,26,11,98,0,140,312
35106,"York West/York-Ouest"," 17B","North York",3,17,19,86,0,125,294
35106,"York West/York-Ouest"," 18","North York",4,16,36,95,0,151,366
35106,"York West/York-Ouest"," 18-1","North York",Merged with No. 18/Fusionné avec le nº 18,,,,,,33
35106,"York West/York-Ouest"," 19","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 20","North York",7,21,15,75,1,119,253
35106,"York West/York-Ouest"," 21","North York",3,10,28,49,1,91,316
35106,"York West/York-Ouest"," 22","North York",2,26,21,67,0,116,392
35106,"York West/York-Ouest"," 23A","North York",20,19,0,29,0,68,228
35106,"York West/York-Ouest"," 23B","North York",5,19,19,55,0,98,269
35106,"York West/York-Ouest"," 24","North York",8,41,15,80,1,145,492
35106,"York West/York-Ouest"," 25","North York",5,20,23,115,2,165,303
35106,"York West/York-Ouest"," 26","North York",12,59,35,169,1,276,448
35106,"York West/York-Ouest"," 27","North York",9,42,47,124,0,222,415
35106,"York West/York-Ouest"," 28","North York",6,33,24,66,0,129,396
35106,"York West/York-Ouest"," 29","North York",6,31,22,196,6,261,479
35106,"York West/York-Ouest"," 30A","North York",4,34,8,73,0,119,300
35106,"York West/York-Ouest"," 30B","North York",5,27,14,63,1,110,249
35106,"York West/York-Ouest"," 31","North York",3,32,55,79,0,169,473
35106,"York West/York-Ouest"," 32","North York",7,29,30,69,0,135,417
35106,"York West/York-Ouest"," 33","North York",3,27,29,102,1,162,458
35106,"York West/York-Ouest"," 34","North York",8,26,33,82,1,150,299
35106,"York West/York-Ouest"," 35","North York",19,31,35,101,5,191,386
35106,"York West/York-Ouest"," 36","North York",8,36,34,103,2,183,395
35106,"York West/York-Ouest"," 37","North York",1,18,31,79,0,129,270
35106,"York West/York-Ouest"," 38","North York",7,36,38,82,1,164,308
35106,"York West/York-Ouest"," 39","North York",4,20,24,60,0,108,339
35106,"York West/York-Ouest"," 40","North York",8,11,16,53,0,88,313
35106,"York West/York-Ouest"," 41","North York",10,31,20,106,3,170,414
35106,"York West/York-Ouest"," 42","North York",6,54,10,71,2,143,361
35106,"York West/York-Ouest"," 43","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 44","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 45A","North York",4,23,13,32,1,73,220
35106,"York West/York-Ouest"," 45B","North York",2,27,18,62,2,111,268
35106,"York West/York-Ouest"," 46","North York",Merged with No. 48A/Fusionné avec le nº 48A,,,,,,5
35106,"York West/York-Ouest"," 47A","North York",Merged with No. 48A/Fusionné avec le nº 48A,,,,,,3
35106,"York West/York-Ouest"," 47B","North York",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,3
35106,"York West/York-Ouest"," 48A","North York",46,88,21,57,0,212,422
35106,"York West/York-Ouest"," 48B","North York",61,60,23,56,1,201,381
35106,"York West/York-Ouest"," 48-1A","North York",10,28,8,42,0,88,277
35106,"York West/York-Ouest"," 48-1B","North York",7,32,16,47,0,102,262
35106,"York West/York-Ouest"," 48-2","North York",Merged with No. 52/Fusionné avec le nº 52,,,,,,99
35106,"York West/York-Ouest"," 48-3A","North York",Merged with No. 48A/Fusionné avec le nº 48A,,,,,,68
35106,"York West/York-Ouest"," 48-3B","North York",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,58
35106,"York West/York-Ouest"," 49A","North York",63,109,54,120,0,346,472
35106,"York West/York-Ouest"," 49B","North York",43,107,52,99,1,302,365
35106,"York West/York-Ouest"," 50","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 51","North York",4,16,21,56,0,97,358
35106,"York West/York-Ouest"," 52","North York",11,32,35,71,3,152,325
35106,"York West/York-Ouest"," 52-1","North York",3,11,5,16,0,35,143
35106,"York West/York-Ouest"," 53","North York",9,49,22,52,0,132,307
35106,"York West/York-Ouest"," 54","North York",7,52,32,60,3,154,372
35106,"York West/York-Ouest"," 55","North York",4,26,18,72,2,122,284
35106,"York West/York-Ouest"," 55-1","North York",7,30,25,70,1,133,294
35106,"York West/York-Ouest"," 55-2","North York",6,56,16,95,5,178,379
35106,"York West/York-Ouest"," 56","North York",5,24,14,68,5,116,231
35106,"York West/York-Ouest"," 57","North York",8,21,19,104,1,153,258
35106,"York West/York-Ouest"," 58","North York",11,54,37,117,0,219,386
