Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Annie Durette,Sylvie Lavallée,Pierre Paquette,Francine Raynault,Suzie St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Joliette/Joliette"," 1","Mandeville",0,17,34,6,6,0,63,106
24025,"Joliette/Joliette"," 2A","Manawan",1,4,20,0,21,0,46,561
24025,"Joliette/Joliette"," 2B","Manawan",1,3,20,1,24,0,49,454
24025,"Joliette/Joliette"," 3","Saint-Michel-des-Saints",8,23,66,7,17,2,123,346
24025,"Joliette/Joliette"," 4","Saint-Michel-des-Saints",3,20,91,27,11,1,153,348
24025,"Joliette/Joliette"," 5","Saint-Michel-des-Saints",3,34,74,14,36,1,162,314
24025,"Joliette/Joliette"," 6","Saint-Michel-des-Saints",3,39,118,33,29,4,226,467
24025,"Joliette/Joliette"," 7","Saint-Guillaume-Nord",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 8","Saint-Michel-des-Saints",7,29,159,15,47,9,266,544
24025,"Joliette/Joliette"," 9A","Saint-Zénon",5,39,85,15,28,3,175,302
24025,"Joliette/Joliette"," 9B","Saint-Zénon",5,40,92,14,25,0,176,309
24025,"Joliette/Joliette"," 10","Saint-Zénon",4,40,74,18,43,6,185,392
24025,"Joliette/Joliette"," 11","Saint-Damien",15,56,135,30,33,6,275,510
24025,"Joliette/Joliette"," 12A","Saint-Damien",8,26,97,14,28,1,174,342
24025,"Joliette/Joliette"," 12B","Saint-Damien",9,25,103,16,25,2,180,341
24025,"Joliette/Joliette"," 13","Saint-Damien",11,47,129,28,61,9,285,487
24025,"Joliette/Joliette"," 14A","Saint-Donat",2,32,98,19,30,0,181,338
24025,"Joliette/Joliette"," 14B","Saint-Donat",5,42,90,21,31,1,190,374
24025,"Joliette/Joliette"," 15","Saint-Donat",6,33,86,18,35,0,178,446
24025,"Joliette/Joliette"," 16","Saint-Donat",13,41,110,25,20,3,212,458
24025,"Joliette/Joliette"," 17A","Saint-Donat",4,24,80,8,29,1,146,296
24025,"Joliette/Joliette"," 17B","Saint-Donat",3,30,97,25,23,3,181,398
24025,"Joliette/Joliette"," 18","Saint-Donat",8,36,133,21,44,5,247,547
24025,"Joliette/Joliette"," 19","Saint-Donat",6,45,130,27,40,2,250,553
24025,"Joliette/Joliette"," 20A","Notre-Dame-de-la-Merci",7,42,124,23,34,5,235,398
24025,"Joliette/Joliette"," 20B","Notre-Dame-de-la-Merci",5,29,129,22,40,3,228,387
24025,"Joliette/Joliette"," 21","Entrelacs",4,51,100,19,38,2,214,344
24025,"Joliette/Joliette"," 22","Entrelacs",9,24,135,24,31,3,226,389
24025,"Joliette/Joliette"," 23","Chertsey",9,33,150,20,28,7,247,543
24025,"Joliette/Joliette"," 24","Chertsey",16,33,136,22,21,0,228,566
24025,"Joliette/Joliette"," 25A","Chertsey",5,17,108,6,18,2,156,390
24025,"Joliette/Joliette"," 25B","Chertsey",7,28,95,17,11,2,160,368
24025,"Joliette/Joliette"," 26","Chertsey",16,34,149,24,52,4,279,595
24025,"Joliette/Joliette"," 27A","Chertsey",6,18,86,15,16,1,142,302
24025,"Joliette/Joliette"," 27B","Chertsey",8,32,82,25,26,0,173,341
24025,"Joliette/Joliette"," 28","Chertsey",9,47,96,29,20,1,202,455
24025,"Joliette/Joliette"," 29","Chertsey",6,23,70,27,16,3,145,345
24025,"Joliette/Joliette"," 30","Sainte-Émélie-de-l'Énergie",7,53,108,36,43,3,250,404
24025,"Joliette/Joliette"," 31","Sainte-Émélie-de-l'Énergie",8,37,127,26,34,9,241,401
24025,"Joliette/Joliette"," 32","Sainte-Émélie-de-l'Énergie",11,43,175,25,33,5,292,505
24025,"Joliette/Joliette"," 33","Saint-Jean-de-Matha",6,86,172,30,49,5,348,613
24025,"Joliette/Joliette"," 34A","Saint-Jean-de-Matha",7,33,120,16,37,4,217,370
24025,"Joliette/Joliette"," 34B","Saint-Jean-de-Matha",9,13,96,30,24,1,173,340
24025,"Joliette/Joliette"," 35","Saint-Jean-de-Matha",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 36","Saint-Jean-de-Matha",10,67,160,32,39,5,313,549
24025,"Joliette/Joliette"," 37","Saint-Jean-de-Matha",6,28,114,20,28,3,199,500
24025,"Joliette/Joliette"," 38","Saint-Jean-de-Matha",7,37,156,13,27,4,244,473
24025,"Joliette/Joliette"," 39A","Saint-Jean-de-Matha",9,19,95,17,10,4,154,315
24025,"Joliette/Joliette"," 39B","Saint-Jean-de-Matha",20,22,107,16,21,5,191,338
24025,"Joliette/Joliette"," 40","Sainte-Béatrix",29,39,169,28,37,2,304,445
24025,"Joliette/Joliette"," 41","Saint-Côme",14,56,134,27,28,6,265,433
24025,"Joliette/Joliette"," 42","Saint-Côme",12,41,135,11,27,4,230,409
24025,"Joliette/Joliette"," 43","Saint-Côme",4,47,133,34,41,1,260,443
