Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clint Davidson,Tobi-Dawne Smith,Maurice Vellacott,Patricia Zipchen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 1","Mullingar",16,3,52,0,0,71,140
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 2","Mayfair",26,1,68,8,0,103,208
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 3","Pebble Baye",4,2,22,3,0,31,57
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 3-1","Muskeg Lake Cree Nation 102R",22,9,46,16,0,93,147
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 4","Parkside",25,5,113,7,0,150,232
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 5","Leask",14,4,68,3,0,89,223
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 6","Leask",41,5,138,9,0,193,701
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 7","Marcelin",29,7,75,15,0,126,284
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 8","Blaine Lake",56,14,103,19,0,192,412
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 9","Blaine Lake",9,4,71,10,0,94,186
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 10","Speers",31,7,81,17,0,136,287
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 11","Hafford",16,8,88,7,0,119,242
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 12","Hafford",29,7,89,14,0,139,310
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 13","Maymont",34,16,115,15,0,180,291
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 14","Radisson",23,7,112,12,0,154,242
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 15","Radisson",55,16,126,15,0,212,408
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 16","Borden",60,16,145,20,3,244,336
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 17A","Langham",Merged with No. 18A/Fusionné avec le nº 18A,,,,,,14
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 17B","Langham",Merged with No. 18B/Fusionné avec le nº 18B,,,,,,23
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 17C","Langham",Merged with No. 18C/Fusionné avec le nº 18C,,,,,,35
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18A","Langham",44,6,98,15,0,163,266
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18B","Langham",54,5,115,18,0,192,296
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18C","Langham",45,13,159,11,0,228,348
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 19","Macdowall",35,13,139,8,2,197,352
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 20","Carlton",16,5,56,3,0,80,152
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 21","Beardy 97 and Okemasis 96",61,9,17,57,0,144,359
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 22","Duck Lake",26,4,40,14,0,84,232
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 23","Duck Lake",66,5,60,30,0,161,558
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 24","Laird",56,8,140,11,1,216,404
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 25","Waldheim",7,6,102,6,0,121,205
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 26","Waldheim",19,3,123,3,0,148,213
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 27","Waldheim",34,22,240,7,0,303,519
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 28","Rosthern",19,5,76,12,0,112,230
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 29A","Rosthern",27,13,78,18,0,136,300
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 29B","Rosthern",33,7,79,15,1,135,320
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 30","Rosthern",57,23,111,41,1,233,377
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 31","Rosthern",41,8,61,7,0,117,232
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 32","Hepburn",11,7,99,4,1,122,178
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 33","Hepburn",28,21,253,11,1,314,462
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 34","Hague",0,5,175,5,0,185,320
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 35A","Hague",13,9,124,5,0,151,301
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 35B","Hague",10,5,143,3,0,161,302
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 36","Dalmeny",10,4,60,1,0,75,164
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 37","Osler",5,3,136,5,0,149,231
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 38A","Warman",29,8,136,18,0,191,364
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 38B","Warman",22,10,163,12,0,207,349
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 38C","Warman",24,13,156,8,1,202,359
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 38-1","Dalmeny",25,10,107,13,1,156,223
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39A","Dalmeny",27,12,131,16,0,186,307
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 39B","Dalmeny",40,10,100,17,1,168,338
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 40","Dalmeny",49,19,182,16,2,268,448
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 41","Osler",19,9,217,20,0,265,381
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42","Osler",43,18,247,8,0,316,504
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 42-1","Osler",24,9,158,14,1,206,312
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43A","Warman",27,16,212,8,0,263,455
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 43B","Warman",29,12,192,15,1,249,432
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 44","Warman",18,5,177,7,2,209,365
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 45","Warman",29,22,161,7,3,222,380
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46A","Warman",24,11,117,6,1,159,329
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 46B","Warman",26,9,118,12,1,166,343
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 47","Warman",35,9,158,11,1,214,384
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 48","Martensville",48,16,181,21,0,266,571
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49A","Martensville",53,6,134,13,0,206,490
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 49B","Martensville",29,17,141,8,2,197,496
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50A","Martensville",24,16,104,5,0,149,318
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50B","Martensville",29,12,78,19,1,139,316
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 50-1","Martensville",30,5,77,8,1,121,237
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 51","Martensville",45,9,143,13,1,211,489
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 52","Martensville",30,20,119,11,0,180,402
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 53","Martensville",52,17,130,27,1,227,479
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 54","Martensville",54,19,125,17,1,216,442
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 55","Warman",31,6,125,22,0,184,391
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 56","Saskatoon",47,11,135,18,1,212,364
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 57","Saskatoon",26,9,125,20,0,180,340
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 58","Saskatoon",37,5,101,31,1,175,364
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 59","Saskatoon",17,18,115,36,0,186,317
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 60","Saskatoon",59,21,138,42,4,264,449
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 61","Saskatoon",20,11,68,27,0,126,317
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 62","Saskatoon",28,4,102,24,0,158,311
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 63","Saskatoon",34,13,91,34,0,172,295
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 64","Saskatoon",50,23,114,39,0,226,424
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 65","Saskatoon",52,21,91,28,0,192,368
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 66","Saskatoon",60,22,142,46,2,272,551
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 67","Saskatoon",69,18,141,49,0,277,483
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 68","Saskatoon",67,29,154,25,0,275,480
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 69","Saskatoon",18,10,28,8,0,64,163
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 70","Saskatoon",27,6,29,6,0,68,213
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 71","Saskatoon",68,16,109,41,0,234,429
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 72","Saskatoon",51,9,117,22,1,200,384
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 73","Saskatoon",41,8,117,29,0,195,350
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 74","Saskatoon",57,20,105,27,1,210,416
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 75","Saskatoon",60,16,120,55,0,251,490
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 76","Saskatoon",26,5,84,25,0,140,260
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 77","Saskatoon",20,14,102,42,0,178,316
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 78A","Saskatoon",63,13,65,11,2,154,318
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 78B","Saskatoon",64,12,92,20,0,188,352
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 79","Saskatoon",101,13,122,12,0,248,427
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 80","Saskatoon",76,2,71,12,1,162,343
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 80-1","Saskatoon",59,10,83,18,0,170,326
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 81","Saskatoon",78,9,76,14,0,177,386
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 81-1","Saskatoon",48,6,89,19,0,162,346
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 82","Saskatoon",52,5,43,10,0,110,244
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 83","Saskatoon",88,16,89,18,0,211,490
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 84","Saskatoon",53,12,57,12,1,135,403
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 85","Saskatoon",54,6,89,2,0,151,347
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 86","Saskatoon",81,11,79,14,1,186,319
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 87","Saskatoon",102,19,100,14,0,235,478
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 88","Saskatoon",88,12,83,18,1,202,391
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 89","Saskatoon",54,11,76,15,0,156,284
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 90","Saskatoon",77,11,77,4,0,169,323
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 91","Saskatoon",81,13,68,13,0,175,389
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 92","Saskatoon",65,7,110,16,1,199,575
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 93","Saskatoon",43,8,45,12,0,108,312
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 94","Saskatoon",37,8,29,7,0,81,327
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 95","Saskatoon",69,11,128,48,2,258,436
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 96","Saskatoon",37,7,64,16,0,124,238
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 97","Saskatoon",60,8,120,35,1,224,390
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 98","Saskatoon",44,19,122,32,0,217,383
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 99","Saskatoon",43,17,143,58,1,262,460
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 100","Saskatoon",30,12,28,14,0,84,234
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 101","Saskatoon",24,9,34,21,1,89,276
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 102","Saskatoon",23,7,56,21,1,108,222
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 103","Saskatoon",56,15,104,67,0,242,389
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 104","Saskatoon",57,18,145,62,3,285,476
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 105","Saskatoon",41,12,75,25,0,153,352
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 106","Saskatoon",24,10,74,24,0,132,223
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107","Saskatoon",38,15,83,35,0,171,327
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107-1","Saskatoon",25,3,88,27,1,144,199
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 107-2","Saskatoon",15,1,118,35,0,169,199
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 108","Saskatoon",43,13,81,19,0,156,340
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 109","Saskatoon",49,26,103,32,0,210,388
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 110","Saskatoon",46,22,105,35,1,209,358
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 111","Saskatoon",48,24,89,62,0,223,418
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 112","Saskatoon",63,28,120,63,0,274,465
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 113","Saskatoon",36,7,74,36,1,154,263
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 114","Saskatoon",46,20,95,48,0,209,398
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 115","Saskatoon",27,19,71,38,1,156,305
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 116","Saskatoon",38,13,59,19,0,129,239
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 117","Saskatoon",63,16,96,27,0,202,347
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 118","Saskatoon",63,20,79,31,1,194,342
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 119","Saskatoon",83,11,82,29,1,206,372
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 120","Saskatoon",46,16,45,15,0,122,288
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 121","Saskatoon",80,20,76,27,0,203,388
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 122","Saskatoon",83,15,43,16,0,157,357
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 123","Saskatoon",76,27,25,27,1,156,281
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 124","Saskatoon",104,37,55,59,3,258,424
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 125","Saskatoon",63,18,80,32,0,193,415
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 126","Saskatoon",65,25,34,38,1,163,330
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 127","Saskatoon",86,41,56,33,0,216,345
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 128","Saskatoon",68,23,59,30,0,180,383
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 129","Saskatoon",43,20,31,13,0,107,162
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 130","Saskatoon",71,21,41,30,1,164,325
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 131","Saskatoon",59,23,44,29,1,156,313
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 132","Saskatoon",45,10,39,37,0,131,216
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 133","Saskatoon",50,12,81,33,1,177,359
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 134","Saskatoon",59,12,57,37,0,165,378
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 135","Saskatoon",47,9,62,24,0,142,321
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 136A","Saskatoon",55,26,97,74,1,253,498
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 136B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,113
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 137","Saskatoon",47,10,41,34,2,134,350
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 500","Mobile poll/Bureau itinérant",7,2,44,6,0,59,136
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 501","Mobile poll/Bureau itinérant",15,3,49,19,4,90,171
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 502","Mobile poll/Bureau itinérant",43,6,72,30,1,152,196
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 503","Mobile poll/Bureau itinérant",64,7,88,27,0,186,234
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 504","Mobile poll/Bureau itinérant",56,5,53,15,1,130,209
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 505","Mobile poll/Bureau itinérant",53,6,75,25,2,161,255
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 506","Mobile poll/Bureau itinérant",84,9,89,44,0,226,234
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 600","Blaine Lake",31,3,103,5,0,142,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 601","Hafford",19,6,94,14,1,134,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 602","Martensville",98,31,433,51,2,615,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 603","Rosthern",26,15,114,25,0,180,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 604","Saskatoon",74,34,396,80,1,585,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 605","Saskatoon",136,17,170,22,2,347,
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 606","Saskatoon",89,20,136,35,1,281,
