Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nao Fernando,Nina Grewal,Brenda Locke,Brian Newbold,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 1","Surrey",50,128,52,15,1,246,489
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2","Surrey",42,107,52,8,0,209,469
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3","Surrey",19,72,26,9,1,127,304
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3-1","Surrey",33,38,30,10,1,112,244
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4","Surrey",53,123,54,9,1,240,490
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5","Surrey",15,58,31,6,0,110,264
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5-1A","Surrey",30,88,45,6,1,170,342
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5-1B","Surrey",33,81,44,4,0,162,368
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6","Surrey",11,82,59,6,0,158,308
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7","Surrey",15,49,19,2,0,85,202
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7-1A","Surrey",34,126,51,7,0,218,487
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7-1B","Surrey",54,133,59,7,2,255,580
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 8","Surrey",25,98,56,17,0,196,384
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 9","Surrey",36,120,60,22,1,239,507
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 10","Surrey",42,116,35,11,0,204,353
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11","Surrey",40,139,58,14,0,251,452
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12","Surrey",8,83,27,3,0,121,288
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12-1","Surrey",40,141,48,13,0,242,497
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13","Surrey",20,129,55,7,0,211,491
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13-1","Surrey",26,51,30,5,1,113,220
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14","Surrey",11,43,22,4,2,82,203
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14-1A","Surrey",11,84,36,6,0,137,352
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14-1B","Surrey",23,80,31,5,0,139,368
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15","Surrey",Void/Supprimé,,,,,,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15-1A","Surrey",26,120,27,8,1,182,345
