Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brent Bouteiller,Bruce Bowser,Michael Chong,Noel Duignan,Jeffrey Streutker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 47","Guelph/Eramosa",24,42,153,18,2,0,239,396
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 48","Guelph/Eramosa",23,42,108,19,10,0,202,331
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 49","Guelph/Eramosa",49,36,132,29,3,1,250,442
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 50","Guelph/Eramosa",24,19,69,22,1,1,136,267
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 51","Guelph/Eramosa",30,28,72,15,3,0,148,322
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 52A","Guelph/Eramosa",23,44,102,14,1,0,184,363
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 52B","Guelph/Eramosa",23,39,105,12,5,0,184,364
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 52-1","Guelph/Eramosa",18,46,108,20,1,0,193,338
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 53","Guelph/Eramosa",31,78,143,31,4,0,287,505
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 53-1","Guelph/Eramosa",27,52,174,21,5,0,279,485
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 54","Guelph/Eramosa",60,58,90,20,0,1,229,352
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 55","Guelph/Eramosa",27,68,133,35,2,0,265,434
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 56","Guelph/Eramosa",Merged with No. 57/Fusionné avec le nº 57,,,,,,,178
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 57","Guelph/Eramosa",19,51,115,20,3,0,208,256
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 58","Guelph/Eramosa",36,83,185,30,3,0,337,502
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 59","Guelph/Eramosa",13,16,79,4,1,0,113,175
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 60","Guelph/Eramosa",41,76,189,29,1,3,339,577
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 61","Guelph/Eramosa",17,45,127,15,1,3,208,291
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 62","Guelph/Eramosa",27,90,154,25,2,0,298,446
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 63","Guelph/Eramosa",14,49,169,30,1,1,264,418
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 64","Guelph/Eramosa",16,45,131,27,6,0,225,465
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 65","Erin",24,64,143,15,6,3,255,409
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 66","Erin",28,23,78,16,1,0,146,263
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 67","Erin",27,32,130,38,2,0,229,452
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 68","Erin",27,42,94,14,0,0,177,320
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 69","Erin",21,27,112,8,0,1,169,365
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 69-1","Erin",11,25,87,11,0,0,134,239
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 70","Erin",43,32,130,18,1,0,224,438
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 71","Erin",45,49,117,34,2,1,248,488
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 72","Erin",30,64,141,21,0,1,257,405
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 73","Erin",23,68,142,20,1,1,255,471
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 74","Erin",36,48,142,40,0,0,266,517
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 75","Erin",27,24,123,16,0,3,193,376
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 76","Erin",25,37,108,8,0,0,178,317
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 77","Erin",44,73,237,29,1,0,384,564
