Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicole Champagne,Jean-R. Guernon,Christian Paradis,Pierre Turcotte,Bruno Vézina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 1","Princeville",32,4,123,68,26,8,261,490
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 2","Princeville",17,4,115,76,21,3,236,429
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 3","Princeville",28,5,115,55,22,8,233,383
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 4","Princeville",29,4,83,55,20,2,193,395
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 5","Princeville",15,2,65,40,8,5,135,292
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 6","Princeville",41,7,88,55,31,6,228,408
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 7","Princeville",44,5,130,84,36,13,312,556
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 8","Princeville",31,10,77,56,15,1,190,375
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 9","Princeville",32,5,108,88,30,8,271,504
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 10","Princeville",40,3,98,73,21,1,236,417
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 11","Villeroy",38,4,117,60,19,6,244,394
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 12","Notre-Dame-de-Lourdes",10,6,58,31,10,2,117,184
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 13","Sainte-Julie",34,8,119,63,33,4,261,478
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 14","Laurierville",23,5,70,39,20,8,165,298
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 15","Laurierville",53,3,103,55,23,6,243,364
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 16","Notre-Dame-de-Lourdes",24,11,92,51,18,11,207,341
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 17","Plessisville",37,6,107,89,23,4,266,496
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 18","Plessisville",29,3,87,56,28,5,208,356
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 19","Plessisville",35,7,112,108,30,4,296,511
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 20","Plessisville",16,3,67,67,18,1,172,283
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 21","Plessisville",28,5,69,31,14,2,149,249
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 22","Sainte-Sophie",5,2,34,33,11,2,87,160
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 23","Sainte-Sophie",22,7,81,57,31,4,202,303
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 24","Plessisville",26,9,85,71,16,5,212,414
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 25","Plessisville",37,7,107,86,27,4,268,482
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 26","Plessisville",36,2,111,68,20,6,243,381
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 27","Plessisville",50,3,142,81,27,18,321,516
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 28","Plessisville",19,3,103,53,15,2,195,433
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 29","Plessisville",30,2,57,48,19,3,159,348
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 30","Plessisville",26,5,71,49,25,1,177,415
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 31","Plessisville",40,2,83,68,12,4,209,350
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 32","Plessisville",26,3,93,67,20,2,211,355
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 33","Plessisville",29,6,58,41,20,3,157,274
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 34","Plessisville",30,7,56,49,25,8,175,343
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 35","Plessisville",27,2,104,16,30,0,179,405
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 36A","Plessisville",49,2,99,77,24,0,251,390
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 36B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,81
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 37","Plessisville",31,2,75,26,7,1,142,231
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 38","Lyster",39,4,109,63,22,1,238,422
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 39","Lyster",30,4,90,61,11,7,203,314
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 40","Lyster",40,6,165,78,29,7,325,512
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 41","Inverness",31,13,140,49,20,0,253,378
