Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 47","St. Albert",17,12,85,22,0,136,269
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 48","St. Albert",36,23,115,7,0,181,345
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 49","St. Albert",38,21,115,28,0,202,338
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 50","St. Albert",61,25,113,9,0,208,388
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 51","St. Albert",31,22,132,24,0,209,364
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 52","St. Albert",39,24,158,41,2,264,448
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 53","St. Albert",32,28,161,50,0,271,423
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 54","St. Albert",28,19,149,40,0,236,490
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 55","St. Albert",20,19,123,24,0,186,319
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 56","St. Albert",47,34,111,45,0,237,387
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 57","St. Albert",26,17,110,31,2,186,322
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 58","St. Albert",57,23,114,20,1,215,462
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 59","St. Albert",30,21,77,20,0,148,323
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 60","St. Albert",38,34,151,29,0,252,418
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 61","St. Albert",34,18,170,40,0,262,501
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 62","St. Albert",29,28,150,32,1,240,437
