Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,Adam Campbell,William Munsey,Ray Stone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 1","Scotford",122,4,12,7,0,145,307
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 2","Griesbach",195,14,15,20,0,244,417
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 3","Josephburg",125,17,18,17,1,178,294
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 4","Good Hope",165,18,23,25,0,231,456
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 5","Ardrossan",174,11,13,32,0,230,466
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 6","Ardrossan",219,13,39,38,1,310,547
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 7","Ardrossan",145,28,33,25,1,232,504
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 8","Ardrossan",308,25,33,44,0,410,678
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 9","Ardrossan",230,20,17,18,0,285,466
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 10","Ardrossan",211,25,27,35,0,298,559
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 11","North Cooking Lake",138,20,37,39,0,234,499
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 12","Uncas",115,4,10,14,0,143,263
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 13","Ardrossan",161,8,16,26,1,212,389
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 14","Ardrossan",218,25,25,24,0,292,519
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 15","Ardrossan",133,9,22,23,0,187,348
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 16","Ardrossan",187,19,22,44,0,272,478
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 17","Wyeclif",235,19,35,30,2,321,576
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 18","Wyeclif",192,26,48,25,0,291,539
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 19","Wyeclif",160,14,16,29,0,219,443
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 20","Wyeclif",156,5,28,17,0,206,369
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 21","Whitecroft",200,20,18,21,3,262,447
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 22","Uncas",236,13,28,32,0,309,498
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 23","North Cooking Lake",171,16,36,38,2,263,625
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 24","Cooking Lake",162,14,37,40,0,253,513
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 25","Cooking Lake",203,15,18,38,0,274,507
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 26","Cooking Lake",147,12,27,18,0,204,337
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 27","Cooking Lake",151,13,15,11,0,190,421
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 28","Bretona",173,22,29,21,0,245,520
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 29","Bretona",140,21,13,6,0,180,332
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 30","Bretona",133,9,10,6,1,159,313
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 31","Cooking Lake",189,18,21,18,0,246,406
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 32","Cooking Lake",144,15,16,11,2,188,489
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 32-1","Strathcona County",130,13,24,20,0,187,381
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 33","Cooking Lake",225,16,31,25,2,299,550
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 33-1","Strathcona County",24,0,4,4,0,32,55
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 34","Cooking Lake",130,11,20,19,0,180,293
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 35","Ministik Lake",206,22,29,35,0,292,540
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 36","Deville",143,15,30,17,0,205,472
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 37","Skaro",144,6,16,7,0,173,344
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 38","Andrew",107,14,20,17,0,158,298
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 39","Andrew",81,4,5,10,0,100,169
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 40","Andrew",59,2,8,24,0,93,223
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 41","Wostok",95,5,8,14,0,122,268
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 42","St. Michael",99,4,11,20,0,134,244
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 43","Beaverhill",124,11,15,10,0,160,296
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 44","Bruderheim",113,10,11,24,0,158,340
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 44-1","Bruderheim",156,18,32,22,1,229,554
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 45","Bruderheim",Void/Supprimé,,,,,,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 46","Lamont",156,17,11,23,1,208,490
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 47","Lamont",133,5,15,24,4,181,366
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 48","Lamont",194,19,21,19,0,253,456
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 49","Lamont",92,10,9,10,0,121,225
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 50","Hilliard",155,5,17,27,0,204,379
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 51","Chipman",178,10,27,30,0,245,453
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 52","Mundare",160,11,11,18,0,200,341
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 53","Mundare",215,18,13,50,1,297,649
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 54","Mundare",127,12,12,25,1,177,341
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 55","Willingdon",88,7,11,14,0,120,205
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 56","Willingdon",92,4,5,21,0,122,252
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 57","Hairy Hill",128,6,11,28,0,173,362
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 58","Two Hills",80,7,7,10,0,104,217
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 59","Two Hills",74,7,6,4,0,91,177
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 60","Two Hills",111,3,10,27,0,151,351
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 61","Two Hills",89,8,12,12,0,121,238
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 62","Two Hills",78,2,12,19,1,112,307
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 63","Beauvallon",137,7,14,18,2,178,411
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 64","Myrnam",88,5,14,19,0,126,221
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 65","Derwent",125,7,20,21,0,173,329
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 66","Looma",326,22,52,50,2,452,757
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 67","Looma",Void/Supprimé,,,,,,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 68","New Sarepta",242,8,43,32,1,326,566
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 69","New Sarepta",156,4,27,10,0,197,334
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 70","Rolly View",Void/Supprimé,,,,,,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 71","New Sarepta",235,12,50,34,0,331,652
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 72","Deville",152,21,17,20,0,210,337
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 73","Spilstead",174,12,27,34,0,247,412
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 74","Shonts",188,5,24,11,0,228,374
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 75","Tofield",195,11,24,24,3,257,463
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 76","Tofield",219,15,20,21,0,275,583
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 77","Tofield",214,9,24,23,0,270,456
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78A","Shonts",130,9,30,43,0,212,452
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78B","Shonts",147,8,28,30,1,214,477
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 78-1","Beaver County",43,2,10,4,0,59,141
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 79","Ryley",140,6,8,6,0,160,271
