Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nigel Barriffe,Anna Di Carlo,Kirsty Duncan,Ali Naqvi,Bob Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Etobicoke North/Etobicoke-Nord"," 1","Etobicoke",16,0,110,35,74,0,235,513
35024,"Etobicoke North/Etobicoke-Nord"," 2","Etobicoke",3,0,159,37,90,1,290,682
35024,"Etobicoke North/Etobicoke-Nord"," 3","Etobicoke",1,1,144,15,84,0,245,543
35024,"Etobicoke North/Etobicoke-Nord"," 4","Etobicoke",2,0,59,10,40,3,114,252
35024,"Etobicoke North/Etobicoke-Nord"," 5","Etobicoke",9,2,110,26,23,1,171,616
35024,"Etobicoke North/Etobicoke-Nord"," 6","Etobicoke",11,1,69,24,61,0,166,406
35024,"Etobicoke North/Etobicoke-Nord"," 7","Etobicoke",7,1,89,33,48,2,180,442
35024,"Etobicoke North/Etobicoke-Nord"," 8","Etobicoke",5,0,105,19,40,0,169,486
35024,"Etobicoke North/Etobicoke-Nord"," 9","Etobicoke",6,7,127,23,60,1,224,443
35024,"Etobicoke North/Etobicoke-Nord"," 10","Etobicoke",4,0,91,18,53,2,168,350
35024,"Etobicoke North/Etobicoke-Nord"," 11","Etobicoke",6,0,141,24,70,0,241,543
35024,"Etobicoke North/Etobicoke-Nord"," 12","Etobicoke",10,4,87,17,35,0,153,331
35024,"Etobicoke North/Etobicoke-Nord"," 13","Etobicoke",6,1,130,34,65,0,236,457
35024,"Etobicoke North/Etobicoke-Nord"," 14","Etobicoke",10,2,136,26,71,2,247,536
35024,"Etobicoke North/Etobicoke-Nord"," 15","Etobicoke",11,1,129,45,81,0,267,643
35024,"Etobicoke North/Etobicoke-Nord"," 16","Etobicoke",10,4,189,49,56,2,310,793
35024,"Etobicoke North/Etobicoke-Nord"," 17","Etobicoke",Void/Supprimé,,,,,,,
35024,"Etobicoke North/Etobicoke-Nord"," 18","Etobicoke",7,5,125,56,78,0,271,545
35024,"Etobicoke North/Etobicoke-Nord"," 19","Etobicoke",12,2,98,41,55,0,208,426
35024,"Etobicoke North/Etobicoke-Nord"," 20","Etobicoke",11,2,147,23,56,0,239,482
35024,"Etobicoke North/Etobicoke-Nord"," 21","Etobicoke",11,5,55,29,41,3,144,275
35024,"Etobicoke North/Etobicoke-Nord"," 22","Etobicoke",7,0,93,22,54,0,176,352
35024,"Etobicoke North/Etobicoke-Nord"," 23","Etobicoke",5,0,75,13,39,2,134,347
35024,"Etobicoke North/Etobicoke-Nord"," 24","Etobicoke",4,0,68,25,30,9,136,337
35024,"Etobicoke North/Etobicoke-Nord"," 25","Etobicoke",3,1,107,12,44,0,167,315
