Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sue Barnes,Leslie Bartley,Peter Lawrence Ferguson,Ed Holder,Steve Hunter,Monica Jarabek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"London West/London-Ouest"," 1A","London",116,0,49,97,6,28,0,296,547
35044,"London West/London-Ouest"," 1B","London",106,0,55,102,2,29,2,296,541
35044,"London West/London-Ouest"," 1-1A","London",78,0,39,123,3,17,0,260,483
35044,"London West/London-Ouest"," 1-1B","London",89,0,42,109,4,24,2,270,476
35044,"London West/London-Ouest"," 1-1C","London",74,0,36,107,1,19,0,237,459
35044,"London West/London-Ouest"," 2","London",99,0,18,133,0,13,0,263,483
35044,"London West/London-Ouest"," 2-1","London",68,0,3,201,3,14,0,289,510
35044,"London West/London-Ouest"," 3","London",92,1,34,120,2,32,0,281,426
35044,"London West/London-Ouest"," 4","London",70,1,43,67,1,19,3,204,387
35044,"London West/London-Ouest"," 5","London",78,1,32,89,5,35,0,240,419
35044,"London West/London-Ouest"," 6","London",68,0,31,94,1,25,0,219,360
35044,"London West/London-Ouest"," 7","London",61,0,28,64,5,20,0,178,329
35044,"London West/London-Ouest"," 8","London",59,0,37,58,0,20,0,174,347
35044,"London West/London-Ouest"," 9","London",73,1,33,83,0,19,0,209,353
35044,"London West/London-Ouest"," 10","London",36,1,19,42,1,14,0,113,246
35044,"London West/London-Ouest"," 11","London",66,0,42,71,1,25,0,205,356
35044,"London West/London-Ouest"," 12","London",45,0,29,73,1,32,0,180,297
35044,"London West/London-Ouest"," 13","London",71,7,22,76,2,19,0,197,344
35044,"London West/London-Ouest"," 14","London",101,2,67,125,2,39,1,337,612
35044,"London West/London-Ouest"," 15","London",65,0,29,72,1,26,1,194,364
35044,"London West/London-Ouest"," 16","London",73,3,57,90,0,31,0,254,405
35044,"London West/London-Ouest"," 17","London",38,1,31,36,1,18,1,126,370
35044,"London West/London-Ouest"," 18","London",84,4,61,97,6,35,0,287,495
35044,"London West/London-Ouest"," 19","London",44,3,41,47,3,18,1,157,326
35044,"London West/London-Ouest"," 20","London",70,1,40,61,1,18,0,191,349
35044,"London West/London-Ouest"," 21","London",115,3,57,140,4,34,4,357,585
35044,"London West/London-Ouest"," 22","London",72,1,50,68,3,22,1,217,364
35044,"London West/London-Ouest"," 23","London",55,1,39,47,0,25,1,168,276
35044,"London West/London-Ouest"," 24","London",82,3,40,72,1,16,2,216,555
35044,"London West/London-Ouest"," 25","London",83,1,21,56,0,10,2,173,287
35044,"London West/London-Ouest"," 26","London",68,0,44,83,0,26,0,221,396
35044,"London West/London-Ouest"," 27","London",73,2,26,60,0,25,0,186,314
35044,"London West/London-Ouest"," 28A","London",92,1,35,87,1,25,1,242,466
35044,"London West/London-Ouest"," 28B","London",79,1,17,72,3,12,0,184,377
35044,"London West/London-Ouest"," 28-1","London",138,2,40,91,3,27,0,301,593
35044,"London West/London-Ouest"," 29","London",56,0,37,52,0,11,0,156,334
35044,"London West/London-Ouest"," 29-1","London",73,1,80,94,6,29,1,284,464
35044,"London West/London-Ouest"," 30","London",74,4,57,68,0,22,5,230,566
35044,"London West/London-Ouest"," 31","London",54,0,9,63,1,10,0,137,264
35044,"London West/London-Ouest"," 32A","London",91,0,33,176,3,18,0,321,543
35044,"London West/London-Ouest"," 32B","London",104,0,22,161,1,10,0,298,526
35044,"London West/London-Ouest"," 32-1","London",61,0,1,75,0,5,0,142,250
35044,"London West/London-Ouest"," 32-2","London",91,0,14,141,0,11,0,257,507
35044,"London West/London-Ouest"," 32-3","London",75,0,5,192,4,16,0,292,410
35044,"London West/London-Ouest"," 33","London",87,0,14,148,2,18,0,269,439
35044,"London West/London-Ouest"," 34","London",79,1,6,84,0,17,0,187,314
35044,"London West/London-Ouest"," 35","London",103,2,24,113,1,19,1,263,511
35044,"London West/London-Ouest"," 36","London",39,0,21,53,0,20,0,133,277
35044,"London West/London-Ouest"," 37","London",81,2,21,85,0,21,1,211,337
35044,"London West/London-Ouest"," 38","London",73,1,43,91,0,26,1,235,388
35044,"London West/London-Ouest"," 39","London",53,0,23,86,3,16,0,181,313
35044,"London West/London-Ouest"," 40","London",74,1,34,97,1,31,0,238,368
35044,"London West/London-Ouest"," 41","London",73,2,29,99,0,21,0,224,367
35044,"London West/London-Ouest"," 42","London",59,1,24,85,0,10,1,180,305
35044,"London West/London-Ouest"," 43","London",74,1,14,83,2,19,0,193,311
35044,"London West/London-Ouest"," 44","London",85,1,31,126,1,24,0,268,443
35044,"London West/London-Ouest"," 45A","London",92,0,37,75,4,19,2,229,428
35044,"London West/London-Ouest"," 45B","London",79,0,37,92,2,23,0,233,421
35044,"London West/London-Ouest"," 45-1","London",64,0,21,124,5,19,0,233,368
35044,"London West/London-Ouest"," 46","London",99,0,13,110,0,32,0,254,390
35044,"London West/London-Ouest"," 47","London",68,2,36,82,1,27,0,216,360
35044,"London West/London-Ouest"," 48","London",61,2,39,100,4,19,0,225,330
35044,"London West/London-Ouest"," 49","London",53,2,27,83,1,21,0,187,305
35044,"London West/London-Ouest"," 50","London",90,1,31,80,0,22,0,224,338
35044,"London West/London-Ouest"," 51","London",83,0,27,120,0,17,0,247,367
35044,"London West/London-Ouest"," 52","London",111,0,42,156,1,24,1,335,570
35044,"London West/London-Ouest"," 53","London",92,0,20,152,2,35,1,302,483
35044,"London West/London-Ouest"," 54","London",90,2,27,110,2,18,2,251,409
35044,"London West/London-Ouest"," 55","London",94,0,24,96,1,20,1,236,417
35044,"London West/London-Ouest"," 56","London",44,0,14,46,0,12,1,117,206
35044,"London West/London-Ouest"," 57","London",90,2,21,111,0,22,0,246,416
35044,"London West/London-Ouest"," 57-1","London",44,0,13,85,1,8,0,151,304
35044,"London West/London-Ouest"," 58","London",54,0,6,101,1,18,0,180,328
