Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,DWight Dugas,Howard Galganov,Darlene Jalbert,Guy Lauzon,David Rawnsley,Denis Sabourin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1","Harmony",0,12,16,123,9,11,0,171,355
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1-1","Reids Mills",1,7,15,104,15,20,0,162,277
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 2","Hallville",0,6,28,144,29,32,0,239,434
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 3","Mountain",0,5,19,141,32,27,1,225,395
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 4","Mulloys",0,5,5,114,10,18,0,152,323
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 5","Nelson",0,8,22,163,23,29,0,245,340
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 6","South Mountain",0,17,28,166,21,35,1,268,438
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 7","Inkerman",0,5,13,140,14,17,0,189,340
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 8","Pleasant Valley",0,8,6,82,7,17,0,120,226
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 9","Brinston",0,1,11,173,21,22,0,228,413
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 10","Dundela",0,9,15,133,11,20,0,188,347
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 11","Hainsville",0,4,21,152,6,21,0,204,404
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 12","Rowena",0,6,17,98,4,17,1,143,328
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 13","Broken Second",0,8,15,142,9,36,1,211,393
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 14","Iroquois",0,9,21,77,5,14,0,126,306
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 15","Iroquois",0,5,17,72,5,15,0,114,319
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 16","Iroquois",0,2,21,96,7,15,0,141,285
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 17","Flagg Creek",0,13,9,187,13,41,0,263,525
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 18","Ormond",0,20,25,126,10,45,3,229,412
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 19","Morewood",0,6,31,130,11,25,1,204,327
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 20","Morewood",0,9,21,116,6,18,0,170,314
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 21","Annable Settlement",1,17,15,149,14,21,1,218,366
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 22","Winchester",0,10,28,113,5,25,1,182,316
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 23","Winchester",2,10,29,148,14,25,0,228,477
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 24","Winchester",0,3,16,118,15,12,0,164,362
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 25","Winchester",1,19,17,101,5,26,1,170,298
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 26","Winchester",0,5,20,96,7,21,0,149,291
35087,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 27","The Ninth",0,6,17,133,10,31,0,197,400
