Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Bouchard,Stéphane Girard,Jean-Guy Maltais,Marc Pettersen,Jean-François Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 1","Notre-Dame-du-Rosaire",Void/Supprimé,,,,,,,
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 2","Saint-David-de-Falardeau",Void/Supprimé,,,,,,,
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 3","Sainte-Rose-du-Nord",98,12,42,22,7,3,184,333
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 4","Saint-Fulgence",107,16,68,24,10,4,229,384
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 5","Saint-Fulgence",44,13,41,14,2,2,116,231
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 6","Saint-Fulgence",54,12,47,8,5,2,128,249
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 7","Saint-Fulgence",91,14,69,20,9,7,210,372
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 8","Saint-Fulgence",84,18,67,26,3,3,201,343
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 9","Saint-Honoré",138,18,72,25,10,0,263,473
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 10","Saint-Honoré",99,19,55,25,7,3,208,393
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 11","Saint-Honoré",106,18,57,27,5,3,216,432
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 12","Saint-Honoré",54,6,37,26,6,3,132,237
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 13","Saint-Honoré",128,15,84,18,4,6,255,469
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 14","Saint-Honoré",123,10,73,29,3,3,241,465
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 15","Saint-Honoré",141,14,68,31,7,9,270,488
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16","Saint-Honoré",95,15,59,29,7,2,207,401
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16-1","Saint-Honoré",43,14,19,14,2,5,97,229
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 17","Saint-Honoré",82,6,55,21,4,0,168,325
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 18","Saguenay",81,13,61,37,5,1,198,349
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 19","Saguenay",144,10,99,58,6,0,317,527
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 20","Saint-Honoré",100,14,57,21,4,2,198,466
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21A","Saguenay",65,16,48,15,3,2,149,252
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21B","Saguenay",Merged with No. 43/Fusionné avec le nº 43,,,,,,,175
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 22","Chicoutimi",98,15,58,31,6,5,213,488
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 23","Chicoutimi",113,22,73,27,7,5,247,440
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 24","Chicoutimi",82,15,70,33,2,3,205,349
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 25","Chicoutimi",68,20,89,38,3,3,221,382
24016,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 26","Chicoutimi",93,15,37,17,5,2,169,297
