Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Clément,Peter Graham,Andrea Paine,Daniel Quinn,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 1","Pierrefonds",48,16,26,15,34,0,139,280
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 1-1","Pierrefonds",22,5,47,38,108,1,221,454
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 2A","Pierrefonds",23,12,33,24,68,0,160,331
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 2B","Pierrefonds",11,3,26,19,63,0,122,240
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 3","Pierrefonds",19,13,23,30,76,0,161,302
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 3-1","Pierrefonds",11,19,43,29,99,1,202,399
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 3-2","Pierrefonds",12,10,38,24,82,0,166,381
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 4","Pierrefonds",16,16,43,41,88,1,205,491
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 5","Pierrefonds",40,11,32,22,67,2,174,360
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 6","Pierrefonds",36,11,32,30,44,1,154,347
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 7","Pierrefonds",28,12,43,25,78,0,186,392
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 7-1","Pierrefonds",7,4,31,17,74,2,135,230
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 8","Pierrefonds",7,3,15,14,28,2,69,219
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 9","Pierrefonds",10,9,48,34,49,1,151,312
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 10","Pierrefonds",13,14,28,38,76,1,170,352
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 11","Pierrefonds",15,18,54,43,95,1,226,434
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 12","Pierrefonds",15,17,32,40,72,1,177,347
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 13","Pierrefonds",17,13,60,62,89,2,243,390
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 14","Pierrefonds",17,14,62,64,274,0,431,517
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 15","Pierrefonds",18,10,25,41,63,2,159,407
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 16","Pierrefonds",30,14,48,45,115,3,255,493
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 16-1","Pierrefonds",20,8,25,15,76,1,145,266
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 17","Pierrefonds",15,12,70,55,124,1,277,518
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 18","Pierrefonds",4,7,42,23,92,0,168,278
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 19","Pierrefonds",21,13,59,40,109,1,243,452
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 19-1","Pierrefonds",12,6,33,31,96,1,179,340
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 20","Pierrefonds",13,14,35,37,67,1,167,300
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 20-1","Pierrefonds",20,14,41,32,109,0,216,324
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 21","Pierrefonds",26,8,47,30,75,5,191,353
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 21-1","Pierrefonds",6,5,39,25,90,1,166,302
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 22","Pierrefonds",17,14,55,50,113,2,251,474
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 23A","Sainte-Geneviève",41,19,41,31,63,2,197,471
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 23B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,72
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 24","Sainte-Geneviève",39,15,27,26,49,1,157,506
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 25","Sainte-Geneviève",49,16,15,19,46,2,147,416
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 26","Sainte-Geneviève",48,15,25,40,51,4,183,522
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 27","Pierrefonds",20,16,42,40,81,1,200,390
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 28","Pierrefonds",18,31,55,48,106,2,260,382
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 29","Pierrefonds",22,15,28,17,60,3,145,309
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 30","Pierrefonds",28,17,55,45,100,2,247,424
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 31","Pierrefonds",23,13,62,45,108,1,252,515
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 32","Pierrefonds",16,15,38,29,75,0,173,506
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 33","Pierrefonds",17,15,53,34,110,4,233,456
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 34","Pierrefonds",8,6,27,19,67,1,128,247
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 35","Pierrefonds",16,14,54,44,117,1,246,403
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 36","Pierrefonds",19,15,60,40,92,3,229,432
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 37","Pierrefonds",23,14,45,45,102,3,232,370
