Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelly Glover,Justin Gregoire,Marc Payette,Matt Schaubroeck,Raymond Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface/Saint-Boniface"," 1","Winnipeg",48,2,21,28,164,2,265,420
46009,"Saint Boniface/Saint-Boniface"," 2","Winnipeg",51,1,11,28,45,0,136,301
46009,"Saint Boniface/Saint-Boniface"," 3","Winnipeg",60,1,11,25,107,1,205,384
46009,"Saint Boniface/Saint-Boniface"," 4","Winnipeg",61,1,15,33,108,0,218,417
46009,"Saint Boniface/Saint-Boniface"," 5A","Winnipeg",19,0,7,13,105,0,144,253
46009,"Saint Boniface/Saint-Boniface"," 5B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,98
46009,"Saint Boniface/Saint-Boniface"," 6","Winnipeg",64,2,13,61,86,1,227,398
46009,"Saint Boniface/Saint-Boniface"," 7","Winnipeg",18,2,1,6,49,0,76,269
46009,"Saint Boniface/Saint-Boniface"," 8","Winnipeg",Void/Supprimé,,,,,,,
46009,"Saint Boniface/Saint-Boniface"," 9A","Winnipeg",52,5,14,40,95,2,208,398
46009,"Saint Boniface/Saint-Boniface"," 9B","Winnipeg",19,0,2,9,56,1,87,130
46009,"Saint Boniface/Saint-Boniface"," 10","Winnipeg",56,2,6,25,83,0,172,341
46009,"Saint Boniface/Saint-Boniface"," 11","Winnipeg",50,0,23,31,125,1,230,406
46009,"Saint Boniface/Saint-Boniface"," 12","Winnipeg",54,1,8,32,126,1,222,386
46009,"Saint Boniface/Saint-Boniface"," 13","Winnipeg",46,1,11,19,72,0,149,284
46009,"Saint Boniface/Saint-Boniface"," 14","Winnipeg",50,1,13,34,85,0,183,369
46009,"Saint Boniface/Saint-Boniface"," 15","Winnipeg",62,0,6,27,139,1,235,413
46009,"Saint Boniface/Saint-Boniface"," 16","Winnipeg",81,3,8,45,117,1,255,404
46009,"Saint Boniface/Saint-Boniface"," 17","Winnipeg",78,2,13,42,144,0,279,476
46009,"Saint Boniface/Saint-Boniface"," 18","Winnipeg",Void/Supprimé,,,,,,,
46009,"Saint Boniface/Saint-Boniface"," 19","Winnipeg",46,1,9,22,50,0,128,313
46009,"Saint Boniface/Saint-Boniface"," 20A","Winnipeg",66,1,8,25,31,1,132,329
46009,"Saint Boniface/Saint-Boniface"," 20B","Winnipeg",109,0,8,19,33,0,169,249
46009,"Saint Boniface/Saint-Boniface"," 21","Winnipeg",118,1,8,36,92,0,255,525
46009,"Saint Boniface/Saint-Boniface"," 22","Winnipeg",113,0,12,28,99,2,254,458
46009,"Saint Boniface/Saint-Boniface"," 23","Winnipeg",73,0,7,22,44,1,147,344
46009,"Saint Boniface/Saint-Boniface"," 24","Winnipeg",108,2,13,47,58,0,228,468
46009,"Saint Boniface/Saint-Boniface"," 25","Winnipeg",66,2,6,14,30,0,118,312
46009,"Saint Boniface/Saint-Boniface"," 26","Winnipeg",71,1,8,19,32,0,131,275
46009,"Saint Boniface/Saint-Boniface"," 27","Winnipeg",89,3,13,19,62,1,187,296
46009,"Saint Boniface/Saint-Boniface"," 28","Winnipeg",120,2,7,22,37,0,188,331
46009,"Saint Boniface/Saint-Boniface"," 29","Winnipeg",83,0,13,24,65,0,185,295
46009,"Saint Boniface/Saint-Boniface"," 30","Winnipeg",88,0,6,19,49,0,162,264
46009,"Saint Boniface/Saint-Boniface"," 31","Winnipeg",110,0,6,32,72,0,220,368
46009,"Saint Boniface/Saint-Boniface"," 32","Winnipeg",121,0,14,33,57,2,227,395
46009,"Saint Boniface/Saint-Boniface"," 33","Winnipeg",72,0,7,26,43,0,148,263
46009,"Saint Boniface/Saint-Boniface"," 34","Winnipeg",60,0,12,26,33,0,131,327
46009,"Saint Boniface/Saint-Boniface"," 35","Winnipeg",112,0,11,34,57,0,214,418
46009,"Saint Boniface/Saint-Boniface"," 36","Winnipeg",108,0,9,38,69,0,224,364
46009,"Saint Boniface/Saint-Boniface"," 37","Winnipeg",89,0,10,36,61,1,197,341
46009,"Saint Boniface/Saint-Boniface"," 38","Winnipeg",114,0,6,35,71,0,226,294
46009,"Saint Boniface/Saint-Boniface"," 39","Winnipeg",82,0,8,19,65,0,174,276
46009,"Saint Boniface/Saint-Boniface"," 40","Winnipeg",63,0,7,20,88,1,179,303
46009,"Saint Boniface/Saint-Boniface"," 41","Winnipeg",73,1,3,17,62,0,156,326
46009,"Saint Boniface/Saint-Boniface"," 42","Winnipeg",107,1,13,35,77,1,234,351
46009,"Saint Boniface/Saint-Boniface"," 43","Winnipeg",109,1,5,24,81,0,220,351
46009,"Saint Boniface/Saint-Boniface"," 44","Winnipeg",99,0,11,20,59,0,189,316
46009,"Saint Boniface/Saint-Boniface"," 45","Winnipeg",112,4,4,7,57,1,185,276
46009,"Saint Boniface/Saint-Boniface"," 46","Winnipeg",91,0,8,33,55,0,187,292
46009,"Saint Boniface/Saint-Boniface"," 47","Winnipeg",106,3,10,21,71,1,212,339
46009,"Saint Boniface/Saint-Boniface"," 48","Winnipeg",38,1,13,29,54,1,136,291
46009,"Saint Boniface/Saint-Boniface"," 49","Winnipeg",50,0,9,21,73,1,154,336
46009,"Saint Boniface/Saint-Boniface"," 50","Winnipeg",41,5,6,26,75,1,154,319
46009,"Saint Boniface/Saint-Boniface"," 51","Winnipeg",45,0,12,36,55,0,148,336
46009,"Saint Boniface/Saint-Boniface"," 52","Winnipeg",53,3,12,38,53,0,159,384
46009,"Saint Boniface/Saint-Boniface"," 53","Winnipeg",66,0,20,40,56,1,183,350
46009,"Saint Boniface/Saint-Boniface"," 54","Winnipeg",78,2,21,42,41,2,186,314
46009,"Saint Boniface/Saint-Boniface"," 55","Winnipeg",190,2,11,25,117,0,345,366
46009,"Saint Boniface/Saint-Boniface"," 56","Winnipeg",60,0,13,28,63,0,164,261
46009,"Saint Boniface/Saint-Boniface"," 57","Winnipeg",51,0,27,46,94,0,218,349
46009,"Saint Boniface/Saint-Boniface"," 58","Winnipeg",89,1,20,43,98,4,255,370
46009,"Saint Boniface/Saint-Boniface"," 59","Winnipeg",70,0,18,38,121,0,247,359
46009,"Saint Boniface/Saint-Boniface"," 60","Winnipeg",103,1,28,42,132,2,308,405
46009,"Saint Boniface/Saint-Boniface"," 61","Winnipeg",74,0,25,28,110,1,238,333
46009,"Saint Boniface/Saint-Boniface"," 62","Winnipeg",95,2,15,37,139,2,290,387
46009,"Saint Boniface/Saint-Boniface"," 63","Winnipeg",74,4,11,24,106,1,220,324
46009,"Saint Boniface/Saint-Boniface"," 64","Winnipeg",48,0,21,33,64,1,167,411
46009,"Saint Boniface/Saint-Boniface"," 65","Winnipeg",80,1,26,23,119,0,249,403
46009,"Saint Boniface/Saint-Boniface"," 66","Winnipeg",74,2,15,23,71,0,185,308
46009,"Saint Boniface/Saint-Boniface"," 67","Winnipeg",75,0,26,27,73,2,203,362
46009,"Saint Boniface/Saint-Boniface"," 68","Winnipeg",75,1,14,25,89,0,204,355
46009,"Saint Boniface/Saint-Boniface"," 69","Winnipeg",77,1,16,32,52,0,178,341
46009,"Saint Boniface/Saint-Boniface"," 70","Winnipeg",96,1,19,56,68,3,243,365
