Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Canada,Yvon Lévesque,Erica Martin,Jean-Maurice Matte,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 604","Lebel-sur-Quévillon",11,64,8,36,0,2,121,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 605","Chapais",14,55,7,32,4,1,113,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 606","Senneterre",16,83,12,205,6,0,322,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 607","Val-d'Or",48,152,21,175,7,1,404,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 608","Val-d'Or",64,164,19,168,8,3,426,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 609","Val-d'Or",61,222,21,259,15,0,578,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 610","Lac-Fouillac-Malarctic",40,147,16,131,8,5,347,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,Group 1/Groupe 1,43,35,10,22,8,14,132,234
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,Group 2/Groupe 2,102,486,25,441,22,25,1101,

