Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Greg Crompton,Stefan Dixon,Alamgir Hussain,M. H. Fatique Chowdhury Kabir,Michelle Simson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1","Scarborough",35,8,17,0,35,0,95,281
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Scarborough",15,6,13,1,15,1,51,154
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Scarborough",58,16,35,2,93,0,204,390
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Scarborough",67,13,23,0,77,3,183,332
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Scarborough",47,8,20,1,98,0,174,377
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8","Scarborough",53,19,24,1,119,0,216,384
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Scarborough",55,13,37,0,81,1,187,348
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Scarborough",51,10,44,1,72,0,178,424
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10-1","Scarborough",32,0,35,0,66,1,134,421
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Scarborough",51,7,47,0,60,1,166,358
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Scarborough",17,4,42,0,74,1,138,425
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13A","Scarborough",73,11,49,2,81,2,218,406
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13B","Scarborough",8,2,11,1,12,0,34,160
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Scarborough",50,20,34,0,96,0,200,358
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14-1","Scarborough",51,11,42,2,85,0,191,458
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15","Scarborough",60,22,36,2,80,0,200,406
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Scarborough",45,12,37,0,79,0,173,463
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Scarborough",46,10,13,1,46,0,116,279
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Scarborough",57,16,29,0,99,0,201,370
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Scarborough",57,18,44,1,56,2,178,339
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Scarborough",78,28,33,0,78,0,217,388
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21","Scarborough",49,14,35,1,51,0,150,286
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 22","Scarborough",61,21,38,0,98,0,218,425
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 23","Scarborough",54,9,25,0,74,2,164,312
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24","Scarborough",55,16,22,0,71,0,164,284
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24-1","Scarborough",61,10,39,0,102,2,214,470
