Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,André Côté,Véronique Poulin,Nicolas Rochette,René Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 67","Saint-Joseph-de-Beauce",134,27,8,9,13,2,193,343
24005,"Beauce/Beauce"," 68","Saint-Joseph-de-Beauce",199,36,16,13,23,3,290,489
24005,"Beauce/Beauce"," 68-1","Saint-Joseph-de-Beauce",91,7,8,11,7,0,124,193
24005,"Beauce/Beauce"," 69","Saint-Joseph-de-Beauce",169,31,19,19,26,4,268,472
24005,"Beauce/Beauce"," 70","Saint-Joseph-de-Beauce",132,24,7,8,13,2,186,364
24005,"Beauce/Beauce"," 71","Saint-Joseph-de-Beauce",118,37,19,15,15,6,210,382
24005,"Beauce/Beauce"," 72","Saint-Joseph-de-Beauce",51,13,13,7,11,4,99,217
24005,"Beauce/Beauce"," 73","Saint-Joseph-de-Beauce",106,27,11,7,14,0,165,274
24005,"Beauce/Beauce"," 74","Saint-Joseph-de-Beauce",92,29,8,12,22,1,164,324
24005,"Beauce/Beauce"," 75","Saint-Joseph-de-Beauce",92,15,11,5,17,0,140,258
24005,"Beauce/Beauce"," 75-1","Saint-Joseph-de-Beauce",60,12,9,3,5,0,89,217
24005,"Beauce/Beauce"," 76","Saint-Joseph-des-Érables",127,30,17,1,10,2,187,324
24005,"Beauce/Beauce"," 77","Beauceville",176,29,22,3,26,3,259,528
24005,"Beauce/Beauce"," 78","Beauceville",175,29,26,3,29,3,265,550
24005,"Beauce/Beauce"," 79","Beauceville",136,29,17,13,35,0,230,434
24005,"Beauce/Beauce"," 80","Beauceville",82,17,6,6,10,0,121,257
24005,"Beauce/Beauce"," 81","Beauceville",42,10,5,3,8,2,70,183
24005,"Beauce/Beauce"," 82","Beauceville",113,20,18,9,33,8,201,449
24005,"Beauce/Beauce"," 83","Beauceville",139,27,24,11,25,3,229,387
24005,"Beauce/Beauce"," 84","Beauceville",68,32,15,7,21,2,145,297
24005,"Beauce/Beauce"," 85","Beauceville",83,20,11,2,9,8,133,293
24005,"Beauce/Beauce"," 86","Beauceville",74,22,6,6,18,1,127,246
