Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George Campbell,Brad Pye,Michael John Savage,Paul Shreenan,Wanda Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 1","Halifax",0,67,26,8,9,0,110,353
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 2","Halifax",0,19,60,7,26,0,112,179
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 3","Halifax",3,44,95,14,44,1,201,331
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 4","Halifax",1,44,114,14,60,1,234,381
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5A","Halifax",0,35,129,12,55,0,231,382
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5B","Halifax",1,19,121,8,51,1,201,324
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5-1","Halifax",0,14,50,0,28,0,92,156
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 6","Halifax",0,35,59,11,33,0,138,230
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 7","Halifax",1,65,118,15,43,1,243,446
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 8","Halifax",1,39,110,6,49,0,205,348
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 9","Halifax",0,38,106,11,54,0,209,350
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 10","Halifax",1,68,94,7,32,1,203,403
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 11","Halifax",0,32,160,24,77,0,293,456
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 12","Halifax",1,66,86,22,52,0,227,413
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 13","Halifax",4,60,81,15,49,0,209,388
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 14","Halifax",0,32,99,18,35,1,185,310
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",0,72,81,9,43,0,205,382
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",3,88,85,18,39,1,234,398
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17","Halifax",0,51,27,13,16,0,107,307
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",0,33,76,8,35,0,152,233
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",0,45,84,10,24,0,163,273
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",0,58,65,10,28,0,161,303
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",0,29,22,4,11,0,66,361
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22","Halifax",0,61,15,0,11,0,87,280
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22-1","Halifax",0,44,29,4,17,0,94,208
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",2,40,20,3,10,2,77,268
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",3,72,25,10,24,2,136,301
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",0,50,18,1,8,1,78,227
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",Void/Supprimé,,,,,,,
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",1,85,21,5,5,0,117,313
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",0,102,32,5,21,1,161,393
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",1,48,27,3,8,3,90,299
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",3,79,23,6,6,1,118,346
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",2,88,20,6,21,1,138,356
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",1,82,32,5,36,4,160,334
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",1,53,19,5,18,0,96,293
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",1,70,35,1,14,1,122,363
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",3,91,16,10,11,2,133,417
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",1,55,21,5,9,0,91,402
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37","Halifax",3,55,13,6,14,0,91,371
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",0,50,18,6,15,1,90,423
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",0,56,17,4,5,0,82,416
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40","Halifax",0,49,24,4,18,1,96,434
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41","Halifax",0,50,74,9,36,0,169,291
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41-1","Halifax",1,55,72,11,35,0,174,286
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42","Halifax",0,17,28,2,23,0,70,159
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42-1","Dartmouth",0,58,128,14,55,2,257,492
