Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Allaire,François Boucher,Denis Coderre,Samira Laouni,Daniel Mailhot,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bourassa/Bourassa"," 1","Montréal",28,10,117,18,37,0,1,211,391
24009,"Bourassa/Bourassa"," 2","Montréal",30,6,84,17,50,1,2,190,339
24009,"Bourassa/Bourassa"," 3A","Montréal",32,3,58,18,49,0,0,160,250
24009,"Bourassa/Bourassa"," 3B","Montréal",22,6,79,11,31,1,2,152,260
24009,"Bourassa/Bourassa"," 4A","Montréal",34,3,50,10,17,0,4,118,221
24009,"Bourassa/Bourassa"," 4B","Montréal",22,9,75,14,22,1,3,146,247
24009,"Bourassa/Bourassa"," 5","Montréal",24,3,86,12,31,0,1,157,368
24009,"Bourassa/Bourassa"," 6","Montréal",48,7,159,10,24,1,4,253,448
24009,"Bourassa/Bourassa"," 7","Montréal",34,7,72,18,97,0,4,232,439
24009,"Bourassa/Bourassa"," 8","Montréal",25,6,123,20,50,3,7,234,432
24009,"Bourassa/Bourassa"," 9A","Montréal",25,4,112,3,12,1,1,158,249
24009,"Bourassa/Bourassa"," 9B","Montréal",24,4,90,6,12,1,2,139,216
24009,"Bourassa/Bourassa"," 10","Montréal",24,6,124,11,20,1,0,186,369
24009,"Bourassa/Bourassa"," 11","Montréal",35,5,155,11,16,2,4,228,426
24009,"Bourassa/Bourassa"," 12","Montréal",17,7,103,15,24,0,4,170,369
24009,"Bourassa/Bourassa"," 13A","Montréal",21,3,47,9,41,0,0,121,240
24009,"Bourassa/Bourassa"," 13B","Montréal",22,7,52,12,42,0,0,135,236
24009,"Bourassa/Bourassa"," 13-1A","Montréal",13,7,103,9,8,2,3,145,280
24009,"Bourassa/Bourassa"," 13-1B","Mobile poll/Bureau itinérant",Merged with No. 18B/Fusionné avec le nº 18B,,,,,,,,8
24009,"Bourassa/Bourassa"," 14","Montréal",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 15","Montréal",38,5,101,26,100,2,1,273,450
24009,"Bourassa/Bourassa"," 16","Montréal-Nord",63,7,167,10,55,1,2,305,417
24009,"Bourassa/Bourassa"," 16-1","Montréal-Nord",49,4,172,8,61,0,5,299,432
24009,"Bourassa/Bourassa"," 16-2","Montréal-Nord",46,1,119,5,59,0,1,231,424
24009,"Bourassa/Bourassa"," 17","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 18A","Montréal-Nord",21,2,94,6,27,0,12,162,245
24009,"Bourassa/Bourassa"," 18B","Mobile poll/Bureau itinérant",8,3,19,0,15,2,8,55,76
24009,"Bourassa/Bourassa"," 18-1A","Montréal-Nord",22,3,108,6,37,0,0,176,220
24009,"Bourassa/Bourassa"," 18-1B","Montréal-Nord",25,4,112,3,27,2,4,177,215
24009,"Bourassa/Bourassa"," 19","Montréal-Nord",14,4,45,14,33,1,2,113,395
24009,"Bourassa/Bourassa"," 20","Montréal-Nord",12,3,80,15,45,0,0,155,397
24009,"Bourassa/Bourassa"," 21","Montréal-Nord",35,3,208,5,59,1,0,311,398
24009,"Bourassa/Bourassa"," 22","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 23","Montréal-Nord",15,7,87,20,61,1,0,191,461
24009,"Bourassa/Bourassa"," 24","Montréal-Nord",35,6,155,8,30,3,1,238,421
24009,"Bourassa/Bourassa"," 25A","Montréal-Nord",10,3,35,8,26,0,3,85,260
24009,"Bourassa/Bourassa"," 25B","Montréal-Nord",16,2,41,6,18,2,5,90,251
24009,"Bourassa/Bourassa"," 26","Montréal-Nord",39,4,134,17,60,0,6,260,413
24009,"Bourassa/Bourassa"," 27","Montréal-Nord",37,9,147,27,32,1,3,256,397
24009,"Bourassa/Bourassa"," 28","Montréal-Nord",20,5,90,15,52,1,2,185,403
24009,"Bourassa/Bourassa"," 29","Montréal-Nord",34,5,133,15,23,0,8,218,369
24009,"Bourassa/Bourassa"," 30A","Montréal-Nord",8,4,52,20,31,0,3,118,250
24009,"Bourassa/Bourassa"," 30B","Montréal-Nord",9,2,42,7,36,0,0,96,233
24009,"Bourassa/Bourassa"," 31A","Montréal-Nord",6,2,38,12,21,0,2,81,224
24009,"Bourassa/Bourassa"," 31B","Montréal-Nord",9,3,36,16,28,2,3,97,225
24009,"Bourassa/Bourassa"," 32A","Montréal-Nord",12,0,53,10,20,1,2,98,228
