Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Abbott,Martha Dennis,Shaun MacDonald,Dave MacKenzie,Cathy Mott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Oxford/Oxford"," 1","Uniondale",30,43,2,78,23,0,176,283
35067,"Oxford/Oxford"," 2","Lakeside",45,43,2,104,13,0,207,336
35067,"Oxford/Oxford"," 3","Harrington",39,67,3,156,21,0,286,480
35067,"Oxford/Oxford"," 4","Maplewood",19,74,11,112,13,1,230,352
35067,"Oxford/Oxford"," 5","Cody's Corners",17,36,13,104,15,1,186,282
35067,"Oxford/Oxford"," 6","Embro",20,31,3,92,8,1,155,253
35067,"Oxford/Oxford"," 7","Embro",27,51,6,91,11,1,187,334
35067,"Oxford/Oxford"," 8","Bennington",22,62,0,121,19,0,224,364
35067,"Oxford/Oxford"," 9","Kintore",35,56,1,90,23,0,205,322
35067,"Oxford/Oxford"," 10","Zorra",23,26,4,92,11,1,157,238
35067,"Oxford/Oxford"," 11","Thamesford",31,26,2,77,11,0,147,252
35067,"Oxford/Oxford"," 12","Thamesford",41,40,0,96,20,0,197,352
35067,"Oxford/Oxford"," 13","Zorra",23,38,2,93,20,0,176,291
35067,"Oxford/Oxford"," 14","Thamesford",50,25,1,72,16,1,165,320
35067,"Oxford/Oxford"," 15","Thamesford",44,43,1,97,21,0,206,311
35067,"Oxford/Oxford"," 16","Thamesford",38,21,3,80,12,0,154,268
35067,"Oxford/Oxford"," 16-1","Dicksons Corners",29,35,4,141,17,0,226,373
35067,"Oxford/Oxford"," 17","Rayside",25,29,7,90,13,0,164,282
35067,"Oxford/Oxford"," 18","Tavistock",28,31,2,88,8,3,160,321
35067,"Oxford/Oxford"," 19","Tavistock",26,40,4,100,12,2,184,390
35067,"Oxford/Oxford"," 20","Tavistock",28,29,0,109,21,0,187,365
35067,"Oxford/Oxford"," 21","Tavistock",20,37,1,66,9,0,133,246
35067,"Oxford/Oxford"," 22","Tavistock",32,27,1,95,11,0,166,280
35067,"Oxford/Oxford"," 23","Tavistock",34,27,0,71,6,0,138,281
35067,"Oxford/Oxford"," 24","Tavistock",14,38,3,102,3,0,160,269
35067,"Oxford/Oxford"," 25","Cassel",18,31,5,105,15,1,175,285
35067,"Oxford/Oxford"," 26","Hickson",15,23,2,102,18,0,160,251
35067,"Oxford/Oxford"," 27","Braemar",13,23,3,61,7,0,107,154
35067,"Oxford/Oxford"," 28","Hickson",17,29,1,72,8,1,128,207
35067,"Oxford/Oxford"," 29","Hickson",25,24,3,85,11,1,149,254
35067,"Oxford/Oxford"," 30","Willow Lake",33,35,6,103,9,0,186,274
35067,"Oxford/Oxford"," 31","Woodstock",32,87,10,183,28,0,340,611
35067,"Oxford/Oxford"," 31-1","Tollgate",28,49,2,105,9,0,193,299
35067,"Oxford/Oxford"," 32","East Zorra-Tavistock",20,38,5,112,5,0,180,281
35067,"Oxford/Oxford"," 33","Innerkip",37,49,3,169,24,0,282,465
35067,"Oxford/Oxford"," 34","Innerkip",33,43,6,132,22,0,236,377
35067,"Oxford/Oxford"," 35","Ratho",43,51,5,146,21,0,266,455
35067,"Oxford/Oxford"," 36","Plattsville",22,27,1,66,10,0,126,227
35067,"Oxford/Oxford"," 36-1","Plattsville",25,29,2,59,17,0,132,217
35067,"Oxford/Oxford"," 37A","Plattsville",27,25,2,126,18,0,198,342
35067,"Oxford/Oxford"," 37B","Plattsville",27,33,1,107,19,0,187,333
35067,"Oxford/Oxford"," 38","Washington",19,38,3,108,15,0,183,336
35067,"Oxford/Oxford"," 39","Bright",29,36,3,112,25,0,205,388
35067,"Oxford/Oxford"," 40","Maple Lake Park",16,19,1,59,6,2,103,187
35067,"Oxford/Oxford"," 41","Drumbo",45,52,2,148,19,0,266,489
35067,"Oxford/Oxford"," 42","Wolverton",32,57,1,140,26,1,257,457
35067,"Oxford/Oxford"," 43","Richwood",40,53,0,86,19,1,199,323
35067,"Oxford/Oxford"," 44","Blandford-Blenheim",26,25,1,78,16,2,148,288
35067,"Oxford/Oxford"," 45","Princeton",36,25,2,82,19,3,167,269
35067,"Oxford/Oxford"," 46","Princeton",36,42,3,111,22,0,214,408
35067,"Oxford/Oxford"," 47","Forest Estates",40,21,9,91,9,0,170,356
35067,"Oxford/Oxford"," 48","Woodstock",43,59,8,118,29,0,257,413
35067,"Oxford/Oxford"," 48-1A","Woodstock",30,42,1,95,7,0,175,311
35067,"Oxford/Oxford"," 48-1B","Woodstock",22,26,4,117,11,0,180,269
35067,"Oxford/Oxford"," 48-2","Bond's Corners",9,8,2,56,12,0,87,144
35067,"Oxford/Oxford"," 49","Eastwood",14,34,2,102,10,1,163,274
35067,"Oxford/Oxford"," 50","Woodstock",39,36,0,94,19,0,188,373
35067,"Oxford/Oxford"," 51","Woodstock",13,7,1,20,10,0,51,111
35067,"Oxford/Oxford"," 52","Woodstock",16,58,7,109,17,0,207,346
35067,"Oxford/Oxford"," 53","Woodstock",17,41,7,92,19,0,176,331
35067,"Oxford/Oxford"," 54","Woodstock",39,44,9,76,22,1,191,333
35067,"Oxford/Oxford"," 55","Woodstock",29,57,2,119,16,1,224,345
35067,"Oxford/Oxford"," 56","Woodstock",31,48,2,90,9,3,183,322
35067,"Oxford/Oxford"," 57","Woodstock",39,23,0,66,16,0,144,300
35067,"Oxford/Oxford"," 58","Woodstock",27,28,0,88,11,0,154,320
35067,"Oxford/Oxford"," 59","Woodstock",43,36,4,131,7,1,222,394
35067,"Oxford/Oxford"," 60","Woodstock",39,53,10,132,19,0,253,435
35067,"Oxford/Oxford"," 61","Woodstock",33,29,2,77,14,1,156,425
35067,"Oxford/Oxford"," 62A","Woodstock",23,24,6,39,12,0,104,300
35067,"Oxford/Oxford"," 62B","Woodstock",26,26,0,48,10,1,111,272
35067,"Oxford/Oxford"," 63","Woodstock",35,70,5,152,14,0,276,439
35067,"Oxford/Oxford"," 64","Woodstock",32,34,6,139,8,1,220,365
35067,"Oxford/Oxford"," 64-1","Woodstock",9,16,3,86,14,1,129,228
35067,"Oxford/Oxford"," 65","Woodstock",51,29,2,75,12,0,169,270
35067,"Oxford/Oxford"," 66","Woodstock",51,52,9,127,18,0,257,425
35067,"Oxford/Oxford"," 66-1","Woodstock",17,25,1,40,3,0,86,155
35067,"Oxford/Oxford"," 67","Woodstock",87,22,3,61,3,1,177,413
35067,"Oxford/Oxford"," 68","Woodstock",38,46,3,97,8,1,193,338
35067,"Oxford/Oxford"," 69","Woodstock",34,45,9,127,19,2,236,410
35067,"Oxford/Oxford"," 70","Woodstock",51,21,4,51,19,0,146,350
35067,"Oxford/Oxford"," 71A","Woodstock",36,17,3,58,9,1,124,267
