Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bell,Barry Devolin,Dave Switzer,Marlene White,Stephen Yardy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 606","Coboconk",19,213,0,45,26,0,303,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 607","Coboconk",12,93,0,23,21,0,149,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 608","Beaverton",44,319,2,70,57,0,492,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 609","Beaverton",13,84,0,24,13,0,134,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 610","Oakwood",13,100,1,34,20,0,168,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 611","Oakwood",15,182,2,26,21,0,246,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 612","Fenelon Falls",20,294,0,90,43,0,447,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 613","Fenelon Falls",9,116,0,40,16,0,181,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 614","Bobcaygeon",34,434,1,102,87,2,660,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 615","Bobcaygeon",29,192,1,78,26,4,330,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 616","Ops",9,104,1,25,25,0,164,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 617","Ops",18,235,3,59,50,2,367,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 618","Lindsay",21,252,1,102,38,2,416,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 619","Lindsay",18,248,1,98,30,2,397,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 620","Lindsay",3,108,1,41,28,2,183,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 621","Lindsay",11,234,1,49,37,1,333,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 622","Millbrook",17,128,0,28,17,0,190,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 623","Millbrook",29,228,1,73,29,0,360,
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock",,Group 1/Groupe 1,9,66,3,33,10,3,124,255
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock",,Group 2/Groupe 2,32,434,3,188,92,17,766,

