Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Andrea Matrosovs,Caley McKibbin,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 23","Collingwood",24,15,78,43,1,0,0,161,380
35085,"Simcoe--Grey/Simcoe--Grey"," 24","Collingwood",26,17,48,46,0,4,0,141,358
35085,"Simcoe--Grey/Simcoe--Grey"," 25","Collingwood",14,18,104,84,0,0,1,221,394
35085,"Simcoe--Grey/Simcoe--Grey"," 26","Collingwood",20,28,87,61,1,2,0,199,424
35085,"Simcoe--Grey/Simcoe--Grey"," 27","Collingwood",17,22,74,53,0,0,0,166,315
35085,"Simcoe--Grey/Simcoe--Grey"," 28","Collingwood",26,14,45,29,0,2,0,116,266
35085,"Simcoe--Grey/Simcoe--Grey"," 29","Collingwood",27,20,81,46,0,1,0,175,355
35085,"Simcoe--Grey/Simcoe--Grey"," 30","Collingwood",25,29,102,39,0,2,0,197,421
35085,"Simcoe--Grey/Simcoe--Grey"," 31","Collingwood",30,23,113,75,0,2,1,244,421
35085,"Simcoe--Grey/Simcoe--Grey"," 32","Collingwood",13,17,73,51,3,2,0,159,329
35085,"Simcoe--Grey/Simcoe--Grey"," 33","Collingwood",14,10,42,22,0,4,0,92,194
35085,"Simcoe--Grey/Simcoe--Grey"," 34","Collingwood",28,21,93,42,0,0,1,185,386
35085,"Simcoe--Grey/Simcoe--Grey"," 35","Collingwood",38,24,98,83,0,2,1,246,464
35085,"Simcoe--Grey/Simcoe--Grey"," 36","Collingwood",40,18,63,42,1,2,2,168,365
35085,"Simcoe--Grey/Simcoe--Grey"," 37","Collingwood",18,20,77,56,0,2,1,174,330
35085,"Simcoe--Grey/Simcoe--Grey"," 38","Collingwood",29,30,104,77,2,1,2,245,497
35085,"Simcoe--Grey/Simcoe--Grey"," 39","Collingwood",36,15,84,43,1,4,1,184,428
35085,"Simcoe--Grey/Simcoe--Grey"," 40","Collingwood",33,11,86,38,0,0,0,168,319
35085,"Simcoe--Grey/Simcoe--Grey"," 41","Collingwood",18,33,146,90,0,1,0,288,510
35085,"Simcoe--Grey/Simcoe--Grey"," 42","Collingwood",33,15,65,43,0,0,0,156,388
35085,"Simcoe--Grey/Simcoe--Grey"," 43","Collingwood",12,32,70,37,0,3,0,154,343
35085,"Simcoe--Grey/Simcoe--Grey"," 44","Collingwood",15,18,73,63,0,4,1,174,354
35085,"Simcoe--Grey/Simcoe--Grey"," 45","Collingwood",35,26,102,69,0,6,0,238,509
35085,"Simcoe--Grey/Simcoe--Grey"," 46","Collingwood",17,16,101,78,0,1,0,213,347
35085,"Simcoe--Grey/Simcoe--Grey"," 47","Collingwood",21,23,97,77,1,1,0,220,394
35085,"Simcoe--Grey/Simcoe--Grey"," 48","Clearview",12,13,108,57,0,2,0,192,312
35085,"Simcoe--Grey/Simcoe--Grey"," 49","Clearview",21,26,114,41,1,1,0,204,333
35085,"Simcoe--Grey/Simcoe--Grey"," 50","Clearview",24,18,141,52,0,3,0,238,390
35085,"Simcoe--Grey/Simcoe--Grey"," 51","Clearview",30,21,108,44,1,5,1,210,379
35085,"Simcoe--Grey/Simcoe--Grey"," 52","Clearview",8,7,41,11,0,1,0,68,116
35085,"Simcoe--Grey/Simcoe--Grey"," 53","Clearview",13,7,32,8,0,3,1,64,130
35085,"Simcoe--Grey/Simcoe--Grey"," 54","Clearview",27,17,106,38,1,9,0,198,461
35085,"Simcoe--Grey/Simcoe--Grey"," 55","Clearview",51,19,164,51,0,9,1,295,520
35085,"Simcoe--Grey/Simcoe--Grey"," 56","Clearview",15,10,94,19,3,2,0,143,378
35085,"Simcoe--Grey/Simcoe--Grey"," 57","Clearview",26,15,121,31,1,3,0,197,509
35085,"Simcoe--Grey/Simcoe--Grey"," 58","Clearview",21,17,83,25,0,1,0,147,297
35085,"Simcoe--Grey/Simcoe--Grey"," 59","Clearview",37,20,136,34,0,3,0,230,468
35085,"Simcoe--Grey/Simcoe--Grey"," 60","Clearview",22,4,88,15,0,2,0,131,242
35085,"Simcoe--Grey/Simcoe--Grey"," 61","Clearview",24,15,125,30,0,4,0,198,409
35085,"Simcoe--Grey/Simcoe--Grey"," 62","Clearview--Wasaga Beach",18,15,90,29,1,9,0,162,353
35085,"Simcoe--Grey/Simcoe--Grey"," 63","Clearview",17,10,86,47,0,5,0,165,342
35085,"Simcoe--Grey/Simcoe--Grey"," 64","Clearview",25,29,141,31,0,1,1,228,357
35085,"Simcoe--Grey/Simcoe--Grey"," 65","Clearview",42,37,102,18,0,3,2,204,364
35085,"Simcoe--Grey/Simcoe--Grey"," 66","Clearview",28,12,97,24,0,1,1,163,279
35085,"Simcoe--Grey/Simcoe--Grey"," 67","Clearview",41,28,166,41,0,2,1,279,541
35085,"Simcoe--Grey/Simcoe--Grey"," 68","Clearview",16,8,44,15,0,2,1,86,157
35085,"Simcoe--Grey/Simcoe--Grey"," 69","Clearview",11,20,124,59,1,10,0,225,351
35085,"Simcoe--Grey/Simcoe--Grey"," 70","Clearview",12,23,93,40,0,0,0,168,308
35085,"Simcoe--Grey/Simcoe--Grey"," 71","Clearview",19,21,83,30,0,4,1,158,283
35085,"Simcoe--Grey/Simcoe--Grey"," 72","Clearview",12,33,76,48,0,2,1,172,294
35085,"Simcoe--Grey/Simcoe--Grey"," 73","Clearview",14,36,81,44,1,6,0,182,299
35085,"Simcoe--Grey/Simcoe--Grey"," 74","Clearview",17,25,104,31,1,1,2,181,283
35085,"Simcoe--Grey/Simcoe--Grey"," 75","Clearview",9,23,97,34,0,3,0,166,244
35085,"Simcoe--Grey/Simcoe--Grey"," 76","Clearview",17,20,101,36,2,3,0,179,304
35085,"Simcoe--Grey/Simcoe--Grey"," 77","Wasaga Beach",11,11,56,14,0,2,1,95,229
35085,"Simcoe--Grey/Simcoe--Grey"," 78","Wasaga Beach",12,5,48,27,0,1,0,93,250
