Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fernand Deschamps,Stéphane Dion,Dennis Galiatsatos,Jacques Lachaîne,Jerome Rodrigues,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 1","Montréal",3,94,18,71,28,0,214,318
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 2","Montréal",3,122,20,50,21,6,222,362
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 3","Montréal",3,137,29,41,28,0,238,405
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 4","Montréal",1,117,23,14,13,2,170,301
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 5","Montréal",0,116,22,69,30,2,239,420
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 6","Montréal",1,123,21,28,20,2,195,392
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 7","Montréal",1,98,15,8,9,4,135,383
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 8","Montréal",1,96,12,10,10,2,131,355
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 9","Montréal",2,100,11,31,17,4,165,353
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 10","Montréal",3,176,40,28,30,3,280,480
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 11","Montréal",0,71,17,17,18,2,125,225
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 12","Montréal",1,127,23,48,27,5,231,412
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 13","Montréal",1,99,26,12,9,2,149,381
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 14","Montréal",1,142,47,4,0,4,198,334
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 15","Montréal",1,85,23,87,19,3,218,314
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 16","Montréal",0,78,16,26,26,4,150,288
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 17","Montréal",1,67,19,79,15,2,183,342
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 18","Montréal",0,113,19,57,14,2,205,341
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 19","Montréal",0,37,11,9,4,0,61,117
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 20","Montréal",1,83,31,65,21,3,204,418
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 21","Montréal",0,65,15,50,17,0,147,308
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 22","Montréal",0,106,30,25,26,6,193,503
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 23","Montréal",0,54,19,28,9,2,112,325
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 24","Montréal",0,98,20,10,9,0,137,458
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 25","Montréal",0,59,10,33,4,0,106,263
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 26","Montréal",1,129,21,19,26,3,199,497
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 27","Montréal",0,81,19,12,24,1,137,348
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 28","Montréal",4,233,46,15,26,6,330,605
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 29","Montréal",3,144,11,5,8,2,173,450
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 30","Saint-Laurent",3,124,26,13,29,3,198,466
