Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Heinrichs,Trevor Kennerd,Anita Neville,Vere Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 112","Winnipeg",39,73,43,19,0,174,379
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 113","Winnipeg",41,101,67,14,1,224,428
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 114","Winnipeg",55,69,79,14,0,217,479
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 115","Winnipeg",34,63,67,23,1,188,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 116","Winnipeg",41,48,59,22,2,172,318
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 117","Winnipeg",40,71,154,49,0,314,477
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 118","Winnipeg",40,74,149,34,1,298,385
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 119","Winnipeg",61,50,64,27,0,202,383
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 120","Winnipeg",95,87,97,32,3,314,598
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 121","Winnipeg",60,29,75,38,1,203,361
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 122","Winnipeg",31,98,119,26,1,275,389
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 123","Winnipeg",66,71,42,20,0,199,397
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 124","Winnipeg",66,47,59,9,1,182,377
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 125","Winnipeg",41,56,78,27,0,202,351
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 126","Winnipeg",30,76,121,25,0,252,410
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 127","Winnipeg",59,47,73,23,0,202,377
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 128","Winnipeg",74,82,90,33,0,279,541
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 129","Winnipeg",59,93,127,15,1,295,430
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 130","Winnipeg",25,93,109,10,1,238,384
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 131","Winnipeg",49,134,86,15,1,285,407
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 132","Winnipeg",37,79,43,11,0,170,290
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 133","Winnipeg",35,105,54,9,0,203,339
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 134","Winnipeg",39,89,64,23,0,215,347
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 135","Winnipeg",58,100,66,20,0,244,427
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 136","Winnipeg",36,66,53,10,1,166,371
