Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Holley,Andrew House,Robert Karl O'Connor,Scott Simms,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 1","Cottrell's Cove",7,13,1,39,1,61,173
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 2","Leading Tickles",18,13,1,157,0,189,368
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 3","Point Leamington",18,27,0,84,0,129,348
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 3-1","Point Leamington",15,24,3,53,1,96,264
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 4","Point of Bay",10,11,1,50,0,72,222
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 5","Northern Arm",25,33,2,105,0,165,314
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 6","Botwood",11,18,2,69,0,100,314
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 7","Botwood",21,35,4,166,0,226,515
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 8","Botwood",17,20,0,66,1,104,239
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 9","Botwood",19,33,2,122,1,177,436
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 10","Botwood",13,12,1,81,0,107,280
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 11","Botwood",15,15,0,97,0,127,388
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 12","Botwood",17,14,1,81,0,113,345
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 13","Peterview",11,19,3,75,0,108,355
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 14","Peterview",13,12,1,31,0,57,321
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 15","Little Burnt Bay",17,8,0,37,1,63,233
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 16","Comfort Cove-Newstead",16,45,1,67,1,130,371
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 17","Boyd's Cove",10,14,3,65,0,92,201
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 18","Laurenceton",4,8,0,21,0,33,121
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 18-1","Brown's Arm--Porterville",14,36,4,83,1,138,263
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 19","Embree",19,29,0,75,0,123,375
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 20","Stanhope",11,24,1,53,1,90,190
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 21","Embree",4,14,0,26,0,44,138
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 22","Campbellton",31,14,3,98,0,146,375
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 23","Lewisporte",12,27,1,57,0,97,260
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 24","Lewisporte",24,40,6,109,0,179,480
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 25","Lewisporte",28,42,4,118,1,193,410
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 26","Lewisporte",17,33,2,135,2,189,463
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 27","Lewisporte",8,27,1,71,0,107,296
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 28","Lewisporte",12,32,1,54,1,100,297
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 29","Lewisporte",19,31,0,63,0,113,296
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 30","Lewisporte",6,23,3,97,1,130,368
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 31","Campbellton--Loon Bay",24,12,3,47,0,86,192
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 32","Baytona",16,14,1,68,0,99,252
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 32-1","Birchy Bay",16,47,3,88,0,154,469
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 33","Valley Pond",4,4,1,31,0,40,98
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 34","Moreton's Harbour",6,12,1,96,1,116,267
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 35","Cottlesville",13,20,9,56,0,98,236
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 36","Summerford",6,17,0,94,1,118,351
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 37","Carter's Cove",6,17,0,42,0,65,241
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 38","Summerford",23,17,2,80,2,124,419
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 39","Virgin Arm",4,17,4,39,2,66,247
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 40","Fairbank",6,10,2,25,0,43,155
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 41","Hillgrade",8,11,3,55,0,77,194
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 42","Herring Neck",7,8,9,48,0,72,202
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 43","Pikes Arm",10,14,5,59,1,89,262
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 44","Durrell",12,14,22,111,0,159,431
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 45","Crow Head",2,5,10,57,1,75,163
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 46","Twillingate",10,8,10,92,2,122,369
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 47","Twillingate",9,13,11,104,0,137,416
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 48","Durrell",Void/Supprimé,,,,,,
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 49A","Twillingate",12,9,13,65,0,99,291
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 49B","Twillingate",19,17,9,50,2,97,283
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 50","Twillingate--Little Harbour",4,22,11,83,0,120,406
10002,"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 51","Little Harbour",Void/Supprimé,,,,,,
