Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Butler,David Allan Hrushka,Mike Lake,Naomi Rankin,Indira Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 61","Edmonton",39,5,91,1,30,1,167,393
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 62","Edmonton",33,10,101,1,38,3,186,442
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 63","Edmonton",37,7,99,2,59,7,211,406
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 64","Edmonton",21,0,96,0,47,3,167,350
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 65","Edmonton",29,7,83,1,47,1,168,367
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 66","Edmonton",22,3,69,0,46,0,140,336
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 67","Edmonton",24,6,117,2,46,2,197,450
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 68","Edmonton",32,9,70,0,40,1,152,442
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 69","Edmonton",29,7,92,0,42,0,170,330
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 70","Edmonton",43,12,79,0,43,1,178,452
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 71","Edmonton",42,13,95,1,28,0,179,443
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 72","Edmonton",13,3,90,0,50,2,158,332
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 73","Edmonton",25,9,103,1,76,0,214,466
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 74","Edmonton",21,9,121,1,63,1,216,471
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 75","Edmonton",36,11,118,0,69,2,236,507
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 76","Edmonton",39,10,91,2,41,1,184,344
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 77","Edmonton",23,8,90,1,39,3,164,362
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 78","Edmonton",21,10,86,1,27,0,145,314
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 79","Edmonton",28,12,78,2,24,1,145,400
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 80","Edmonton",27,10,80,0,14,1,132,352
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 81","Edmonton",34,19,93,0,25,0,171,404
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 82","Edmonton",41,19,104,1,21,0,186,428
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 83","Edmonton",12,10,106,0,96,1,225,471
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 84","Edmonton",14,15,113,1,35,2,180,365
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 85","Edmonton",34,14,91,0,12,0,151,370
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 86","Edmonton",44,16,124,0,32,1,217,458
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 87","Edmonton",21,2,97,0,14,1,135,289
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 88","Edmonton",10,7,94,1,34,1,147,334
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 89","Edmonton",45,17,109,1,53,0,225,506
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 90A","Edmonton",13,8,79,3,90,1,194,444
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 90B","Edmonton",16,6,93,0,64,0,179,406
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 91","Edmonton",22,5,170,3,58,0,258,519
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 92A","Edmonton",16,4,90,0,37,0,147,303
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 92B","Edmonton",12,5,73,0,43,0,133,286
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 93","Edmonton",23,9,135,2,82,0,251,504
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 94","Edmonton",21,8,122,1,36,0,188,346
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 95","Edmonton",39,9,153,0,43,1,245,461
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 96","Edmonton",32,18,154,0,57,1,262,445
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 97","Edmonton",24,21,132,1,51,1,230,387
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 98","Edmonton",23,7,120,1,37,0,188,388
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 99A","Edmonton",26,4,80,0,19,1,130,315
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 99B","Edmonton",21,10,87,0,19,0,137,313
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100A","Edmonton",6,3,73,0,30,1,113,324
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100B","Edmonton",10,5,63,0,22,1,101,308
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-1","Edmonton",24,7,102,0,22,0,155,484
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-2","Edmonton",29,13,107,1,42,0,192,472
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-3A","Edmonton",28,7,97,1,20,0,153,374
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-3B","Edmonton",26,7,99,0,25,0,157,337
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-4A","Edmonton",20,7,79,0,26,0,132,306
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-4B","Edmonton",18,8,74,0,30,0,130,306
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-5A","Edmonton",32,13,100,0,40,0,185,451
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 100-5B","Edmonton",41,15,102,0,26,1,185,456
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101A","Edmonton",25,10,74,0,24,0,133,299
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101B","Edmonton",20,5,65,0,32,0,122,294
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101-1A","Edmonton",9,7,74,0,31,0,121,281
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101-1B","Edmonton",14,3,74,1,23,0,115,301
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101-2A","Edmonton",13,4,82,1,45,0,145,377
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 101-2B","Edmonton",14,3,84,0,41,0,142,385
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 102","Edmonton",36,15,136,1,35,0,223,506
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 103","Edmonton",25,18,103,2,33,0,181,380
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 104","Edmonton",26,13,115,0,46,0,200,399
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 105","Edmonton",32,7,82,0,22,0,143,378
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 106","Edmonton",23,7,93,1,25,0,149,364
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 107A","Edmonton",18,9,93,0,30,0,150,283
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 107B","Edmonton",30,9,83,0,11,0,133,260
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 108","Edmonton",33,15,68,2,24,0,142,305
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 109","Edmonton",32,13,99,0,28,0,172,362
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 110","Edmonton",24,6,153,0,41,0,224,385
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 111","Edmonton",27,7,94,0,42,1,171,364
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 112","Edmonton",27,20,51,2,26,0,126,315
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 113","Edmonton",38,7,96,1,40,0,182,404
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 114","Edmonton",27,16,102,0,35,1,181,428
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 115","Edmonton",39,21,115,0,49,1,225,484
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 116","Edmonton",27,12,102,0,50,2,193,430
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 117","Edmonton",49,14,96,0,47,0,206,435
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 118","Edmonton",53,8,89,1,54,0,205,468
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 119","Edmonton",17,4,65,2,57,1,146,368
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 120","Edmonton",30,15,86,0,18,0,149,359
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 121","Edmonton",35,10,130,3,24,1,203,448
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 122","Edmonton",40,7,148,1,35,2,233,465
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 123","Edmonton",37,10,90,0,18,0,155,359
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 124","Edmonton",24,7,65,0,27,0,123,300
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 125","Edmonton",14,1,36,0,6,0,57,195
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 126","Edmonton",45,19,131,0,32,0,227,468
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 127","Edmonton",41,17,104,0,44,0,206,382
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 128","Edmonton",32,16,91,0,24,0,163,370
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 129","Edmonton",48,12,150,1,28,2,241,428
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130A","Edmonton",10,7,119,0,28,2,166,350
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130B","Edmonton",11,9,86,0,29,1,136,295
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-1A","Edmonton",37,10,166,1,27,1,242,502
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-1B","Edmonton",30,17,171,0,34,0,252,516
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-2","Edmonton",34,11,141,0,34,1,221,523
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-3","Edmonton",15,7,71,1,107,0,201,548
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-4A","Edmonton",21,4,69,0,11,0,105,208
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-4B","Edmonton",Merged with No. 136/Fusionné avec le nº 136,,,,,,,109
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-4C","Edmonton",8,2,65,1,19,0,95,356
