Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary Lou Ambrogio,Jacquie Gauthier,Irene Mathyssen,Daniel O'Neail,Leonard Vanderhoeven,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35042,"London--Fanshawe/London--Fanshawe"," 1","London",96,52,91,19,2,1,261,516
35042,"London--Fanshawe/London--Fanshawe"," 2","London",88,31,99,18,1,2,239,465
35042,"London--Fanshawe/London--Fanshawe"," 3","London",36,23,73,7,0,2,141,369
35042,"London--Fanshawe/London--Fanshawe"," 4","London",59,41,114,12,1,0,227,396
35042,"London--Fanshawe/London--Fanshawe"," 5","London",52,56,128,20,0,6,262,560
35042,"London--Fanshawe/London--Fanshawe"," 6","London",56,38,81,10,2,2,189,414
35042,"London--Fanshawe/London--Fanshawe"," 7","London",55,46,113,16,1,2,233,489
35042,"London--Fanshawe/London--Fanshawe"," 8","London",55,32,33,14,4,1,139,277
35042,"London--Fanshawe/London--Fanshawe"," 9","London",75,52,126,18,3,1,275,602
35042,"London--Fanshawe/London--Fanshawe"," 10","London",49,21,92,7,1,0,170,349
35042,"London--Fanshawe/London--Fanshawe"," 11","London",43,35,46,5,1,2,132,434
35042,"London--Fanshawe/London--Fanshawe"," 12","London",58,33,70,11,0,0,172,335
35042,"London--Fanshawe/London--Fanshawe"," 13","London",53,36,47,9,1,2,148,284
35042,"London--Fanshawe/London--Fanshawe"," 14","London",32,16,73,15,0,1,137,325
35042,"London--Fanshawe/London--Fanshawe"," 15","London",58,25,70,11,0,0,164,304
35042,"London--Fanshawe/London--Fanshawe"," 16","London",55,26,64,6,1,0,152,348
35042,"London--Fanshawe/London--Fanshawe"," 17","London",38,25,53,4,0,0,120,268
35042,"London--Fanshawe/London--Fanshawe"," 18","London",52,38,87,9,0,1,187,378
35042,"London--Fanshawe/London--Fanshawe"," 19","London",69,31,98,8,1,0,207,351
35042,"London--Fanshawe/London--Fanshawe"," 20","London",49,25,70,7,3,0,154,332
35042,"London--Fanshawe/London--Fanshawe"," 21","London",27,33,86,14,0,0,160,354
35042,"London--Fanshawe/London--Fanshawe"," 22","London",32,23,100,9,4,0,168,362
35042,"London--Fanshawe/London--Fanshawe"," 23","London",52,23,48,6,2,0,131,270
35042,"London--Fanshawe/London--Fanshawe"," 24","London",43,16,85,8,0,0,152,303
