Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Matt Kadioglu,Donna Petersen,Salomon Rayek,Doug Warkentin,Wendy Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Vancouver Kingsway/Vancouver Kingsway"," 94B","Vancouver",1,64,0,0,30,18,50,0,163,298
59032,"Vancouver Kingsway/Vancouver Kingsway"," 95","Vancouver",6,81,0,1,49,14,52,4,207,439
59032,"Vancouver Kingsway/Vancouver Kingsway"," 96","Vancouver",0,64,0,1,46,29,57,0,197,363
59032,"Vancouver Kingsway/Vancouver Kingsway"," 96-1","Vancouver",1,64,1,1,68,6,51,1,193,408
59032,"Vancouver Kingsway/Vancouver Kingsway"," 97","Vancouver",2,59,1,0,41,8,50,1,162,312
59032,"Vancouver Kingsway/Vancouver Kingsway"," 98","Vancouver",3,49,2,0,28,10,56,0,148,321
59032,"Vancouver Kingsway/Vancouver Kingsway"," 99","Vancouver",3,96,1,1,74,12,83,8,278,564
59032,"Vancouver Kingsway/Vancouver Kingsway"," 100","Vancouver",7,75,3,1,82,8,86,1,263,504
59032,"Vancouver Kingsway/Vancouver Kingsway"," 101","Vancouver",1,53,4,0,44,7,42,1,152,356
59032,"Vancouver Kingsway/Vancouver Kingsway"," 101-1","Vancouver",0,44,0,0,55,5,33,1,138,327
59032,"Vancouver Kingsway/Vancouver Kingsway"," 102","Vancouver",4,76,3,0,52,13,90,1,239,501
59032,"Vancouver Kingsway/Vancouver Kingsway"," 103","Vancouver",1,63,0,2,85,4,82,2,239,505
59032,"Vancouver Kingsway/Vancouver Kingsway"," 104","Vancouver",0,68,0,0,51,13,49,0,181,355
59032,"Vancouver Kingsway/Vancouver Kingsway"," 105","Vancouver",1,120,1,0,29,17,24,1,193,378
59032,"Vancouver Kingsway/Vancouver Kingsway"," 106","Vancouver",3,58,3,1,29,7,71,0,172,333
59032,"Vancouver Kingsway/Vancouver Kingsway"," 107","Vancouver",2,85,4,2,74,14,100,3,284,481
59032,"Vancouver Kingsway/Vancouver Kingsway"," 108","Vancouver",2,86,2,1,59,2,86,1,239,489
59032,"Vancouver Kingsway/Vancouver Kingsway"," 109","Vancouver",3,74,4,0,60,9,56,3,209,458
59032,"Vancouver Kingsway/Vancouver Kingsway"," 110","Vancouver",1,48,0,1,65,5,39,5,164,392
59032,"Vancouver Kingsway/Vancouver Kingsway"," 111","Vancouver",1,52,2,0,51,11,58,2,177,377
59032,"Vancouver Kingsway/Vancouver Kingsway"," 111-1","Vancouver",4,61,0,2,74,14,69,2,226,382
59032,"Vancouver Kingsway/Vancouver Kingsway"," 112","Vancouver",1,64,1,1,67,18,57,1,210,421
59032,"Vancouver Kingsway/Vancouver Kingsway"," 113","Vancouver",2,70,2,2,54,11,74,2,217,479
