Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeremy Arney,Dale P. Leier,Andrew Lewis,Gary Lunn,Dan Moreau,Patricia O'Brien,Briony Penn,Julian West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 1","North Galiano",1,2,31,77,0,1,204,7,0,323,475
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 2","Ganges",2,0,39,50,1,0,157,8,1,258,402
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 3","Ganges",1,0,35,86,0,0,139,8,1,270,428
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 4","Sturdies Bay",0,1,25,83,0,0,173,11,1,294,426
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 5","Saturna",0,1,30,63,0,0,98,2,1,195,300
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6","Vesuvius",0,0,12,34,1,0,49,1,0,97,169
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 7","Vesuvius",0,0,21,88,2,0,147,5,0,263,447
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 8","Ganges",3,3,33,53,0,2,184,15,1,294,514
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 9","Long Harbour",0,0,34,91,0,0,168,8,1,302,508
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 10","Mayne",0,0,34,88,1,1,107,7,0,238,396
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 11","Mayne",0,0,27,94,4,1,125,6,0,257,455
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 12","Vesuvius",0,0,15,63,0,1,127,5,1,212,345
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 13","Ganges",1,1,44,89,0,0,161,9,0,305,477
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 14","Ganges",1,1,37,72,0,0,200,8,2,321,602
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 15","Ganges",4,2,43,89,1,0,188,20,0,347,640
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 16","Ganges",0,1,26,75,0,1,122,4,0,229,355
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17","Ganges",4,1,28,38,0,0,179,10,1,261,490
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",1,0,31,60,0,0,119,3,2,216,397
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",2,0,34,57,0,1,143,4,1,242,425
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20","Ganges",0,0,55,59,0,1,179,6,1,301,575
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Ganges",Void/Supprimé,,,,,,,,,,
59024,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","Port Washington",0,0,19,52,0,0,92,3,1,167,290
