Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Andrew Akpata,Penny Collenette,Paul Dewar,Jen Hunter,Brian McGarry,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Ottawa Centre/Ottawa-Centre"," 1","Ottawa",1,32,58,14,36,0,0,141,255
35062,"Ottawa Centre/Ottawa-Centre"," 2","Ottawa",0,57,76,17,44,0,0,194,347
35062,"Ottawa Centre/Ottawa-Centre"," 3","Ottawa",2,64,95,28,76,0,1,266,459
35062,"Ottawa Centre/Ottawa-Centre"," 4","Ottawa",1,37,100,22,37,0,2,199,441
35062,"Ottawa Centre/Ottawa-Centre"," 5","Ottawa",1,101,125,15,110,0,3,355,583
35062,"Ottawa Centre/Ottawa-Centre"," 6","Ottawa",2,108,104,32,98,0,2,346,528
35062,"Ottawa Centre/Ottawa-Centre"," 7","Ottawa",2,63,74,20,76,0,2,237,376
35062,"Ottawa Centre/Ottawa-Centre"," 8","Ottawa",0,82,146,39,78,0,1,346,543
35062,"Ottawa Centre/Ottawa-Centre"," 9","Ottawa",0,41,105,28,41,0,3,218,376
35062,"Ottawa Centre/Ottawa-Centre"," 10","Ottawa",2,54,92,36,72,1,0,257,458
35062,"Ottawa Centre/Ottawa-Centre"," 11A","Ottawa",0,65,74,24,92,0,0,255,412
35062,"Ottawa Centre/Ottawa-Centre"," 11B","Ottawa",0,34,55,18,46,0,1,154,232
35062,"Ottawa Centre/Ottawa-Centre"," 12","Ottawa",1,58,91,24,76,1,0,251,392
35062,"Ottawa Centre/Ottawa-Centre"," 13","Ottawa",1,49,119,23,60,0,1,253,411
35062,"Ottawa Centre/Ottawa-Centre"," 14","Ottawa",0,55,103,27,81,0,1,267,391
35062,"Ottawa Centre/Ottawa-Centre"," 15","Ottawa",4,84,79,20,70,0,1,258,377
35062,"Ottawa Centre/Ottawa-Centre"," 16","Ottawa",1,61,115,25,56,0,1,259,369
35062,"Ottawa Centre/Ottawa-Centre"," 17","Ottawa",1,98,71,24,53,0,0,247,375
35062,"Ottawa Centre/Ottawa-Centre"," 18","Ottawa",1,86,92,25,84,1,0,289,407
35062,"Ottawa Centre/Ottawa-Centre"," 19","Ottawa",0,66,104,30,63,0,2,265,374
35062,"Ottawa Centre/Ottawa-Centre"," 20","Ottawa",1,51,86,20,68,0,1,227,370
35062,"Ottawa Centre/Ottawa-Centre"," 21","Ottawa",0,57,99,28,50,0,0,234,348
35062,"Ottawa Centre/Ottawa-Centre"," 22","Ottawa",2,80,88,24,76,0,0,270,417
35062,"Ottawa Centre/Ottawa-Centre"," 23","Ottawa",0,54,79,10,53,1,0,197,318
35062,"Ottawa Centre/Ottawa-Centre"," 24","Ottawa",1,24,74,11,61,0,0,171,408
35062,"Ottawa Centre/Ottawa-Centre"," 25","Ottawa",0,78,79,26,60,0,1,244,333
35062,"Ottawa Centre/Ottawa-Centre"," 26","Ottawa",5,76,156,28,69,0,1,335,463
35062,"Ottawa Centre/Ottawa-Centre"," 27","Ottawa",1,38,52,16,33,0,1,141,275
35062,"Ottawa Centre/Ottawa-Centre"," 28","Ottawa",0,31,67,16,27,0,0,141,298
35062,"Ottawa Centre/Ottawa-Centre"," 29","Ottawa",0,41,91,24,30,0,1,187,371
35062,"Ottawa Centre/Ottawa-Centre"," 30","Ottawa",0,56,68,11,53,0,1,189,385
35062,"Ottawa Centre/Ottawa-Centre"," 31","Ottawa",5,26,99,14,74,1,4,223,370
35062,"Ottawa Centre/Ottawa-Centre"," 32","Ottawa",2,37,79,14,30,0,3,165,347
35062,"Ottawa Centre/Ottawa-Centre"," 33","Ottawa",0,22,44,19,47,0,0,132,304
35062,"Ottawa Centre/Ottawa-Centre"," 34","Ottawa",4,43,121,29,42,0,1,240,483
35062,"Ottawa Centre/Ottawa-Centre"," 35","Ottawa",1,40,84,24,35,0,1,185,324
35062,"Ottawa Centre/Ottawa-Centre"," 36","Ottawa",4,32,96,25,44,0,0,201,435
35062,"Ottawa Centre/Ottawa-Centre"," 37","Ottawa",3,106,130,23,78,0,0,340,532
35062,"Ottawa Centre/Ottawa-Centre"," 38","Ottawa",3,43,91,21,57,0,2,217,375
35062,"Ottawa Centre/Ottawa-Centre"," 39","Ottawa",0,63,130,35,44,0,1,273,440
35062,"Ottawa Centre/Ottawa-Centre"," 40","Ottawa",0,56,121,29,46,0,0,252,392
35062,"Ottawa Centre/Ottawa-Centre"," 41","Ottawa",1,54,94,37,81,0,0,267,443
35062,"Ottawa Centre/Ottawa-Centre"," 42","Ottawa",1,64,94,36,54,0,0,249,390
35062,"Ottawa Centre/Ottawa-Centre"," 43","Ottawa",1,68,114,21,56,0,1,261,413
35062,"Ottawa Centre/Ottawa-Centre"," 44","Ottawa",0,59,111,22,35,0,0,227,366
35062,"Ottawa Centre/Ottawa-Centre"," 45","Ottawa",0,43,127,30,46,1,1,248,350
35062,"Ottawa Centre/Ottawa-Centre"," 46","Ottawa",1,80,73,20,68,0,0,242,376
35062,"Ottawa Centre/Ottawa-Centre"," 47","Ottawa",0,64,79,24,48,0,1,216,359
35062,"Ottawa Centre/Ottawa-Centre"," 48","Ottawa",1,40,83,15,34,0,1,174,348
35062,"Ottawa Centre/Ottawa-Centre"," 49","Ottawa",3,56,148,34,18,1,0,260,420
35062,"Ottawa Centre/Ottawa-Centre"," 50","Ottawa",0,62,130,22,29,0,0,243,486
35062,"Ottawa Centre/Ottawa-Centre"," 51","Ottawa",1,41,72,29,31,0,2,176,370
35062,"Ottawa Centre/Ottawa-Centre"," 52","Ottawa",1,28,55,16,30,0,2,132,256
35062,"Ottawa Centre/Ottawa-Centre"," 53","Ottawa",9,55,115,27,30,1,0,237,462
