Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mohamed Alli,Candice Hoeppner,Charlie Howatt,Ted Klassen,Len Lodder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 1","Sidney",13,144,9,10,1,0,177,310
46007,"Portage--Lisgar/Portage--Lisgar"," 2","Austin",9,152,9,8,8,1,187,370
46007,"Portage--Lisgar/Portage--Lisgar"," 3","Austin",4,143,8,7,3,0,165,281
46007,"Portage--Lisgar/Portage--Lisgar"," 4","MacGregor",16,175,16,14,1,1,223,374
46007,"Portage--Lisgar/Portage--Lisgar"," 5","MacGregor",21,165,5,17,1,2,211,314
46007,"Portage--Lisgar/Portage--Lisgar"," 6","MacGregor",12,147,6,11,3,1,180,361
46007,"Portage--Lisgar/Portage--Lisgar"," 7","Bagot",2,89,10,11,4,0,116,248
46007,"Portage--Lisgar/Portage--Lisgar"," 8","Worby",2,57,10,12,1,0,82,222
46007,"Portage--Lisgar/Portage--Lisgar"," 9","Lavenham",9,100,9,4,2,0,124,249
46007,"Portage--Lisgar/Portage--Lisgar"," 10","Macdonald",8,98,5,11,2,1,125,326
46007,"Portage--Lisgar/Portage--Lisgar"," 11A","Oakland",16,45,3,12,1,0,77,265
46007,"Portage--Lisgar/Portage--Lisgar"," 11B","Oakland",11,56,12,15,3,1,98,392
46007,"Portage--Lisgar/Portage--Lisgar"," 12","High Bluff",7,79,6,7,0,0,99,304
46007,"Portage--Lisgar/Portage--Lisgar"," 13","Poplar Point",19,55,8,14,1,2,99,176
46007,"Portage--Lisgar/Portage--Lisgar"," 14","Edwin",12,49,7,11,2,0,81,153
46007,"Portage--Lisgar/Portage--Lisgar"," 15A","Edwin",2,1,1,11,0,0,15,1
46007,"Portage--Lisgar/Portage--Lisgar"," 15B","Edwin",29,11,2,51,0,0,93,277
46007,"Portage--Lisgar/Portage--Lisgar"," 16","Edwin",22,32,4,16,0,0,74,266
46007,"Portage--Lisgar/Portage--Lisgar"," 17","Portage la Prairie",11,58,4,11,2,0,86,188
46007,"Portage--Lisgar/Portage--Lisgar"," 18","Portage la Prairie",5,36,4,16,1,0,62,185
