Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Ferreira,Miguel Figueroa,Wendy Forrest,Simon Luisi,Theresa Rodrigues,Wayne Scott,Mario Silva,Sarah Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Davenport/Davenport"," 1A","York",31,2,0,0,18,4,54,0,1,110,262
35015,"Davenport/Davenport"," 1B","York",27,1,0,0,24,1,43,0,0,96,274
35015,"Davenport/Davenport"," 1-1","York",31,2,0,1,16,8,60,0,0,118,324
35015,"Davenport/Davenport"," 2","York",46,1,0,0,32,7,70,1,1,158,316
35015,"Davenport/Davenport"," 3","York",42,1,0,1,48,10,120,1,4,227,461
35015,"Davenport/Davenport"," 4","York",Void/Supprimé,,,,,,,,,,
35015,"Davenport/Davenport"," 5","York",52,2,0,4,32,10,98,0,5,203,420
35015,"Davenport/Davenport"," 6","York",49,0,1,0,45,10,111,0,1,217,436
35015,"Davenport/Davenport"," 7","York",69,0,1,0,42,8,89,1,0,210,477
35015,"Davenport/Davenport"," 8","York",44,0,1,0,47,3,84,1,0,180,425
35015,"Davenport/Davenport"," 9","York",31,1,2,0,26,7,72,0,0,139,311
35015,"Davenport/Davenport"," 10","York",42,1,0,1,32,9,68,1,1,155,379
35015,"Davenport/Davenport"," 11","York",71,1,1,1,18,8,84,0,1,185,387
35015,"Davenport/Davenport"," 12","York",50,0,2,1,18,5,85,0,0,161,356
35015,"Davenport/Davenport"," 13","York",32,0,0,1,29,7,88,0,2,159,338
35015,"Davenport/Davenport"," 14","Toronto",40,0,2,0,29,9,89,0,1,170,437
35015,"Davenport/Davenport"," 15","Toronto",72,2,0,0,28,9,90,0,0,201,469
35015,"Davenport/Davenport"," 16","Toronto",68,2,1,0,22,15,89,0,1,198,475
35015,"Davenport/Davenport"," 17","Toronto",43,2,1,0,15,14,67,0,0,142,339
35015,"Davenport/Davenport"," 18A","Toronto",23,1,0,2,25,1,58,0,2,112,284
35015,"Davenport/Davenport"," 18B","Toronto",37,0,1,0,14,3,59,0,1,115,340
35015,"Davenport/Davenport"," 18-1","Toronto",61,0,0,0,18,13,79,0,0,171,400
35015,"Davenport/Davenport"," 19","Toronto",36,0,1,0,13,9,79,0,1,139,332
35015,"Davenport/Davenport"," 19-1","Toronto",43,0,2,0,25,12,75,0,5,162,311
35015,"Davenport/Davenport"," 20","Toronto",26,1,1,0,19,3,79,0,1,130,316
35015,"Davenport/Davenport"," 21","Toronto",40,0,0,0,19,8,100,1,0,168,381
35015,"Davenport/Davenport"," 22","Toronto",43,0,0,0,17,6,67,0,1,134,343
35015,"Davenport/Davenport"," 23","Toronto",35,1,2,0,15,11,114,0,1,179,386
35015,"Davenport/Davenport"," 24","Toronto",45,2,0,1,28,17,129,1,0,223,440
35015,"Davenport/Davenport"," 25","Toronto",36,0,1,0,29,9,111,0,1,187,403
35015,"Davenport/Davenport"," 26","Toronto",49,0,1,0,33,8,122,0,0,213,432
35015,"Davenport/Davenport"," 27","Toronto",48,1,1,0,14,5,95,0,2,166,411
35015,"Davenport/Davenport"," 28","York",31,0,0,0,12,10,78,0,1,132,353
35015,"Davenport/Davenport"," 29","York",57,0,1,0,29,14,98,0,1,200,381
35015,"Davenport/Davenport"," 30","York",62,4,6,1,25,15,101,0,3,217,421
35015,"Davenport/Davenport"," 31","York",55,1,1,0,30,18,80,0,2,187,351
35015,"Davenport/Davenport"," 32","York",74,1,1,2,17,17,91,1,3,207,360
