Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arpin,Jean-Claude JC D'Amours,Jean-Pierre Ouellet,Thérèse Tremblay-Philippe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 53","Val-d'Amour",2,78,31,25,3,139,206
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 54","Saint-Arthur",13,108,49,50,4,224,315
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 55","Saint-Arthur",10,126,36,33,7,212,331
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 56A","Val-d'Amour",17,182,48,65,1,313,474
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 56B","Val-d'Amour",11,142,30,34,14,231,394
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 57","Maltais",6,72,17,37,5,137,223
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 58","Balmoral",12,124,42,53,9,240,366
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 59","Balmoral",11,106,47,44,7,215,371
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 60A","Balmoral",7,139,54,70,8,278,471
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 60B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,25
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 61","Balmoral",12,116,57,66,9,260,409
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 62","Saint-Quentin",13,62,72,31,8,186,328
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 62-1","Eldon",5,46,38,20,4,113,205
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 63","Saint-Martin-de-Restigouche",7,54,25,10,5,101,161
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 64","Saint-Quentin",11,91,101,25,5,233,357
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 65","Saint-Quentin",12,60,92,46,6,216,372
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 66","Saint-Quentin",10,72,108,38,16,244,462
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 66-1","Saint-Quentin",9,50,79,27,1,166,283
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 67","Saint-Quentin",12,75,59,29,9,184,340
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 68","Saint-Quentin",15,83,74,36,17,225,380
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 69","Saint-Jean-Baptiste-de-Restigouche",8,109,22,14,4,157,222
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 70","Kedgwick River",35,96,46,35,4,216,389
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 71","Kedgwick",19,143,32,27,1,222,370
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 72","Kedgwick",12,126,20,25,7,190,345
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 73","Kedgwick",12,107,42,38,2,201,363
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 74","Kedgwick",12,122,38,23,2,197,315
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 75","Kedgwick",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 76","Saint-Joseph",3,91,51,38,3,186,310
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 77","Saint-Joseph",6,119,74,31,6,236,396
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 78","Saint-Joseph",11,107,71,38,2,229,411
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 79","Saint-Joseph",3,86,46,34,1,170,318
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 80","Saint-Jacques",3,101,91,22,3,220,419
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 81","Saint-Jacques",1,27,30,6,0,64,119
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 82","Saint-Jacques",8,103,84,25,10,230,450
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 83","Saint-Jacques",9,88,82,11,1,191,382
