Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyrell Alexander,Antonio Artuso,Irwin Cotler,Diane Johnston,Maryse Lavallée,Nicolas Thibodeau,Rafael Tzoubari,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Mount Royal/Mont-Royal"," 1","Mont-Royal",9,0,109,0,8,14,34,2,176,376
24044,"Mount Royal/Mont-Royal"," 2","Mont-Royal",7,1,68,0,8,10,39,0,133,305
24044,"Mount Royal/Mont-Royal"," 3","Mont-Royal",6,0,82,0,7,11,26,3,135,299
24044,"Mount Royal/Mont-Royal"," 4","Mont-Royal",11,0,110,1,3,12,31,2,170,362
24044,"Mount Royal/Mont-Royal"," 5","Mont-Royal",6,0,73,0,23,21,24,0,147,313
24044,"Mount Royal/Mont-Royal"," 6","Mont-Royal",14,1,102,0,32,32,24,1,206,422
24044,"Mount Royal/Mont-Royal"," 7","Mont-Royal",1,0,43,0,5,13,9,0,71,210
24044,"Mount Royal/Mont-Royal"," 8A","Mont-Royal",11,0,122,0,23,23,36,1,216,414
24044,"Mount Royal/Mont-Royal"," 8B","Mont-Royal",10,0,110,0,23,23,27,1,194,402
24044,"Mount Royal/Mont-Royal"," 9","Mont-Royal",21,0,104,0,25,38,41,0,229,407
24044,"Mount Royal/Mont-Royal"," 10","Mont-Royal",17,1,134,0,39,37,31,1,260,463
24044,"Mount Royal/Mont-Royal"," 11","Mont-Royal",28,0,119,0,44,36,32,2,261,447
24044,"Mount Royal/Mont-Royal"," 12","Mont-Royal",9,0,92,0,39,36,14,0,190,380
24044,"Mount Royal/Mont-Royal"," 13","Mont-Royal",11,1,102,0,17,8,22,0,161,286
24044,"Mount Royal/Mont-Royal"," 14","Mont-Royal",19,1,96,1,31,21,21,3,193,397
24044,"Mount Royal/Mont-Royal"," 15","Mont-Royal",21,1,130,0,23,28,32,2,237,416
24044,"Mount Royal/Mont-Royal"," 16","Mont-Royal",8,0,118,2,10,15,47,0,200,411
24044,"Mount Royal/Mont-Royal"," 17","Mont-Royal",27,1,187,0,23,26,46,1,311,516
24044,"Mount Royal/Mont-Royal"," 18","Mont-Royal",11,1,137,0,9,22,49,2,231,548
24044,"Mount Royal/Mont-Royal"," 19","Mont-Royal",5,2,75,2,11,17,26,0,138,421
24044,"Mount Royal/Mont-Royal"," 20","Mont-Royal",6,0,96,0,12,9,34,0,157,314
