Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Greg McClinchey,Tony McQuail,Glen Smith,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 149","Londesborough",25,108,115,27,4,2,3,284,424
35034,"Huron--Bruce/Huron--Bruce"," 150","Kinburn",9,86,65,14,4,3,0,181,290
35034,"Huron--Bruce/Huron--Bruce"," 151","Bayfiled",1,162,95,46,12,1,0,317,545
35034,"Huron--Bruce/Huron--Bruce"," 152","Holmesville",5,148,81,43,13,2,0,292,436
35034,"Huron--Bruce/Huron--Bruce"," 153","Clinton ",5,93,75,33,3,0,1,210,395
35034,"Huron--Bruce/Huron--Bruce"," 154","Kinburn",6,56,59,8,9,0,0,138,239
35034,"Huron--Bruce/Huron--Bruce"," 155","Clinton ",0,86,60,51,12,2,0,211,351
35034,"Huron--Bruce/Huron--Bruce"," 156","Clinton ",1,103,48,42,7,3,0,204,400
35034,"Huron--Bruce/Huron--Bruce"," 157","Clinton ",2,104,57,32,11,0,0,206,354
35034,"Huron--Bruce/Huron--Bruce"," 158","Clinton ",3,45,31,29,3,1,2,114,209
35034,"Huron--Bruce/Huron--Bruce"," 159","Clinton ",7,54,48,13,9,1,0,132,207
35034,"Huron--Bruce/Huron--Bruce"," 160","Clinton ",1,83,45,39,7,3,1,179,345
35034,"Huron--Bruce/Huron--Bruce"," 161","Bayfield",0,80,98,28,15,0,1,222,338
35034,"Huron--Bruce/Huron--Bruce"," 162","Bayfield",4,163,127,54,16,2,1,367,566
35034,"Huron--Bruce/Huron--Bruce"," 163","Stanley",2,144,101,40,14,2,0,303,540
35034,"Huron--Bruce/Huron--Bruce"," 164","Stanley",0,119,44,18,6,0,0,187,312
35034,"Huron--Bruce/Huron--Bruce"," 165","Stanley",2,121,70,39,4,0,0,236,412
35034,"Huron--Bruce/Huron--Bruce"," 166","Tuckersmith",0,98,42,101,12,1,0,254,445
35034,"Huron--Bruce/Huron--Bruce"," 167","Tuckersmith",1,72,45,16,7,0,0,141,249
35034,"Huron--Bruce/Huron--Bruce"," 168","Grey",1,72,52,45,11,2,0,183,331
35034,"Huron--Bruce/Huron--Bruce"," 169","Grey",3,72,39,22,6,1,0,143,282
35034,"Huron--Bruce/Huron--Bruce"," 170","McKillop",4,95,45,23,7,0,0,174,268
35034,"Huron--Bruce/Huron--Bruce"," 171","McKillop",4,86,47,22,10,0,0,169,272
35034,"Huron--Bruce/Huron--Bruce"," 172","McKillop",1,64,58,19,9,0,1,152,303
35034,"Huron--Bruce/Huron--Bruce"," 173","Seaforth",2,68,52,34,11,0,0,167,303
35034,"Huron--Bruce/Huron--Bruce"," 174","Seaforth",3,57,52,28,8,0,0,148,307
35034,"Huron--Bruce/Huron--Bruce"," 175","Seaforth",2,84,69,50,11,0,1,217,437
35034,"Huron--Bruce/Huron--Bruce"," 176","Seaforth",4,71,51,40,10,2,1,179,352
35034,"Huron--Bruce/Huron--Bruce"," 177","Seaforth",0,62,40,28,10,3,2,145,337
35034,"Huron--Bruce/Huron--Bruce"," 178","Tuckersmith",1,101,98,34,11,3,1,249,488
35034,"Huron--Bruce/Huron--Bruce"," 179","Tuckersmith",2,136,71,44,15,1,2,271,437
35034,"Huron--Bruce/Huron--Bruce"," 180","Tuckersmith",2,84,35,21,9,1,0,152,273
