Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoît Beauchamp,Lise Bissonnette,Robert Frégeau,Serge Ménard,Claude Moreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1","Bois-des-Filion",45,6,88,145,40,4,328,545
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1-1A","Bois-des-Filion",35,7,42,110,23,3,220,379
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1-1B","Bois-des-Filion",16,4,23,65,16,1,125,213
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2","Bois-des-Filion",37,5,45,123,24,5,239,426
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3","Bois-des-Filion",33,12,25,155,27,4,256,526
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 4","Bois-des-Filion",21,5,46,131,37,5,245,470
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 5","Bois-des-Filion",34,9,49,177,15,0,284,442
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 6","Bois-des-Filion",55,15,31,171,38,9,319,529
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 7","Bois-des-Filion",40,15,25,155,31,4,270,456
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 8","Bois-des-Filion",27,11,38,175,30,1,282,476
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 9","Bois-des-Filion",34,7,36,120,28,5,230,430
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 10","Bois-des-Filion",Void/Supprimé,,,,,,,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 11","Bois-des-Filion",24,7,28,113,21,4,197,309
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 12","Bois-des-Filion",33,14,20,129,26,9,231,430
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 13","Bois-des-Filion",30,5,35,142,24,7,243,367
