Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mahmood Raza Baig,Vivian Barbot,Ingrid Hein,Mustaque Sarker,Justin Trudeau,Costa Zafiropoulos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 1","Montréal",0,40,3,21,82,10,0,156,395
24048,"Papineau/Papineau"," 2A","Montréal",0,30,7,12,88,13,4,154,266
24048,"Papineau/Papineau"," 2B","Montréal",0,41,3,12,60,10,2,128,240
24048,"Papineau/Papineau"," 3A","Montréal",2,38,3,7,43,14,1,108,225
24048,"Papineau/Papineau"," 3B","Montréal",3,22,1,0,72,9,1,108,216
24048,"Papineau/Papineau"," 4","Montréal",2,66,6,29,91,19,3,216,377
24048,"Papineau/Papineau"," 5A","Montréal",4,44,1,5,40,9,1,104,250
24048,"Papineau/Papineau"," 5B","Montréal",0,30,5,17,31,10,2,95,251
24048,"Papineau/Papineau"," 6","Montréal",4,53,7,17,84,8,0,173,385
24048,"Papineau/Papineau"," 7A","Montréal",2,32,1,7,61,10,4,117,226
24048,"Papineau/Papineau"," 7B","Montréal",1,31,1,14,54,5,2,108,214
24048,"Papineau/Papineau"," 8","Montréal",1,40,3,22,86,9,4,165,354
24048,"Papineau/Papineau"," 9","Montréal",2,37,2,29,109,5,3,187,391
24048,"Papineau/Papineau"," 10","Montréal",1,33,3,23,85,11,3,159,376
24048,"Papineau/Papineau"," 11","Montréal",2,53,6,25,108,9,5,208,443
24048,"Papineau/Papineau"," 12","Montréal",2,55,2,18,97,12,4,190,342
24048,"Papineau/Papineau"," 13","Montréal",0,69,3,8,103,10,2,195,355
24048,"Papineau/Papineau"," 14","Montréal",1,42,6,9,67,7,3,135,312
24048,"Papineau/Papineau"," 15","Montréal",0,52,5,10,86,14,2,169,365
24048,"Papineau/Papineau"," 16","Montréal",4,53,8,12,80,13,1,171,418
24048,"Papineau/Papineau"," 17","Montréal",0,99,7,19,72,18,9,224,397
24048,"Papineau/Papineau"," 18A","Montréal",0,28,11,5,52,11,3,110,269
24048,"Papineau/Papineau"," 18B","Montréal",2,19,0,12,52,10,3,98,244
24048,"Papineau/Papineau"," 19A","Montréal",1,18,1,14,68,7,1,110,204
24048,"Papineau/Papineau"," 19B","Montréal",0,20,0,19,78,8,4,129,243
24048,"Papineau/Papineau"," 20","Montréal",2,59,4,21,111,18,4,219,408
24048,"Papineau/Papineau"," 21","Montréal",1,29,4,20,100,16,3,173,296
24048,"Papineau/Papineau"," 22","Montréal",2,44,9,14,100,14,0,183,384
24048,"Papineau/Papineau"," 23","Montréal",1,65,3,24,121,9,2,225,408
24048,"Papineau/Papineau"," 24","Montréal",2,77,5,15,105,21,4,229,429
24048,"Papineau/Papineau"," 25","Montréal",0,61,5,17,117,14,5,219,404
24048,"Papineau/Papineau"," 26","Montréal",2,75,8,27,85,26,4,227,382
24048,"Papineau/Papineau"," 27A","Montréal",1,53,2,5,42,6,3,112,213
24048,"Papineau/Papineau"," 27B","Montréal",1,43,1,9,61,17,2,134,257
24048,"Papineau/Papineau"," 28A","Montréal",0,60,4,11,35,10,4,124,234
24048,"Papineau/Papineau"," 28B","Montréal",1,41,3,13,52,20,2,132,238
24048,"Papineau/Papineau"," 29A","Montréal",2,55,4,2,48,7,1,119,214
24048,"Papineau/Papineau"," 29B","Montréal",1,47,5,10,58,18,1,140,239
24048,"Papineau/Papineau"," 30","Montréal",2,39,2,9,113,5,2,172,320
