Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Jody Di Bartolomeo,Alf Kiers,John Maloney,Jennifer Mooradian,Ron Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Welland/Welland"," 1","St. Catharines",31,4,94,35,15,0,0,179,330
35097,"Welland/Welland"," 2A","St. Catharines",37,1,63,30,11,1,0,143,257
35097,"Welland/Welland"," 2B","St. Catharines",47,2,49,32,11,0,0,141,269
35097,"Welland/Welland"," 3","St. Catharines",51,2,99,58,15,1,1,227,382
35097,"Welland/Welland"," 4","St. Catharines",45,1,84,45,21,1,0,197,375
35097,"Welland/Welland"," 5","St. Catharines",56,0,52,24,8,0,0,140,318
35097,"Welland/Welland"," 6","St. Catharines",78,1,48,49,19,1,0,196,402
35097,"Welland/Welland"," 7","St. Catharines",67,2,35,30,7,0,1,142,339
35097,"Welland/Welland"," 8","St. Catharines",55,2,39,35,11,0,1,143,288
35097,"Welland/Welland"," 9","St. Catharines",67,2,39,24,19,0,0,151,368
35097,"Welland/Welland"," 10","St. Catharines",52,0,41,15,14,0,0,122,317
35097,"Welland/Welland"," 11","St. Catharines",80,1,51,21,10,1,4,168,409
35097,"Welland/Welland"," 12","St. Catharines",70,2,56,34,18,0,1,181,404
35097,"Welland/Welland"," 13A","St. Catharines",55,2,29,16,12,0,0,114,251
35097,"Welland/Welland"," 13B","St. Catharines",62,0,25,27,5,0,0,119,283
35097,"Welland/Welland"," 14","St. Catharines",46,2,57,30,12,0,2,149,278
35097,"Welland/Welland"," 15","St. Catharines",48,0,100,85,11,0,3,247,471
35097,"Welland/Welland"," 15-1","St. Catharines",56,0,62,46,11,1,2,178,392
35097,"Welland/Welland"," 16","St. Catharines",36,1,116,53,12,1,1,220,372
35097,"Welland/Welland"," 16-1","St. Catharines",22,3,37,33,17,1,0,113,263
35097,"Welland/Welland"," 17","St. Catharines",28,2,90,77,7,0,1,205,333
