Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Orlando Da Silva,Jamie Kropf,Rod McNeil,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",36,8,2,3,0,49,347
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",129,43,37,21,1,231,425
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",76,51,22,17,0,166,351
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",104,48,28,31,1,212,389
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Woolwich",91,46,22,18,1,178,316
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Woolwich",56,47,23,19,0,145,277
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 26A","Woolwich",109,54,15,39,1,218,354
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 26B","Woolwich",113,34,18,27,0,192,318
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 26-1","Woolwich",163,44,42,48,1,298,568
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 27","Woolwich",120,55,41,19,2,237,404
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 28","Woolwich",133,47,24,21,2,227,388
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 29","Woolwich",115,47,21,7,0,190,328
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Woolwich",98,40,19,10,0,167,321
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Woolwich",137,54,28,29,0,248,415
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Woolwich",105,19,21,29,0,174,360
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Woolwich",96,38,24,28,0,186,317
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Woolwich",97,39,24,33,0,193,414
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 35","Woolwich",182,70,44,41,0,337,600
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 36","Woolwich",105,31,21,28,0,185,389
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Wellesley",84,19,7,8,1,119,360
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 38","Wellesley",17,7,7,1,0,32,368
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 39","Linwood",89,40,10,13,1,153,405
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Linwood",89,42,22,19,0,172,542
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Wellesley",29,11,4,5,0,49,250
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Wellesley",58,8,8,5,0,79,279
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 43A","Wellesley",120,55,27,17,0,219,371
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 43B","Wellesley",117,35,25,26,0,203,323
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Wellesley",201,64,36,36,0,337,514
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 45","Wellesley",222,76,31,34,0,363,567
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 46","Wellesley",87,20,4,10,0,121,329
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 47","Wellesley",93,55,16,14,0,178,465
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 48","St. Clements",119,46,24,32,0,221,385
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 49","St. Clements",157,76,28,27,0,288,499
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 50","Wellesley",130,81,30,36,2,279,538
