Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Fox,Jeff Horvath,Blake Richards,Jenn Turcott,Krista Zoobkoff,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Wild Rose/Wild Rose"," 1","Big Horn 144A - Clearwater County",11,10,51,4,0,0,76,159
48027,"Wild Rose/Wild Rose"," 1-1","Big Horn 144A",3,5,5,9,0,0,22,24
48027,"Wild Rose/Wild Rose"," 2","Strachan",Merged with No. 3/Fusionné avec le nº 3,,,,,,,51
48027,"Wild Rose/Wild Rose"," 3","Ricinus",5,7,193,6,1,0,212,358
48027,"Wild Rose/Wild Rose"," 4","Chedderville",27,13,177,3,0,0,220,434
48027,"Wild Rose/Wild Rose"," 5","Stauffer",14,11,153,4,1,0,183,368
48027,"Wild Rose/Wild Rose"," 6","Caroline",19,18,282,5,0,0,324,634
48027,"Wild Rose/Wild Rose"," 7","Caroline",12,14,169,4,0,0,199,559
48027,"Wild Rose/Wild Rose"," 8","Crammond",19,9,191,3,2,1,225,412
48027,"Wild Rose/Wild Rose"," 9","Clearwater No. 99",Merged with No. 16/Fusionné avec le nº 16,,,,,,,9
48027,"Wild Rose/Wild Rose"," 10","Lake Louise",40,34,46,14,0,0,134,436
48027,"Wild Rose/Wild Rose"," 11","Lake Louise",35,30,23,15,0,2,105,114
48027,"Wild Rose/Wild Rose"," 12","Banff",37,19,25,16,2,0,99,218
48027,"Wild Rose/Wild Rose"," 13","Water Valley",Merged with No. 14/Fusionné avec le nº 14,,,,,,,4
48027,"Wild Rose/Wild Rose"," 14","Elkton",24,6,168,12,0,0,210,383
48027,"Wild Rose/Wild Rose"," 15","Waiparous",15,6,52,6,0,0,79,136
48027,"Wild Rose/Wild Rose"," 16","Bearberry",21,4,150,4,0,0,179,328
48027,"Wild Rose/Wild Rose"," 17","Sundre",25,18,265,11,0,0,319,581
48027,"Wild Rose/Wild Rose"," 18","Mound",13,6,215,4,0,0,238,389
48027,"Wild Rose/Wild Rose"," 19","Sundre",23,12,239,5,1,1,281,536
48027,"Wild Rose/Wild Rose"," 20","Sundre",22,7,176,6,0,2,213,444
48027,"Wild Rose/Wild Rose"," 21A","Sundre",20,10,183,7,0,0,220,606
48027,"Wild Rose/Wild Rose"," 21B","Sundre",27,14,207,7,2,0,257,636
48027,"Wild Rose/Wild Rose"," 22","Sundre",9,14,163,4,1,0,191,417
48027,"Wild Rose/Wild Rose"," 23A","Sundre",21,8,231,7,0,0,267,470
48027,"Wild Rose/Wild Rose"," 23B","Sundre",29,9,233,7,2,1,281,497
48027,"Wild Rose/Wild Rose"," 24","Harmattan",19,2,143,3,0,0,167,282
48027,"Wild Rose/Wild Rose"," 25","Eagle Hill",25,12,305,12,1,0,355,563
48027,"Wild Rose/Wild Rose"," 26","Netook",22,3,234,7,0,0,266,463
48027,"Wild Rose/Wild Rose"," 27","Olds",42,5,129,10,2,0,188,319
48027,"Wild Rose/Wild Rose"," 28","Harmattan",29,4,262,5,3,0,303,495
48027,"Wild Rose/Wild Rose"," 29","Minaret",11,5,104,1,0,1,122,269
48027,"Wild Rose/Wild Rose"," 30","Westcott",27,14,209,7,0,0,257,419
48027,"Wild Rose/Wild Rose"," 31","Didsbury",40,27,301,10,1,0,379,660
48027,"Wild Rose/Wild Rose"," 32","Didsbury",25,13,167,9,2,0,216,411
48027,"Wild Rose/Wild Rose"," 33","Didsbury",22,15,171,11,0,0,219,432
48027,"Wild Rose/Wild Rose"," 34A","Didsbury",24,17,173,7,3,0,224,553
48027,"Wild Rose/Wild Rose"," 34B","Didsbury",22,20,206,5,0,0,253,586
48027,"Wild Rose/Wild Rose"," 35","Didsbury",23,21,119,5,0,0,168,307
48027,"Wild Rose/Wild Rose"," 36","Didsbury",31,14,147,10,0,1,203,393
48027,"Wild Rose/Wild Rose"," 36-1","Didsbury",15,15,133,6,0,0,169,322
48027,"Wild Rose/Wild Rose"," 37","Neapolis",17,2,236,8,3,1,267,409
48027,"Wild Rose/Wild Rose"," 38A","Carstairs",20,6,168,7,1,3,205,330
48027,"Wild Rose/Wild Rose"," 38B","Carstairs",13,7,193,10,0,0,223,355
48027,"Wild Rose/Wild Rose"," 39","Carstairs",12,8,109,8,0,0,137,294
48027,"Wild Rose/Wild Rose"," 39-1","Carstairs",7,5,138,3,1,1,155,262
48027,"Wild Rose/Wild Rose"," 40","Carstairs",25,15,196,9,1,0,246,444
48027,"Wild Rose/Wild Rose"," 41A","Carstairs",7,17,202,6,1,0,233,439
48027,"Wild Rose/Wild Rose"," 41B","Carstairs",14,12,199,8,3,0,236,459
48027,"Wild Rose/Wild Rose"," 41-1","Carstairs",13,14,154,4,2,0,187,310
48027,"Wild Rose/Wild Rose"," 42","Neapolis",6,1,102,2,0,0,111,181
48027,"Wild Rose/Wild Rose"," 43","Wessex",14,7,175,11,2,0,209,352
48027,"Wild Rose/Wild Rose"," 44","Dogpound",16,9,211,3,0,0,239,423
48027,"Wild Rose/Wild Rose"," 45","Cremona",19,8,244,15,0,0,286,431
48027,"Wild Rose/Wild Rose"," 46","Cremona",22,13,159,8,0,0,202,378
48027,"Wild Rose/Wild Rose"," 47","Water Valley",49,14,247,12,1,1,324,513
48027,"Wild Rose/Wild Rose"," 48","Olds",8,4,96,5,0,1,114,232
48027,"Wild Rose/Wild Rose"," 49","Olds",11,6,225,15,0,1,258,470
48027,"Wild Rose/Wild Rose"," 50","Olds",12,4,105,3,2,0,126,237
48027,"Wild Rose/Wild Rose"," 51","Olds",21,12,247,16,1,0,297,537
48027,"Wild Rose/Wild Rose"," 52","Olds",17,21,100,7,0,0,145,365
48027,"Wild Rose/Wild Rose"," 53","Olds",15,26,200,9,2,0,252,481
48027,"Wild Rose/Wild Rose"," 54","Olds",14,7,111,13,0,0,145,303
48027,"Wild Rose/Wild Rose"," 55","Olds",10,7,99,6,0,0,122,247
48027,"Wild Rose/Wild Rose"," 56","Olds",21,21,240,10,1,0,293,610
48027,"Wild Rose/Wild Rose"," 57","Olds",5,5,120,20,0,0,150,285
48027,"Wild Rose/Wild Rose"," 58","Olds",22,6,108,17,3,0,156,297
48027,"Wild Rose/Wild Rose"," 59","Olds",23,17,121,16,0,0,177,441
48027,"Wild Rose/Wild Rose"," 60","Olds",31,20,107,9,0,0,167,377
48027,"Wild Rose/Wild Rose"," 61","Olds",21,11,208,22,0,0,262,498
48027,"Wild Rose/Wild Rose"," 62","Olds",15,17,196,14,0,0,242,390
48027,"Wild Rose/Wild Rose"," 63","Madden",15,3,213,3,1,0,235,398
48027,"Wild Rose/Wild Rose"," 64","Crossfield",6,2,116,5,1,0,130,193
48027,"Wild Rose/Wild Rose"," 65","Crossfield",15,5,215,8,2,0,245,437
48027,"Wild Rose/Wild Rose"," 66","Crossfield",18,12,202,6,1,0,239,425
48027,"Wild Rose/Wild Rose"," 67A","Crossfield",16,15,128,7,0,0,166,275
48027,"Wild Rose/Wild Rose"," 67B","Crossfield",9,7,123,2,0,1,142,336
48027,"Wild Rose/Wild Rose"," 67-1","Crossfield",23,15,296,13,1,0,348,530
48027,"Wild Rose/Wild Rose"," 68","Crossfield",Merged with No. 67A/Fusionné avec le nº 67A,,,,,,,99
48027,"Wild Rose/Wild Rose"," 69","Kersey",9,6,126,5,2,0,148,207
48027,"Wild Rose/Wild Rose"," 70","Airdrie",21,10,278,11,0,1,321,564
48027,"Wild Rose/Wild Rose"," 71","Airdrie",12,16,241,12,2,0,283,574
48027,"Wild Rose/Wild Rose"," 72","Airdrie",21,7,163,3,3,1,198,376
48027,"Wild Rose/Wild Rose"," 73","Bearspaw",29,11,226,18,0,2,286,506
48027,"Wild Rose/Wild Rose"," 74A","Balzac",15,14,187,12,1,0,229,465
48027,"Wild Rose/Wild Rose"," 74B","Balzac",27,16,206,12,0,0,261,512
48027,"Wild Rose/Wild Rose"," 75A","Balzac",20,16,193,11,1,1,242,518
48027,"Wild Rose/Wild Rose"," 75B","Balzac",18,12,202,14,1,0,247,560
48027,"Wild Rose/Wild Rose"," 75C","Balzac",14,9,223,13,0,1,260,524
48027,"Wild Rose/Wild Rose"," 76","Rocky View",11,10,157,6,0,0,184,510
48027,"Wild Rose/Wild Rose"," 77","Airdrie",17,17,227,9,0,1,271,591
48027,"Wild Rose/Wild Rose"," 77-1","Airdrie",17,12,143,3,1,0,176,402
48027,"Wild Rose/Wild Rose"," 77-2","Airdrie",16,10,107,7,0,1,141,324
48027,"Wild Rose/Wild Rose"," 78","Airdrie",24,12,126,3,0,0,165,427
48027,"Wild Rose/Wild Rose"," 78-1","Airdrie",9,5,98,6,1,0,119,247
48027,"Wild Rose/Wild Rose"," 78-2","Airdrie",10,11,111,5,0,0,137,308
48027,"Wild Rose/Wild Rose"," 79","Airdrie",28,22,213,14,2,0,279,515
48027,"Wild Rose/Wild Rose"," 80","Airdrie",12,9,154,7,2,0,184,371
48027,"Wild Rose/Wild Rose"," 80-1","Airdrie",14,15,139,6,1,0,175,297
48027,"Wild Rose/Wild Rose"," 81","Airdrie",16,17,164,10,0,0,207,419
48027,"Wild Rose/Wild Rose"," 81-1","Airdrie",7,14,123,5,0,0,149,278
48027,"Wild Rose/Wild Rose"," 82","Airdrie",3,0,132,5,0,1,141,250
48027,"Wild Rose/Wild Rose"," 83","Airdrie",19,17,176,7,0,0,219,591
48027,"Wild Rose/Wild Rose"," 83-1","Airdrie",16,15,149,7,0,0,187,409
48027,"Wild Rose/Wild Rose"," 83-2A","Airdrie",20,16,115,11,0,0,162,428
48027,"Wild Rose/Wild Rose"," 83-2B","Airdrie",20,13,153,6,0,1,193,438
48027,"Wild Rose/Wild Rose"," 83-3A","Airdrie",20,11,154,7,2,0,194,432
48027,"Wild Rose/Wild Rose"," 83-3B","Airdrie",15,14,135,9,2,0,175,383
48027,"Wild Rose/Wild Rose"," 84","Airdrie",18,12,143,4,2,0,179,335
48027,"Wild Rose/Wild Rose"," 84-1","Airdrie",10,12,122,10,0,1,155,317
48027,"Wild Rose/Wild Rose"," 85","Airdrie",11,23,121,13,0,0,168,420
48027,"Wild Rose/Wild Rose"," 85-1","Airdrie",24,21,103,9,1,0,158,515
48027,"Wild Rose/Wild Rose"," 86","Airdrie",18,12,130,8,0,0,168,335
48027,"Wild Rose/Wild Rose"," 87","Airdrie",24,24,208,5,2,1,264,520
48027,"Wild Rose/Wild Rose"," 88","Airdrie",21,11,91,5,0,0,128,338
48027,"Wild Rose/Wild Rose"," 89","Airdrie",20,19,131,10,1,2,183,410
48027,"Wild Rose/Wild Rose"," 90","Airdrie",21,9,115,10,1,0,156,304
48027,"Wild Rose/Wild Rose"," 91","Airdrie",14,11,71,12,1,0,109,273
48027,"Wild Rose/Wild Rose"," 92","Airdrie",24,19,288,15,1,0,347,647
48027,"Wild Rose/Wild Rose"," 93","Airdrie",28,23,135,11,2,0,199,440
48027,"Wild Rose/Wild Rose"," 93-1","Airdrie",6,16,91,6,1,0,120,295
48027,"Wild Rose/Wild Rose"," 93-2A","Airdrie",19,26,192,12,0,0,249,563
48027,"Wild Rose/Wild Rose"," 93-2B","Airdrie",29,18,139,22,1,1,210,518
48027,"Wild Rose/Wild Rose"," 93-3","Airdrie",18,11,207,15,0,0,251,537
48027,"Wild Rose/Wild Rose"," 93-4A","Airdrie",13,13,117,14,0,0,157,408
48027,"Wild Rose/Wild Rose"," 93-4B","Airdrie",12,17,137,13,0,0,179,442
48027,"Wild Rose/Wild Rose"," 94","Airdrie",16,17,104,3,0,0,140,346
48027,"Wild Rose/Wild Rose"," 95","Airdrie",20,21,162,3,1,1,208,476
48027,"Wild Rose/Wild Rose"," 96","Airdrie",20,19,113,4,2,0,158,291
48027,"Wild Rose/Wild Rose"," 97","Airdrie",14,21,111,11,1,2,160,318
48027,"Wild Rose/Wild Rose"," 98","Airdrie",31,29,135,8,0,0,203,404
48027,"Wild Rose/Wild Rose"," 99","Airdrie",17,13,142,7,2,0,181,376
48027,"Wild Rose/Wild Rose"," 100","Airdrie",27,22,150,3,1,2,205,426
48027,"Wild Rose/Wild Rose"," 101","Airdrie",13,33,105,0,2,0,153,333
48027,"Wild Rose/Wild Rose"," 102","Airdrie",22,22,109,5,1,2,161,379
48027,"Wild Rose/Wild Rose"," 103","Airdrie",35,16,140,8,0,0,199,420
48027,"Wild Rose/Wild Rose"," 104","Airdrie",12,21,84,2,0,0,119,278
48027,"Wild Rose/Wild Rose"," 105","Airdrie",27,23,175,8,0,1,234,477
48027,"Wild Rose/Wild Rose"," 105-1","Airdrie",25,19,104,6,1,0,155,401
48027,"Wild Rose/Wild Rose"," 106","Airdrie",28,5,170,21,2,0,226,393
48027,"Wild Rose/Wild Rose"," 106-1","Airdrie",9,9,177,2,3,0,200,370
48027,"Wild Rose/Wild Rose"," 106-2","Airdrie",21,16,186,5,1,0,229,217
48027,"Wild Rose/Wild Rose"," 107","Airdrie",Merged with No. 106-2/Fusionné avec le nº 106-2,,,,,,,211
48027,"Wild Rose/Wild Rose"," 108","Airdrie",12,11,141,1,1,0,166,310
48027,"Wild Rose/Wild Rose"," 109","Airdrie",20,11,156,4,0,1,192,369
48027,"Wild Rose/Wild Rose"," 110","Airdrie",22,17,130,2,2,0,173,325
48027,"Wild Rose/Wild Rose"," 111","Airdrie",26,18,129,7,2,1,183,340
48027,"Wild Rose/Wild Rose"," 112","Airdrie",8,13,133,13,0,1,168,301
48027,"Wild Rose/Wild Rose"," 113A","Bottrel",29,7,145,10,2,0,193,322
48027,"Wild Rose/Wild Rose"," 113B","Bottrel",21,9,170,4,0,0,204,377
48027,"Wild Rose/Wild Rose"," 114","Lochend",12,10,183,9,0,0,214,345
48027,"Wild Rose/Wild Rose"," 115","Wildcat",Merged with No. 116A/Fusionné avec le nº 116A,,,,,,,86
48027,"Wild Rose/Wild Rose"," 116A","Cochrane",28,7,171,7,1,1,215,309
48027,"Wild Rose/Wild Rose"," 116B","Cochrane",30,7,125,3,0,1,166,285
48027,"Wild Rose/Wild Rose"," 117","Cochrane",42,18,259,29,2,0,350,667
48027,"Wild Rose/Wild Rose"," 118","Cochrane",Merged with No. 144-1/Fusionné avec le nº 144-1,,,,,,,134
48027,"Wild Rose/Wild Rose"," 119","Cochrane",21,13,145,13,1,0,193,384
48027,"Wild Rose/Wild Rose"," 120","Cochrane",24,8,226,14,2,0,274,455
48027,"Wild Rose/Wild Rose"," 121","Bearspaw",26,11,212,16,0,0,265,460
48027,"Wild Rose/Wild Rose"," 121-1","Rocky View No. 44",16,4,174,9,2,0,205,346
48027,"Wild Rose/Wild Rose"," 122","Bearspaw",22,11,147,10,1,1,192,300
48027,"Wild Rose/Wild Rose"," 123","Bearspaw",21,8,176,9,0,0,214,330
48027,"Wild Rose/Wild Rose"," 123-1","Rocky View No. 44",19,3,141,14,2,0,179,334
48027,"Wild Rose/Wild Rose"," 124","Bearspaw",13,4,152,7,3,1,180,325
48027,"Wild Rose/Wild Rose"," 125","Bearspaw",17,18,186,36,2,0,259,482
48027,"Wild Rose/Wild Rose"," 125-1","Rocky View No. 44",20,1,127,21,1,1,171,272
48027,"Wild Rose/Wild Rose"," 126","Cochrane",35,21,181,14,1,2,254,495
48027,"Wild Rose/Wild Rose"," 127","Cochrane",27,19,137,1,0,0,184,336
48027,"Wild Rose/Wild Rose"," 128","Cochrane",18,17,157,5,1,0,198,359
48027,"Wild Rose/Wild Rose"," 129","Cochrane",31,12,219,16,0,0,278,516
48027,"Wild Rose/Wild Rose"," 130","Cochrane",41,23,188,11,0,0,263,422
48027,"Wild Rose/Wild Rose"," 131","Cochrane",34,22,187,8,0,0,251,502
48027,"Wild Rose/Wild Rose"," 132","Cochrane",35,17,225,18,1,0,296,511
48027,"Wild Rose/Wild Rose"," 133","Cochrane",31,17,192,12,1,0,253,461
48027,"Wild Rose/Wild Rose"," 134","Cochrane",44,20,191,14,1,0,270,453
48027,"Wild Rose/Wild Rose"," 135","Cochrane",14,13,77,4,0,0,108,248
48027,"Wild Rose/Wild Rose"," 136","Cochrane",39,12,123,7,0,0,181,364
48027,"Wild Rose/Wild Rose"," 137","Cochrane",34,24,147,13,3,0,221,442
48027,"Wild Rose/Wild Rose"," 138","Cochrane",41,18,88,5,1,0,153,360
48027,"Wild Rose/Wild Rose"," 139","Cochrane",42,14,144,17,0,1,218,363
48027,"Wild Rose/Wild Rose"," 139-1","Cochrane",29,11,101,10,1,0,152,285
48027,"Wild Rose/Wild Rose"," 140","Cochrane",38,25,141,9,1,1,215,682
48027,"Wild Rose/Wild Rose"," 141","Cochrane",34,11,102,9,0,2,158,336
48027,"Wild Rose/Wild Rose"," 142","Cochrane",30,24,118,15,1,0,188,456
48027,"Wild Rose/Wild Rose"," 143","Cochrane",18,12,246,13,1,0,290,638
48027,"Wild Rose/Wild Rose"," 144","Cochrane",25,7,178,12,0,1,223,420
48027,"Wild Rose/Wild Rose"," 144-1","Cochrane",29,8,182,9,3,1,232,265
48027,"Wild Rose/Wild Rose"," 145","Cochrane",21,11,197,18,0,0,247,484
48027,"Wild Rose/Wild Rose"," 146","Cochrane",27,4,165,14,0,0,210,393
48027,"Wild Rose/Wild Rose"," 147","Cochrane",24,9,153,13,0,1,200,368
48027,"Wild Rose/Wild Rose"," 148","Canmore",Merged with No. 153/Fusionné avec le nº 153,,,,,,,143
48027,"Wild Rose/Wild Rose"," 149","Canmore",52,23,59,14,2,3,153,409
48027,"Wild Rose/Wild Rose"," 150","Canmore",51,37,58,17,3,0,166,322
48027,"Wild Rose/Wild Rose"," 151","Canmore",54,39,85,15,3,0,196,501
48027,"Wild Rose/Wild Rose"," 152","Canmore",39,30,86,30,2,0,187,386
48027,"Wild Rose/Wild Rose"," 153","Canmore",36,27,70,13,3,0,149,239
48027,"Wild Rose/Wild Rose"," 154","Canmore",48,21,57,15,0,0,141,244
48027,"Wild Rose/Wild Rose"," 155","Canmore",76,45,91,31,0,0,243,508
48027,"Wild Rose/Wild Rose"," 156","Canmore",75,38,122,33,2,1,271,546
48027,"Wild Rose/Wild Rose"," 157","Canmore",59,30,71,19,5,1,185,424
48027,"Wild Rose/Wild Rose"," 158","Canmore",22,10,43,12,3,1,91,268
48027,"Wild Rose/Wild Rose"," 159","Canmore",49,23,60,25,3,0,160,384
48027,"Wild Rose/Wild Rose"," 160","Canmore",27,14,70,3,0,0,114,297
48027,"Wild Rose/Wild Rose"," 161","Canmore",45,45,46,19,2,0,157,428
48027,"Wild Rose/Wild Rose"," 161-1","Canmore",36,30,48,14,3,2,133,348
48027,"Wild Rose/Wild Rose"," 162","Canmore",51,40,125,13,4,0,233,484
48027,"Wild Rose/Wild Rose"," 162-1","Canmore",33,15,88,24,1,0,161,390
48027,"Wild Rose/Wild Rose"," 163","Canmore",49,30,68,12,0,1,160,341
48027,"Wild Rose/Wild Rose"," 163-1","Canmore",35,28,47,22,1,0,133,263
48027,"Wild Rose/Wild Rose"," 164","Canmore",65,46,100,24,3,0,238,487
48027,"Wild Rose/Wild Rose"," 165","Canmore",61,50,69,17,2,2,201,411
48027,"Wild Rose/Wild Rose"," 166","Canmore",77,65,95,35,1,0,273,536
48027,"Wild Rose/Wild Rose"," 167","Canmore",27,34,49,9,1,0,120,279
48027,"Wild Rose/Wild Rose"," 168","Canmore",29,20,71,22,0,1,143,339
48027,"Wild Rose/Wild Rose"," 169","Canmore",39,45,75,22,0,0,181,387
48027,"Wild Rose/Wild Rose"," 170","Exshaw",68,36,131,22,7,1,265,466
48027,"Wild Rose/Wild Rose"," 171","Ghost Lake",18,8,80,2,0,0,108,159
48027,"Wild Rose/Wild Rose"," 172","Morley",4,53,18,13,1,1,90,698
48027,"Wild Rose/Wild Rose"," 173","Seebe",Merged with No. 154/Fusionné avec le nº 154,,,,,,,12
48027,"Wild Rose/Wild Rose"," 174","Morley",4,73,9,20,0,0,106,627
48027,"Wild Rose/Wild Rose"," 175","Banff",32,23,33,13,0,0,101,257
48027,"Wild Rose/Wild Rose"," 176","Banff",Merged with No. 177/Fusionné avec le nº 177,,,,,,,164
48027,"Wild Rose/Wild Rose"," 177","Banff",33,49,64,35,2,2,185,225
