Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Blair,Russ Hiebert,Judy Higginbotham,Brian Marlatt,Peter Prontzos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 37","Surrey",20,154,34,0,50,2,260,455
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 38","Surrey",26,121,35,0,50,3,235,388
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 39","Surrey",30,134,38,1,45,1,249,389
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 40A","Surrey",11,86,18,0,29,2,146,243
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 40B","Surrey",15,89,21,0,29,0,154,264
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 41","Surrey",22,117,23,3,51,0,216,371
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 42","Surrey",15,103,24,3,51,4,200,401
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 43","Surrey",23,147,50,1,14,1,236,424
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 44","Surrey",10,102,23,0,12,0,147,340
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 45","Surrey",14,92,60,0,30,1,197,458
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 46","Surrey",14,120,27,1,6,1,169,292
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 47","Surrey",25,120,78,1,23,1,248,426
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 48","Surrey",44,102,82,0,30,1,259,385
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 49","Surrey",25,92,62,0,31,1,211,345
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 50","Surrey",29,151,67,3,31,1,282,464
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 51","Surrey",35,87,77,2,46,0,247,353
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 52","Surrey",14,88,38,1,20,0,161,269
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 53","Surrey",34,129,45,1,38,1,248,413
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 54","Surrey",19,139,61,2,20,1,242,396
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 55","Surrey",19,156,55,0,8,0,238,429
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 56","Surrey",15,133,58,1,14,1,222,346
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 57A","Surrey",4,118,43,0,12,0,177,308
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 57B","Surrey",8,108,29,0,14,0,159,284
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 58","Surrey",10,118,40,2,6,0,176,305
