Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yonnel Bonaventure,Christiane Gagnon,Damien Rousseau,Catherine Roy-Goyette,Myriam Taschereau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Québec/Québec"," 1","Québec",5,81,39,32,75,4,236,416
24052,"Québec/Québec"," 2","Québec",7,75,27,20,74,4,207,386
24052,"Québec/Québec"," 3","Québec",9,57,30,32,92,3,223,417
24052,"Québec/Québec"," 4","Québec",5,62,34,29,82,3,215,331
24052,"Québec/Québec"," 5","Québec",2,93,33,39,86,4,257,417
24052,"Québec/Québec"," 6","Québec",2,59,29,38,75,2,205,494
24052,"Québec/Québec"," 7","Québec",7,40,37,22,75,0,181,337
24052,"Québec/Québec"," 8","Québec",6,75,36,35,92,9,253,532
24052,"Québec/Québec"," 9","Québec",5,50,26,24,75,4,184,365
24052,"Québec/Québec"," 10","Québec",5,44,24,21,72,2,168,379
24052,"Québec/Québec"," 11","Québec",3,58,21,25,48,0,155,292
24052,"Québec/Québec"," 12","Québec",4,63,33,21,75,4,200,321
24052,"Québec/Québec"," 13","Québec",3,91,30,28,76,2,230,387
24052,"Québec/Québec"," 14","Québec",7,87,29,36,96,3,258,421
24052,"Québec/Québec"," 15","Québec",10,91,29,39,117,3,289,454
24052,"Québec/Québec"," 16","Québec",5,64,39,34,96,1,239,457
24052,"Québec/Québec"," 17","Québec",4,66,35,37,77,7,226,426
24052,"Québec/Québec"," 18","Québec",5,61,36,28,75,1,206,334
24052,"Québec/Québec"," 19","Québec",6,67,25,23,100,0,221,351
24052,"Québec/Québec"," 20","Québec",5,61,22,23,63,1,175,287
24052,"Québec/Québec"," 21","Québec",4,64,37,27,83,2,217,358
24052,"Québec/Québec"," 22","Québec",8,71,31,22,67,4,203,375
24052,"Québec/Québec"," 23","Québec",3,72,12,22,67,3,179,390
24052,"Québec/Québec"," 24A","Québec",5,64,23,21,58,3,174,311
24052,"Québec/Québec"," 24B","Québec",5,36,74,9,70,2,196,272
24052,"Québec/Québec"," 25","Québec",3,62,34,24,68,4,195,326
24052,"Québec/Québec"," 26","Québec",7,108,30,46,108,8,307,577
24052,"Québec/Québec"," 26-1A","Québec",4,69,31,46,105,3,258,455
24052,"Québec/Québec"," 26-1B","Québec",Merged with No. 26-2B/Fusionné avec le nº 26-2B,,,,,,,189
24052,"Québec/Québec"," 26-2A","Québec",7,84,34,44,139,4,312,393
24052,"Québec/Québec"," 26-2B","Québec",3,21,18,11,45,1,99,314
24052,"Québec/Québec"," 27","Québec",6,52,16,21,78,4,177,336
24052,"Québec/Québec"," 28","Québec",14,56,41,22,52,5,190,351
24052,"Québec/Québec"," 29","Québec",5,84,28,38,60,8,223,519
24052,"Québec/Québec"," 30","Québec",2,41,15,15,37,1,111,254
24052,"Québec/Québec"," 31","Québec",4,57,25,25,79,7,197,447
24052,"Québec/Québec"," 32","Québec",1,50,21,29,73,7,181,430
24052,"Québec/Québec"," 33","Québec",7,61,20,21,65,5,179,344
24052,"Québec/Québec"," 34","Québec",4,61,24,25,96,2,212,419
24052,"Québec/Québec"," 35","Québec",8,77,37,24,109,1,256,403
24052,"Québec/Québec"," 35-1","Québec",4,58,30,21,69,2,184,393
24052,"Québec/Québec"," 35-2","Québec",7,59,26,34,64,1,191,405
24052,"Québec/Québec"," 36","Québec",2,32,25,9,37,6,111,444
24052,"Québec/Québec"," 37","Québec",2,29,7,9,40,0,87,238
24052,"Québec/Québec"," 38","Québec",8,44,19,20,40,5,136,300
24052,"Québec/Québec"," 39","Vanier",2,51,33,34,95,5,220,369
24052,"Québec/Québec"," 40","Vanier",3,53,21,25,95,5,202,320
24052,"Québec/Québec"," 41","Vanier",3,63,16,17,58,4,161,360
24052,"Québec/Québec"," 42","Vanier",6,34,15,23,93,3,174,483
24052,"Québec/Québec"," 43","Vanier",6,34,28,15,76,2,161,446
24052,"Québec/Québec"," 44","Québec",6,114,53,30,79,3,285,578
24052,"Québec/Québec"," 45","Québec",6,73,37,30,29,1,176,321
24052,"Québec/Québec"," 45-1","Québec",2,35,15,4,29,2,87,167
24052,"Québec/Québec"," 46","Vanier",2,59,20,7,51,0,139,373
24052,"Québec/Québec"," 47","Vanier",3,36,14,12,57,5,127,286
24052,"Québec/Québec"," 48","Vanier",2,27,22,10,55,3,119,264
24052,"Québec/Québec"," 49","Vanier",5,68,30,19,67,3,192,452
24052,"Québec/Québec"," 50","Vanier",5,41,19,16,38,0,119,356
24052,"Québec/Québec"," 51","Vanier",6,47,21,21,67,3,165,290
24052,"Québec/Québec"," 52","Vanier",2,47,20,26,59,0,154,306
24052,"Québec/Québec"," 53","Vanier",5,38,17,22,64,3,149,369
24052,"Québec/Québec"," 54","Vanier",4,30,12,26,50,1,123,333
24052,"Québec/Québec"," 55","Vanier",3,40,6,11,43,3,106,334
24052,"Québec/Québec"," 56","Vanier",0,40,16,9,33,1,99,277
24052,"Québec/Québec"," 57","Vanier",5,35,27,13,62,1,143,353
24052,"Québec/Québec"," 58","Vanier",1,41,11,6,33,2,94,202
24052,"Québec/Québec"," 59","Vanier",1,51,11,21,41,5,130,341
24052,"Québec/Québec"," 60","Vanier",2,69,29,34,67,3,204,567
24052,"Québec/Québec"," 61","Vanier",5,38,25,22,58,1,149,366
24052,"Québec/Québec"," 62","Vanier",8,28,10,8,41,4,99,316
24052,"Québec/Québec"," 63","Vanier",3,44,20,8,55,3,133,295
24052,"Québec/Québec"," 64","Vanier",3,40,17,18,30,7,115,264
24052,"Québec/Québec"," 65","Vanier",6,32,18,17,47,0,120,277
24052,"Québec/Québec"," 66","Vanier",5,39,22,10,47,7,130,331
24052,"Québec/Québec"," 67","Québec",1,36,13,8,45,0,103,203
24052,"Québec/Québec"," 68","Québec",8,131,58,64,105,3,369,594
24052,"Québec/Québec"," 69","Québec",7,102,37,23,33,2,204,334
24052,"Québec/Québec"," 70","Québec",4,121,29,42,48,2,246,437
24052,"Québec/Québec"," 71","Québec",3,78,17,31,34,2,165,382
24052,"Québec/Québec"," 72","Québec",7,86,22,30,23,3,171,336
24052,"Québec/Québec"," 73","Québec",7,78,19,19,38,4,165,472
24052,"Québec/Québec"," 74","Québec",7,61,16,8,25,0,117,310
24052,"Québec/Québec"," 75","Québec",10,112,18,32,14,2,188,392
24052,"Québec/Québec"," 76","Québec",11,117,20,36,25,3,212,491
24052,"Québec/Québec"," 77","Québec",2,63,28,27,37,3,160,320
24052,"Québec/Québec"," 78","Québec",12,88,19,40,8,4,171,391
24052,"Québec/Québec"," 79","Québec",12,108,33,42,35,3,233,494
24052,"Québec/Québec"," 80","Québec",7,71,19,33,20,0,150,278
24052,"Québec/Québec"," 81","Québec",14,156,28,37,20,2,257,446
24052,"Québec/Québec"," 82","Québec",8,147,26,44,23,4,252,470
24052,"Québec/Québec"," 83","Québec",14,146,34,46,44,5,289,555
24052,"Québec/Québec"," 84","Québec",13,90,18,20,52,6,199,348
24052,"Québec/Québec"," 85","Québec",9,63,18,21,43,7,161,313
24052,"Québec/Québec"," 86","Québec",9,60,11,17,35,6,138,313
24052,"Québec/Québec"," 87","Québec",9,66,12,23,45,5,160,307
24052,"Québec/Québec"," 88","Québec",5,85,18,22,33,4,167,331
24052,"Québec/Québec"," 89","Québec",6,75,10,28,33,3,155,320
24052,"Québec/Québec"," 90","Québec",18,114,12,29,32,0,205,376
24052,"Québec/Québec"," 91","Québec",4,61,28,29,66,2,190,366
24052,"Québec/Québec"," 92","Québec",7,91,25,35,39,3,200,430
24052,"Québec/Québec"," 93","Québec",8,91,22,25,26,0,172,357
24052,"Québec/Québec"," 94","Québec",8,86,29,19,48,5,195,354
24052,"Québec/Québec"," 95","Québec",4,78,26,17,37,4,166,363
24052,"Québec/Québec"," 96","Québec",8,92,24,22,28,2,176,349
24052,"Québec/Québec"," 97","Québec",6,73,21,29,42,4,175,423
24052,"Québec/Québec"," 98","Québec",8,57,25,18,34,0,142,405
24052,"Québec/Québec"," 99","Québec",20,120,35,31,35,8,249,454
24052,"Québec/Québec"," 100","Québec",8,121,17,46,43,0,235,405
24052,"Québec/Québec"," 101","Québec",7,121,25,34,39,3,229,434
24052,"Québec/Québec"," 102A","Québec",12,78,21,33,30,3,177,430
24052,"Québec/Québec"," 102B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,60
24052,"Québec/Québec"," 103","Québec",9,71,17,19,41,3,160,364
24052,"Québec/Québec"," 104","Québec",7,68,19,24,45,4,167,390
24052,"Québec/Québec"," 105","Québec",10,83,22,22,31,3,171,414
24052,"Québec/Québec"," 106","Québec",10,80,20,36,35,5,186,363
24052,"Québec/Québec"," 107","Québec",8,98,19,24,50,4,203,422
24052,"Québec/Québec"," 108","Québec",8,54,21,27,48,2,160,343
24052,"Québec/Québec"," 109","Québec",9,73,27,17,46,2,174,407
24052,"Québec/Québec"," 110","Québec",8,66,19,29,84,7,213,429
