Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Salma Ataullahjan,Navdeep Bains,Karan Pandher,Tim Sullivan,Grace Yogaretnam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 1","Brampton",47,88,26,1,5,2,169,369
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 2","Brampton",80,105,10,1,12,1,209,408
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 3","Brampton",75,80,11,1,17,0,184,397
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 4","Brampton",76,93,17,2,20,2,210,445
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 5","Brampton",69,58,19,1,12,0,159,341
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 6","Brampton",50,125,22,2,13,0,212,501
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 7","Brampton",34,89,13,0,9,1,146,302
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 8","Brampton",34,61,23,0,3,3,124,293
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 9A","Brampton",34,69,18,1,2,0,124,283
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 9B","Brampton",20,64,21,1,5,0,111,297
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 10","Brampton",12,28,10,0,4,1,55,102
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 11A","Brampton",26,31,8,2,4,2,73,257
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 11B","Brampton",27,26,12,0,7,0,72,259
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 12A","Brampton",51,75,12,1,10,3,152,413
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 12B","Brampton",5,9,7,0,7,0,28,40
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 12C","Brampton",36,55,15,1,14,1,122,362
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 13","Brampton",33,55,25,3,6,0,122,366
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 14","Brampton",65,97,22,0,11,2,197,469
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 15","Brampton",28,98,21,2,17,2,168,415
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 16","Brampton",22,114,15,1,9,3,164,352
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 17","Brampton",13,53,12,1,11,0,90,230
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 18","Brampton",30,68,12,0,2,1,113,244
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 19","Brampton",29,89,18,1,6,0,143,419
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 20A","Brampton",22,84,16,2,4,0,128,306
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 20B","Brampton",22,61,17,0,2,0,102,264
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 21","Brampton",35,81,16,0,5,1,138,472
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 22","Brampton",37,41,25,0,13,0,116,347
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 23","Mississauga",38,75,13,0,13,1,140,396
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 24","Mississauga",29,72,8,0,6,0,115,257
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 25","Mississauga",62,90,12,1,14,0,179,339
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 26","Mississauga",68,62,18,1,16,0,165,427
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 27","Mississauga",64,57,30,1,19,3,174,516
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 28","Mississauga",65,86,27,2,14,3,197,460
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 29","Mississauga",84,91,10,0,12,2,199,451
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 30","Mississauga",66,114,31,4,13,4,232,429
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 31","Mississauga",46,60,19,2,14,1,142,358
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 32","Mississauga",50,97,20,5,19,1,192,350
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 33","Mississauga",57,71,18,1,9,0,156,362
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 34","Mississauga",45,65,24,2,15,0,151,346
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 35","Mississauga",49,44,9,1,12,1,116,315
35047,"Mississauga--Brampton South/Mississauga--Brampton-Sud"," 36","Mississauga",106,76,12,0,19,1,214,450
