Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Elgersma,Diane Finley,Eric Hoskins,Stephana Johnston,Gary McHale,Ian Nichols,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 1","Delhi",7,96,62,7,3,19,2,196,329
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 2","Delhi",2,90,74,17,3,29,2,217,384
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 3","Delhi",2,88,86,10,4,30,2,222,357
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 4","Delhi",4,114,119,11,8,40,1,297,561
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 5","Delhi",1,79,66,6,7,26,3,188,427
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 6","Delhi",0,104,82,15,6,17,0,224,477
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 7","Delhi",0,69,61,3,9,14,0,156,313
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 8","Delhi",1,88,67,7,1,26,0,190,425
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 9","Delhi",5,73,76,13,0,20,1,188,341
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 10","Delhi",0,85,86,9,5,25,1,211,462
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 11","Delhi",1,51,37,4,2,32,2,129,392
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 12","Delhi",0,100,69,11,4,24,0,208,418
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 13","Delhi",1,63,104,10,1,21,0,200,333
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 14","Delhi",0,80,61,10,0,24,1,176,366
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 15","Delhi",2,76,61,11,3,23,1,177,405
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 16","Delhi",3,56,64,8,1,37,1,170,416
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 17","Delhi",1,83,81,8,6,36,0,215,433
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 18","Delhi",2,62,52,11,6,28,4,165,381
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 19","Delhi",1,100,80,13,3,33,2,232,430
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 20","Norfolk",1,105,65,9,1,10,5,196,353
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 21","Norfolk",2,82,44,9,3,38,4,182,369
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 22","Norfolk",1,110,31,15,1,48,1,207,419
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 23","Norfolk",5,153,39,14,4,23,0,238,457
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 24","Norfolk",4,88,47,13,1,19,0,172,278
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 25","Norfolk",6,94,42,18,0,23,0,183,316
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 26","Norfolk",4,92,25,14,6,39,2,182,403
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 27","Norfolk",0,59,27,3,1,14,0,104,258
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 28","Norfolk",1,65,16,10,0,21,0,113,271
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 29","Norfolk",1,70,35,3,0,19,6,134,325
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 30","Norfolk",1,71,33,7,1,26,0,139,342
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 31","Norfolk",0,114,61,7,2,30,3,217,422
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 32","Norfolk",1,94,59,11,3,19,3,190,410
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 33","Norfolk",2,75,24,7,1,19,0,128,259
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 34","Norfolk",3,78,42,5,3,13,2,146,302
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 35","Norfolk",3,63,29,9,1,18,0,123,308
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 36","Norfolk",1,78,38,7,1,8,2,135,322
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 37","Norfolk",0,71,27,3,0,18,0,119,256
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 38","Norfolk",1,110,44,12,1,29,0,197,431
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 39","Norfolk",0,100,31,3,2,8,0,144,268
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 40","Norfolk",0,97,52,3,2,18,0,172,323
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 41","Norfolk",0,98,58,6,4,16,1,183,314
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 42","Norfolk",1,176,127,15,5,23,3,350,495
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 43","Norfolk",1,52,51,6,5,25,2,142,292
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 44","Norfolk",0,105,52,10,11,28,0,206,449
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 45","Delhi",2,143,77,12,13,46,1,294,528
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 46","Delhi",0,85,49,10,3,25,1,173,368
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 47","Delhi",2,80,57,7,5,17,0,168,342
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 48A","Delhi",1,73,48,5,5,20,2,154,310
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 48B","Delhi",1,57,47,8,4,15,1,133,269
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 48-1","Delhi",1,72,51,13,5,22,1,165,275
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 49","Delhi",1,131,114,14,11,38,0,309,547
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 50","Delhi",0,124,104,8,8,27,2,273,440
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 51","Nanticoke",2,63,107,11,6,13,2,204,398
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 52","Nanticoke",2,65,67,12,6,27,3,182,339
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 53","Nanticoke",0,75,82,7,7,18,1,190,355
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 54","Nanticoke",0,57,75,11,7,23,2,175,349
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 55","Nanticoke",2,64,49,11,5,18,0,149,275
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 56","Nanticoke",0,98,59,11,4,23,0,195,405
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 57A","Nanticoke",1,89,69,7,4,10,1,181,328
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 57B","Nanticoke",2,76,59,5,8,11,0,161,280
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 58","Nanticoke",0,76,74,4,7,6,2,169,292
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 59","Nanticoke",0,70,73,8,13,14,1,179,355
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 60","Nanticoke",1,80,81,5,4,17,0,188,394
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 61","Nanticoke",0,66,82,7,6,21,0,182,337
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 62","Nanticoke",3,63,68,9,8,22,0,173,310
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 63","Nanticoke",0,52,54,5,4,20,0,135,262
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 64","Nanticoke",0,102,74,14,1,19,3,213,374
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 65","Nanticoke",1,144,128,12,7,43,2,337,577
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 66A","Nanticoke",2,65,57,6,5,18,1,154,299
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 66B","Nanticoke",0,92,57,7,3,25,1,185,327
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 67","Nanticoke",2,94,80,9,6,19,0,210,459
