Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Bob Dechert,Richard Pietro,Mustafa Rizvi,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Mississauga--Erindale/Mississauga--Erindale"," 71","Mississauga",65,81,12,5,0,0,163,308
35049,"Mississauga--Erindale/Mississauga--Erindale"," 72A","Mississauga",69,73,3,2,0,0,147,284
35049,"Mississauga--Erindale/Mississauga--Erindale"," 72B","Mississauga",68,95,11,6,0,1,181,324
35049,"Mississauga--Erindale/Mississauga--Erindale"," 73","Mississauga",93,61,41,53,0,0,248,427
35049,"Mississauga--Erindale/Mississauga--Erindale"," 74","Mississauga",94,117,9,8,2,0,230,470
35049,"Mississauga--Erindale/Mississauga--Erindale"," 75","Mississauga",116,178,8,10,0,1,313,543
35049,"Mississauga--Erindale/Mississauga--Erindale"," 76","Mississauga",63,97,24,19,0,0,203,426
35049,"Mississauga--Erindale/Mississauga--Erindale"," 77","Mississauga",61,77,18,16,1,1,174,364
35049,"Mississauga--Erindale/Mississauga--Erindale"," 78","Mississauga",93,91,20,13,0,0,217,497
35049,"Mississauga--Erindale/Mississauga--Erindale"," 79","Mississauga",22,27,10,24,0,0,83,240
35049,"Mississauga--Erindale/Mississauga--Erindale"," 80","Mississauga",84,160,19,20,0,0,283,531
35049,"Mississauga--Erindale/Mississauga--Erindale"," 81","Mississauga",56,87,8,8,0,1,160,353
35049,"Mississauga--Erindale/Mississauga--Erindale"," 82","Mississauga",116,140,10,10,0,0,276,496
35049,"Mississauga--Erindale/Mississauga--Erindale"," 83","Mississauga",86,99,15,15,1,0,216,406
35049,"Mississauga--Erindale/Mississauga--Erindale"," 84","Mississauga",97,100,12,26,1,1,237,444
35049,"Mississauga--Erindale/Mississauga--Erindale"," 85","Mississauga",145,122,20,21,0,1,309,532
35049,"Mississauga--Erindale/Mississauga--Erindale"," 86","Mississauga",34,50,2,1,0,0,87,184
35049,"Mississauga--Erindale/Mississauga--Erindale"," 87","Mississauga",86,102,9,3,0,0,200,339
35049,"Mississauga--Erindale/Mississauga--Erindale"," 88","Mississauga",86,101,11,14,1,0,213,358
35049,"Mississauga--Erindale/Mississauga--Erindale"," 89","Mississauga",120,137,20,10,2,2,291,439
35049,"Mississauga--Erindale/Mississauga--Erindale"," 90","Mississauga",103,112,18,17,0,1,251,466
35049,"Mississauga--Erindale/Mississauga--Erindale"," 91","Mississauga",93,134,14,27,1,0,269,482
35049,"Mississauga--Erindale/Mississauga--Erindale"," 92","Mississauga",133,134,43,26,0,0,336,503
35049,"Mississauga--Erindale/Mississauga--Erindale"," 93","Mississauga",110,151,17,5,0,1,284,416
35049,"Mississauga--Erindale/Mississauga--Erindale"," 94","Mississauga",128,157,27,19,0,0,331,499
35049,"Mississauga--Erindale/Mississauga--Erindale"," 95","Mississauga",99,133,24,22,3,1,282,521
35049,"Mississauga--Erindale/Mississauga--Erindale"," 96","Mississauga",63,43,12,29,0,1,148,429
35049,"Mississauga--Erindale/Mississauga--Erindale"," 97","Mississauga",115,82,18,7,0,1,223,442
35049,"Mississauga--Erindale/Mississauga--Erindale"," 98","Mississauga",94,93,12,17,1,2,219,409
35049,"Mississauga--Erindale/Mississauga--Erindale"," 99","Mississauga",75,96,18,15,2,1,207,359
35049,"Mississauga--Erindale/Mississauga--Erindale"," 100","Mississauga",61,51,7,27,0,1,147,278
35049,"Mississauga--Erindale/Mississauga--Erindale"," 101","Mississauga",102,89,16,23,0,1,231,521
35049,"Mississauga--Erindale/Mississauga--Erindale"," 102","Mississauga",96,60,18,19,0,0,193,413
35049,"Mississauga--Erindale/Mississauga--Erindale"," 103","Mississauga",80,55,12,14,0,0,161,329
35049,"Mississauga--Erindale/Mississauga--Erindale"," 104A","Mississauga",54,68,3,15,0,0,140,288
35049,"Mississauga--Erindale/Mississauga--Erindale"," 104B","Mississauga",52,65,13,13,0,0,143,277
35049,"Mississauga--Erindale/Mississauga--Erindale"," 105","Mississauga",91,88,18,15,0,1,213,416
35049,"Mississauga--Erindale/Mississauga--Erindale"," 106","Mississauga",70,57,12,17,1,0,157,539
35049,"Mississauga--Erindale/Mississauga--Erindale"," 107","Mississauga",79,58,6,12,0,0,155,378
35049,"Mississauga--Erindale/Mississauga--Erindale"," 108","Mississauga",106,123,23,20,0,1,273,476
35049,"Mississauga--Erindale/Mississauga--Erindale"," 109","Mississauga",105,59,12,21,1,1,199,340
35049,"Mississauga--Erindale/Mississauga--Erindale"," 110","Mississauga",108,86,15,15,1,1,226,447
35049,"Mississauga--Erindale/Mississauga--Erindale"," 111","Mississauga",79,85,14,10,1,0,189,339
35049,"Mississauga--Erindale/Mississauga--Erindale"," 112","Mississauga",78,76,13,12,0,0,179,373
35049,"Mississauga--Erindale/Mississauga--Erindale"," 113","Mississauga",88,91,17,15,1,1,213,351
35049,"Mississauga--Erindale/Mississauga--Erindale"," 114","Mississauga",100,136,26,17,0,0,279,468
35049,"Mississauga--Erindale/Mississauga--Erindale"," 115","Mississauga",28,20,6,14,0,1,69,267
35049,"Mississauga--Erindale/Mississauga--Erindale"," 116A","Mississauga",68,90,12,15,0,0,185,402
35049,"Mississauga--Erindale/Mississauga--Erindale"," 116B","Mississauga",48,74,9,4,2,0,137,331
35049,"Mississauga--Erindale/Mississauga--Erindale"," 117","Mississauga",32,24,3,6,0,0,65,178
35049,"Mississauga--Erindale/Mississauga--Erindale"," 118","Mississauga",67,48,13,30,0,0,158,511
35049,"Mississauga--Erindale/Mississauga--Erindale"," 119","Mississauga",46,21,2,7,0,2,78,231
35049,"Mississauga--Erindale/Mississauga--Erindale"," 120","Mississauga",68,65,10,27,0,0,170,466
35049,"Mississauga--Erindale/Mississauga--Erindale"," 121","Mississauga",47,22,8,17,0,0,94,336
35049,"Mississauga--Erindale/Mississauga--Erindale"," 122","Mississauga",105,102,24,24,1,1,257,513
35049,"Mississauga--Erindale/Mississauga--Erindale"," 123","Mississauga",56,80,22,10,0,0,168,340
35049,"Mississauga--Erindale/Mississauga--Erindale"," 124","Mississauga",88,116,19,27,0,0,250,418
35049,"Mississauga--Erindale/Mississauga--Erindale"," 125","Mississauga",39,64,10,15,0,0,128,269
35049,"Mississauga--Erindale/Mississauga--Erindale"," 126A","Mississauga",55,59,15,16,0,0,145,311
35049,"Mississauga--Erindale/Mississauga--Erindale"," 126B","Mississauga",61,54,12,24,1,0,152,304
35049,"Mississauga--Erindale/Mississauga--Erindale"," 127","Mississauga",92,111,34,20,1,1,259,424
35049,"Mississauga--Erindale/Mississauga--Erindale"," 128","Mississauga",62,47,4,16,0,0,129,255
35049,"Mississauga--Erindale/Mississauga--Erindale"," 129","Mississauga",84,123,14,28,0,1,250,449
35049,"Mississauga--Erindale/Mississauga--Erindale"," 130","Mississauga",95,84,4,14,0,0,197,371
35049,"Mississauga--Erindale/Mississauga--Erindale"," 131","Mississauga",109,142,15,11,0,0,277,504
35049,"Mississauga--Erindale/Mississauga--Erindale"," 132","Mississauga",18,58,4,7,0,0,87,169
35049,"Mississauga--Erindale/Mississauga--Erindale"," 133","Mississauga",60,63,11,10,0,0,144,291
35049,"Mississauga--Erindale/Mississauga--Erindale"," 134","Mississauga",44,63,11,8,0,0,126,248
35049,"Mississauga--Erindale/Mississauga--Erindale"," 135","Mississauga",53,41,10,15,1,1,121,247
35049,"Mississauga--Erindale/Mississauga--Erindale"," 136A","Mississauga",67,71,9,12,0,0,159,301
35049,"Mississauga--Erindale/Mississauga--Erindale"," 136B","Mississauga",65,49,8,16,1,3,142,273
35049,"Mississauga--Erindale/Mississauga--Erindale"," 137","Mississauga",101,138,13,24,0,0,276,539
35049,"Mississauga--Erindale/Mississauga--Erindale"," 138","Mississauga",65,58,10,12,1,1,147,313
35049,"Mississauga--Erindale/Mississauga--Erindale"," 139","Mississauga",90,132,10,14,1,0,247,496
35049,"Mississauga--Erindale/Mississauga--Erindale"," 140","Mississauga",79,78,20,11,0,2,190,408
35049,"Mississauga--Erindale/Mississauga--Erindale"," 141","Mississauga",69,72,9,14,1,0,165,348
35049,"Mississauga--Erindale/Mississauga--Erindale"," 142","Mississauga",45,43,2,6,0,0,96,201
35049,"Mississauga--Erindale/Mississauga--Erindale"," 143","Mississauga",57,66,6,6,0,0,135,315
35049,"Mississauga--Erindale/Mississauga--Erindale"," 144","Mississauga",18,16,11,10,0,0,55,208
35049,"Mississauga--Erindale/Mississauga--Erindale"," 145","Mississauga",43,35,4,12,1,1,96,336
35049,"Mississauga--Erindale/Mississauga--Erindale"," 146","Mississauga",50,31,7,12,0,0,100,206
35049,"Mississauga--Erindale/Mississauga--Erindale"," 147A","Mississauga",74,81,20,11,0,1,187,356
35049,"Mississauga--Erindale/Mississauga--Erindale"," 147B","Mississauga",56,51,4,11,1,2,125,304
35049,"Mississauga--Erindale/Mississauga--Erindale"," 148","Mississauga",73,82,18,17,0,0,190,399
35049,"Mississauga--Erindale/Mississauga--Erindale"," 149","Mississauga",96,80,14,13,0,0,203,338
35049,"Mississauga--Erindale/Mississauga--Erindale"," 150","Mississauga",65,51,7,16,0,0,139,293
35049,"Mississauga--Erindale/Mississauga--Erindale"," 151","Mississauga",102,156,22,22,0,0,302,503
35049,"Mississauga--Erindale/Mississauga--Erindale"," 152","Mississauga",46,78,15,13,1,0,153,344
35049,"Mississauga--Erindale/Mississauga--Erindale"," 153","Mississauga",104,139,29,24,0,1,297,517
35049,"Mississauga--Erindale/Mississauga--Erindale"," 154","Mississauga",47,68,8,14,0,0,137,255
35049,"Mississauga--Erindale/Mississauga--Erindale"," 155","Mississauga",48,55,23,10,0,1,137,243
35049,"Mississauga--Erindale/Mississauga--Erindale"," 156","Mississauga",70,126,24,11,0,2,233,403
35049,"Mississauga--Erindale/Mississauga--Erindale"," 157","Mississauga",68,106,22,22,0,1,219,343
35049,"Mississauga--Erindale/Mississauga--Erindale"," 158","Mississauga",40,91,17,4,0,0,152,264
35049,"Mississauga--Erindale/Mississauga--Erindale"," 159","Mississauga",68,79,10,20,0,0,177,318
35049,"Mississauga--Erindale/Mississauga--Erindale"," 160","Mississauga",47,61,18,16,0,0,142,282
35049,"Mississauga--Erindale/Mississauga--Erindale"," 161","Mississauga",59,88,28,29,0,0,204,365
35049,"Mississauga--Erindale/Mississauga--Erindale"," 162","Mississauga",33,61,7,10,0,2,113,276
35049,"Mississauga--Erindale/Mississauga--Erindale"," 163","Mississauga",62,76,17,27,2,3,187,401
35049,"Mississauga--Erindale/Mississauga--Erindale"," 164","Mississauga",68,76,17,11,1,1,174,293
35049,"Mississauga--Erindale/Mississauga--Erindale"," 165","Mississauga",68,57,6,17,0,0,148,323
35049,"Mississauga--Erindale/Mississauga--Erindale"," 166","Mississauga",70,70,10,17,0,0,167,320
35049,"Mississauga--Erindale/Mississauga--Erindale"," 167","Mississauga",80,93,20,20,1,0,214,364
35049,"Mississauga--Erindale/Mississauga--Erindale"," 168","Mississauga",76,111,32,25,0,0,244,450
35049,"Mississauga--Erindale/Mississauga--Erindale"," 169","Mississauga",56,92,30,31,1,1,211,359
35049,"Mississauga--Erindale/Mississauga--Erindale"," 170","Mississauga",117,94,22,33,1,1,268,518
35049,"Mississauga--Erindale/Mississauga--Erindale"," 171","Mississauga",90,76,10,15,0,2,193,479
35049,"Mississauga--Erindale/Mississauga--Erindale"," 172","Mississauga",107,69,3,18,2,1,200,447
35049,"Mississauga--Erindale/Mississauga--Erindale"," 173","Mississauga",34,41,10,6,3,0,94,227
35049,"Mississauga--Erindale/Mississauga--Erindale"," 174","Mississauga",105,64,9,29,0,0,207,467
35049,"Mississauga--Erindale/Mississauga--Erindale"," 175","Mississauga",99,78,9,18,0,0,204,427
35049,"Mississauga--Erindale/Mississauga--Erindale"," 176A","Mississauga",68,48,6,15,2,0,139,296
35049,"Mississauga--Erindale/Mississauga--Erindale"," 176B","Mississauga",53,72,6,17,0,0,148,281
35049,"Mississauga--Erindale/Mississauga--Erindale"," 177","Mississauga",59,56,12,24,0,0,151,315
35049,"Mississauga--Erindale/Mississauga--Erindale"," 178A","Mississauga",41,43,3,12,1,0,100,220
35049,"Mississauga--Erindale/Mississauga--Erindale"," 178B","Mississauga",55,61,13,18,1,1,149,252
35049,"Mississauga--Erindale/Mississauga--Erindale"," 179A","Mississauga",69,44,8,18,0,5,144,290
35049,"Mississauga--Erindale/Mississauga--Erindale"," 179B","Mississauga",63,47,11,8,2,0,131,260
35049,"Mississauga--Erindale/Mississauga--Erindale"," 180","Mississauga",116,101,10,15,1,1,244,469
35049,"Mississauga--Erindale/Mississauga--Erindale"," 181","Mississauga",68,72,10,8,0,0,158,328
35049,"Mississauga--Erindale/Mississauga--Erindale"," 182","Mississauga",78,81,7,7,1,0,174,352
35049,"Mississauga--Erindale/Mississauga--Erindale"," 183","Mississauga",103,81,5,18,0,2,209,419
35049,"Mississauga--Erindale/Mississauga--Erindale"," 184","Mississauga",90,81,14,11,0,5,201,386
35049,"Mississauga--Erindale/Mississauga--Erindale"," 185","Mississauga",68,87,10,14,0,0,179,366
35049,"Mississauga--Erindale/Mississauga--Erindale"," 186","Mississauga",62,69,6,12,0,1,150,367
35049,"Mississauga--Erindale/Mississauga--Erindale"," 187","Mississauga",98,74,15,18,0,0,205,493
35049,"Mississauga--Erindale/Mississauga--Erindale"," 188","Mississauga",58,65,8,11,0,0,142,309
35049,"Mississauga--Erindale/Mississauga--Erindale"," 189","Mississauga",50,36,4,11,0,0,101,284
35049,"Mississauga--Erindale/Mississauga--Erindale"," 190","Mississauga",82,41,6,15,1,1,146,366
35049,"Mississauga--Erindale/Mississauga--Erindale"," 191","Mississauga",65,63,5,12,0,1,146,380
35049,"Mississauga--Erindale/Mississauga--Erindale"," 192","Mississauga",124,107,10,31,1,1,274,573
35049,"Mississauga--Erindale/Mississauga--Erindale"," 193","Mississauga",93,106,11,14,0,1,225,408
35049,"Mississauga--Erindale/Mississauga--Erindale"," 194","Mississauga",62,69,5,21,0,0,157,297
35049,"Mississauga--Erindale/Mississauga--Erindale"," 195","Mississauga",107,99,12,16,0,1,235,485
35049,"Mississauga--Erindale/Mississauga--Erindale"," 196","Mississauga",77,107,24,19,2,1,230,475
35049,"Mississauga--Erindale/Mississauga--Erindale"," 197A","Mississauga",79,55,8,7,0,0,149,305
35049,"Mississauga--Erindale/Mississauga--Erindale"," 197B","Mississauga",59,69,14,14,0,0,156,321
35049,"Mississauga--Erindale/Mississauga--Erindale"," 198A","Mississauga",105,115,10,17,0,0,247,486
35049,"Mississauga--Erindale/Mississauga--Erindale"," 198B","Mississauga",132,112,10,19,4,0,277,496
35049,"Mississauga--Erindale/Mississauga--Erindale"," 199A","Mississauga",76,64,10,21,0,2,173,444
35049,"Mississauga--Erindale/Mississauga--Erindale"," 199B","Mississauga",106,50,4,8,0,1,169,444
35049,"Mississauga--Erindale/Mississauga--Erindale"," 199C","Mississauga",114,61,3,15,0,1,194,461
35049,"Mississauga--Erindale/Mississauga--Erindale"," 200","Mississauga",116,59,8,12,1,0,196,451
35049,"Mississauga--Erindale/Mississauga--Erindale"," 201","Mississauga",56,50,7,17,0,0,130,301
35049,"Mississauga--Erindale/Mississauga--Erindale"," 202","Mississauga",109,80,13,18,0,0,220,527
35049,"Mississauga--Erindale/Mississauga--Erindale"," 203","Mississauga",93,70,12,32,0,1,208,480
35049,"Mississauga--Erindale/Mississauga--Erindale"," 204","Mississauga",85,68,7,14,0,2,176,403
35049,"Mississauga--Erindale/Mississauga--Erindale"," 205","Mississauga",99,86,12,17,0,0,214,519
35049,"Mississauga--Erindale/Mississauga--Erindale"," 206","Mississauga",60,27,6,17,0,0,110,262
35049,"Mississauga--Erindale/Mississauga--Erindale"," 207A","Mississauga",72,75,7,12,0,0,166,387
35049,"Mississauga--Erindale/Mississauga--Erindale"," 207B","Mississauga",83,50,7,21,0,1,162,359
35049,"Mississauga--Erindale/Mississauga--Erindale"," 208","Mississauga",123,86,7,26,0,0,242,539
35049,"Mississauga--Erindale/Mississauga--Erindale"," 209A","Mississauga",81,46,10,15,0,0,152,311
35049,"Mississauga--Erindale/Mississauga--Erindale"," 209B","Mississauga",56,53,3,25,0,1,138,307
35049,"Mississauga--Erindale/Mississauga--Erindale"," 210","Mississauga",107,80,11,16,1,4,219,414
35049,"Mississauga--Erindale/Mississauga--Erindale"," 211","Mississauga",71,56,15,24,0,0,166,367
35049,"Mississauga--Erindale/Mississauga--Erindale"," 212","Mississauga",47,27,10,27,0,0,111,217
35049,"Mississauga--Erindale/Mississauga--Erindale"," 213A","Mississauga",94,72,6,13,1,0,186,345
35049,"Mississauga--Erindale/Mississauga--Erindale"," 213B","Mississauga",76,80,7,9,0,1,173,339
35049,"Mississauga--Erindale/Mississauga--Erindale"," 214","Mississauga",68,78,3,16,0,1,166,382
35049,"Mississauga--Erindale/Mississauga--Erindale"," 215","Mississauga",78,45,4,11,0,1,139,347
35049,"Mississauga--Erindale/Mississauga--Erindale"," 216","Mississauga",81,88,26,13,0,0,208,386
35049,"Mississauga--Erindale/Mississauga--Erindale"," 217","Mississauga",61,62,8,19,0,0,150,265
35049,"Mississauga--Erindale/Mississauga--Erindale"," 218","Mississauga",60,81,28,7,1,2,179,307
35049,"Mississauga--Erindale/Mississauga--Erindale"," 219","Mississauga",105,126,13,15,1,0,260,474
35049,"Mississauga--Erindale/Mississauga--Erindale"," 220","Mississauga",95,123,17,22,1,1,259,453
35049,"Mississauga--Erindale/Mississauga--Erindale"," 221","Mississauga",81,55,13,8,1,0,158,301
35049,"Mississauga--Erindale/Mississauga--Erindale"," 222","Mississauga",75,58,11,22,0,1,167,345
35049,"Mississauga--Erindale/Mississauga--Erindale"," 223","Mississauga",70,59,16,12,0,1,158,308
35049,"Mississauga--Erindale/Mississauga--Erindale"," 224","Mississauga",70,64,11,13,0,0,158,289
35049,"Mississauga--Erindale/Mississauga--Erindale"," 225","Mississauga",77,116,11,34,1,0,239,464
35049,"Mississauga--Erindale/Mississauga--Erindale"," 226","Mississauga",82,73,19,22,1,1,198,482
35049,"Mississauga--Erindale/Mississauga--Erindale"," 227","Mississauga",Merged with No. 225/Fusionné avec le nº 225,,,,,,,0
35049,"Mississauga--Erindale/Mississauga--Erindale"," 228","Mississauga",138,119,23,22,0,4,306,539
35049,"Mississauga--Erindale/Mississauga--Erindale"," 229","Mississauga",116,100,26,21,1,1,265,473
35049,"Mississauga--Erindale/Mississauga--Erindale"," 230","Mississauga",71,103,6,10,0,0,190,370
35049,"Mississauga--Erindale/Mississauga--Erindale"," 231","Mississauga",98,103,13,20,1,0,235,447
35049,"Mississauga--Erindale/Mississauga--Erindale"," 232","Mississauga",104,63,7,23,0,0,197,552
35049,"Mississauga--Erindale/Mississauga--Erindale"," 233","Mississauga",66,82,6,15,0,0,169,281
35049,"Mississauga--Erindale/Mississauga--Erindale"," 234","Mississauga",103,63,18,29,0,1,214,407
35049,"Mississauga--Erindale/Mississauga--Erindale"," 235","Mississauga",102,92,8,29,0,0,231,475
35049,"Mississauga--Erindale/Mississauga--Erindale"," 236A","Mississauga",76,49,10,25,0,0,160,294
