Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Allain,Carl Bainbridge,Alison Ménard,Brian Murphy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1A","Moncton",80,27,11,52,1,171,298
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 1B","Moncton",93,28,12,48,3,184,317
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 2","Moncton",82,27,15,30,2,156,273
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 3","Moncton",112,35,23,99,2,271,511
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 4","Moncton",125,27,18,70,0,240,462
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5A","Moncton",101,36,29,71,0,237,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 5B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6","Moncton",105,47,34,102,4,292,509
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 6-1","Moncton",67,17,9,39,0,132,250
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 7","Moncton",107,36,17,69,1,230,433
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 8","Moncton",110,45,27,83,1,266,450
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 9","Moncton",86,57,33,74,2,252,535
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10A","Moncton",63,36,14,48,1,162,327
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10B","Moncton",54,20,14,43,0,131,281
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 10-1","Moncton",126,41,26,106,0,299,515
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 11","Moncton",84,7,7,74,1,173,297
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 12","Moncton",107,15,20,99,0,241,420
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 13","Moncton",74,57,23,106,1,261,571
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14","Moncton",78,54,24,74,1,231,426
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 14-1","Moncton",68,30,23,50,0,171,382
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 15","Moncton",98,18,26,83,0,225,404
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 16","Moncton",31,29,15,34,1,110,346
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17","Moncton",59,31,19,63,0,172,319
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 17-1","Moncton",44,34,6,39,0,123,312
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 18","Moncton",58,41,19,58,2,178,378
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 19","Moncton",96,37,25,119,0,277,534
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 20","Moncton",53,51,21,45,0,170,353
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 21","Moncton",124,30,23,96,0,273,463
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 22","Moncton",33,19,3,16,0,71,194
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 23","Moncton",46,34,16,53,0,149,307
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 24","Moncton",98,34,21,113,0,266,439
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 25","Moncton",84,41,18,135,0,278,518
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 26","Moncton",66,32,15,49,0,162,413
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 27","Moncton",96,25,7,36,0,164,348
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 28","Moncton",30,32,14,45,2,123,360
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 29","Moncton",39,34,5,36,0,114,359
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 30","Moncton",35,28,15,30,1,109,275
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 31","Moncton",48,27,12,34,0,121,290
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 32","Moncton",50,28,13,44,0,135,376
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 33","Moncton",37,18,7,18,0,80,236
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34","Moncton",84,39,14,71,2,210,476
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 34-1","Moncton",72,28,17,56,2,175,398
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 35","Moncton",88,61,13,104,0,266,526
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 36","Moncton",54,35,5,61,2,157,333
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 37","Moncton",27,24,10,54,1,116,322
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 38","Moncton",38,58,25,52,0,173,428
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 39","Moncton",76,25,13,108,0,222,382
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 40","Moncton",33,27,9,48,0,117,280
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 41","Moncton",54,34,22,71,1,182,406
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 42","Moncton",37,30,13,55,1,136,312
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 43","Moncton",41,30,24,74,2,171,344
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 44","Moncton",35,35,17,58,1,146,369
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 45","Moncton",39,21,8,66,1,135,340
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 46","Moncton",19,17,20,60,2,118,255
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 47","Moncton",31,43,11,35,2,122,348
