Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Craig Batley,Lou Doderai,Randy Hoback,Valerie Mushinski,Amanda Judith Marie Smytaniuk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 1","Shellbrook",0,16,226,59,15,0,316,643
47006,"Prince Albert/Prince Albert"," 2","Holbein",2,7,96,55,10,0,170,326
47006,"Prince Albert/Prince Albert"," 3","Shellbrook",0,4,65,19,0,0,88,217
47006,"Prince Albert/Prince Albert"," 4","Shellbrook",1,15,109,45,6,0,176,325
47006,"Prince Albert/Prince Albert"," 5","Shellbrook",0,8,66,33,9,0,116,191
47006,"Prince Albert/Prince Albert"," 6","Shellbrook",1,4,71,41,2,0,119,232
47006,"Prince Albert/Prince Albert"," 7","Paddockwood",3,11,150,39,15,0,218,376
47006,"Prince Albert/Prince Albert"," 8","Meath Park",2,17,176,67,15,0,277,485
47006,"Prince Albert/Prince Albert"," 9","Albertville",0,13,96,30,5,1,145,238
47006,"Prince Albert/Prince Albert"," 10","Kalyna",0,6,90,27,5,0,128,274
47006,"Prince Albert/Prince Albert"," 11","Spruce Home",1,12,84,28,6,0,131,412
47006,"Prince Albert/Prince Albert"," 12","Henribourg",3,3,58,13,8,0,85,228
47006,"Prince Albert/Prince Albert"," 13A","Wahpeton 94A",0,4,47,31,2,1,85,167
47006,"Prince Albert/Prince Albert"," 13B","Wahpeton 94A",0,10,2,63,1,0,76,109
47006,"Prince Albert/Prince Albert"," 14","White Star",2,10,143,49,11,1,216,405
47006,"Prince Albert/Prince Albert"," 15","Red Wing",3,35,214,91,13,0,356,494
47006,"Prince Albert/Prince Albert"," 16","Buckland",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 17","Buckland",0,12,186,65,17,0,280,463
47006,"Prince Albert/Prince Albert"," 18","Prince Albert",1,14,162,81,18,0,276,526
