Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Claxton,Jake Gray,Ron Gray,Patrick Meyer,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Langley/Langley"," 1","Walnut Grove",5,5,0,6,29,0,45,56
59013,"Langley/Langley"," 1-1A","Langley",47,19,3,19,147,2,237,382
59013,"Langley/Langley"," 1-1B","Langley",20,17,0,15,129,3,184,387
59013,"Langley/Langley"," 2","Walnut Grove",33,21,1,56,129,0,240,381
59013,"Langley/Langley"," 3","Walnut Grove",23,31,3,19,185,0,261,446
59013,"Langley/Langley"," 4","Walnut Grove",61,53,2,59,214,1,390,601
59013,"Langley/Langley"," 5","Walnut Grove",21,15,4,23,65,0,128,234
59013,"Langley/Langley"," 6","McMillan Island 6",28,36,0,38,84,0,186,287
59013,"Langley/Langley"," 7","Walnut Grove",27,22,2,22,113,0,186,329
59013,"Langley/Langley"," 8A","Langley",23,27,1,10,138,0,199,445
59013,"Langley/Langley"," 8B","Langley",37,20,0,11,185,1,254,456
59013,"Langley/Langley"," 8-1A","Langley",34,40,1,19,169,0,263,437
59013,"Langley/Langley"," 8-1B","Langley",22,33,2,20,159,0,236,438
59013,"Langley/Langley"," 9","Langley",35,38,2,13,149,0,237,385
59013,"Langley/Langley"," 9-1A","Langley",50,34,1,19,162,0,266,532
59013,"Langley/Langley"," 9-1B","Langley",49,43,2,19,151,1,265,540
59013,"Langley/Langley"," 9-2","Langley",22,25,3,7,76,1,134,252
59013,"Langley/Langley"," 10","Milner",24,34,1,14,133,1,207,384
59013,"Langley/Langley"," 11A","Walnut Grove",18,29,2,11,132,2,194,376
59013,"Langley/Langley"," 11B","Walnut Grove",13,19,1,16,120,1,170,358
59013,"Langley/Langley"," 12A","Milner",29,21,4,9,104,1,168,327
59013,"Langley/Langley"," 12B","Milner",29,26,0,16,115,0,186,358
59013,"Langley/Langley"," 13","Forest Knolls",5,3,2,1,49,0,60,163
59013,"Langley/Langley"," 14","Forest Knolls",7,7,0,11,59,0,84,155
59013,"Langley/Langley"," 15","Walnut Grove",39,41,2,18,169,0,269,474
59013,"Langley/Langley"," 15-1","Langley",15,17,0,9,90,1,132,283
59013,"Langley/Langley"," 15-2","Langley",24,17,0,15,77,0,133,306
59013,"Langley/Langley"," 16","Fort Langley",51,35,1,56,154,1,298,492
59013,"Langley/Langley"," 17","Fort Langley",31,15,1,27,88,1,163,274
59013,"Langley/Langley"," 18","Fort Langley",42,53,0,37,110,0,242,361
59013,"Langley/Langley"," 19","Fort Langley",33,36,0,41,130,0,240,379
59013,"Langley/Langley"," 20","Forest Knolls",22,29,2,29,176,0,258,436
59013,"Langley/Langley"," 21","Forest Knolls",24,19,1,40,205,3,292,525
59013,"Langley/Langley"," 22","Glen Valley",43,22,9,32,249,1,356,567
59013,"Langley/Langley"," 23","Glen Valley",38,28,4,29,135,0,234,349
59013,"Langley/Langley"," 24","Glen Valley",44,35,1,23,121,1,225,462
59013,"Langley/Langley"," 25","Langley",43,32,4,26,177,1,283,536
59013,"Langley/Langley"," 26","Langley",52,23,1,22,122,1,221,396
59013,"Langley/Langley"," 27","Langley",37,17,1,24,91,0,170,271
59013,"Langley/Langley"," 28","Walnut Grove",28,25,2,31,131,0,217,322
59013,"Langley/Langley"," 29","Langley",22,21,1,39,126,0,209,376
59013,"Langley/Langley"," 30","Walnut Grove",47,20,1,27,144,0,239,368
59013,"Langley/Langley"," 31","Walnut Grove",33,26,2,20,121,0,202,349
59013,"Langley/Langley"," 32","Langley",56,24,3,33,184,0,300,493
59013,"Langley/Langley"," 33","Langley",45,24,3,12,129,0,213,369
59013,"Langley/Langley"," 34","Langley",30,28,0,22,107,0,187,294
59013,"Langley/Langley"," 35","Langley",44,35,2,19,180,0,280,486
59013,"Langley/Langley"," 36","Langley",29,44,5,26,230,0,334,497
59013,"Langley/Langley"," 36-1","Langley",25,21,0,4,94,0,144,213
59013,"Langley/Langley"," 37","Walnut Grove",28,19,4,16,135,1,203,284
59013,"Langley/Langley"," 38A","Langley",17,14,0,8,79,0,118,262
59013,"Langley/Langley"," 38B","Langley",19,5,0,4,49,0,77,111
59013,"Langley/Langley"," 38C","Langley",11,20,0,13,111,0,155,277
59013,"Langley/Langley"," 38-1","Langley",14,19,3,4,46,2,88,98
59013,"Langley/Langley"," 39","Walnut Grove",46,23,2,31,212,0,314,518
59013,"Langley/Langley"," 40","Langley",41,34,0,23,173,2,273,484
59013,"Langley/Langley"," 41","Langley",32,10,0,20,74,0,136,308
59013,"Langley/Langley"," 41-1","Langley",12,15,0,12,51,0,90,167
59013,"Langley/Langley"," 42","Langley",27,10,0,15,77,0,129,221
59013,"Langley/Langley"," 43","Walnut Grove",72,47,0,22,202,0,343,526
59013,"Langley/Langley"," 43-1","Langley",41,19,0,15,64,0,139,271
59013,"Langley/Langley"," 44","Walnut Grove",24,17,2,20,105,0,168,286
59013,"Langley/Langley"," 45","Langley",44,36,6,28,173,3,290,466
59013,"Langley/Langley"," 45-1","Langley",24,20,3,28,139,1,215,375
59013,"Langley/Langley"," 46","Langley",43,28,3,30,186,0,290,512
59013,"Langley/Langley"," 47","Langley",36,25,2,26,183,2,274,486
59013,"Langley/Langley"," 48","Langley",33,33,4,17,225,0,312,556
59013,"Langley/Langley"," 49","Langley",17,21,1,13,106,0,158,300
59013,"Langley/Langley"," 50","Langley",33,18,0,14,119,0,184,299
59013,"Langley/Langley"," 51","Langley",42,32,0,21,190,0,285,458
59013,"Langley/Langley"," 52","Langley",42,39,0,35,184,1,301,465
59013,"Langley/Langley"," 53","Walnut Grove",31,36,1,24,174,2,268,464
59013,"Langley/Langley"," 54","Langley",40,18,0,24,90,1,173,360
59013,"Langley/Langley"," 55","Langley",44,20,2,21,114,3,204,351
59013,"Langley/Langley"," 56","Langley",38,15,0,15,83,0,151,271
59013,"Langley/Langley"," 57","Langley",33,15,1,16,124,0,189,350
59013,"Langley/Langley"," 58","Langley",53,40,5,25,210,1,334,578
59013,"Langley/Langley"," 59","Langley",72,36,4,27,117,0,256,461
59013,"Langley/Langley"," 60","Langley",17,4,1,6,32,0,60,106
59013,"Langley/Langley"," 60-1","Langley",19,14,0,8,41,0,82,137
59013,"Langley/Langley"," 60-2","Langley",7,9,0,5,54,0,75,147
59013,"Langley/Langley"," 60-3A","Langley",43,34,3,22,148,0,250,495
59013,"Langley/Langley"," 60-3B","Langley",45,36,2,19,111,1,214,449
59013,"Langley/Langley"," 60-3C","Langley",19,17,2,3,68,1,110,125
59013,"Langley/Langley"," 60-3D","Langley",30,27,1,15,84,1,158,317
59013,"Langley/Langley"," 60-4A","Langley",42,28,3,18,121,0,212,424
59013,"Langley/Langley"," 60-4B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,41
59013,"Langley/Langley"," 61","Langley",26,11,0,6,152,0,195,306
59013,"Langley/Langley"," 62","Murrayville",20,10,3,4,74,1,112,161
59013,"Langley/Langley"," 63","Murrayville",18,12,8,9,79,0,126,185
59013,"Langley/Langley"," 64","Murrayville",30,26,5,25,182,0,268,444
59013,"Langley/Langley"," 65A","Milner",29,10,2,15,141,0,197,461
59013,"Langley/Langley"," 65B","Milner",11,8,8,18,181,0,226,270
59013,"Langley/Langley"," 66","Milner",32,20,2,19,158,0,231,429
59013,"Langley/Langley"," 67","Hopington",34,21,0,22,201,0,278,453
59013,"Langley/Langley"," 68","Hopington",41,18,7,23,141,2,232,361
59013,"Langley/Langley"," 69","Hopington",22,16,1,5,135,0,179,263
59013,"Langley/Langley"," 70","Hopington",42,26,3,28,234,0,333,484
59013,"Langley/Langley"," 71","Hopington",48,18,2,32,165,1,266,426
59013,"Langley/Langley"," 72","Hopington",23,24,2,8,104,0,161,225
59013,"Langley/Langley"," 73","Hopington",43,37,1,35,151,1,268,432
59013,"Langley/Langley"," 74","Hopington",36,34,4,37,194,0,305,487
59013,"Langley/Langley"," 75","Hopington",33,35,1,24,123,0,216,386
59013,"Langley/Langley"," 76","Hopington",36,9,4,23,107,0,179,274
59013,"Langley/Langley"," 77","Hopington",42,38,4,23,145,0,252,418
59013,"Langley/Langley"," 78A","Langley",34,24,0,18,67,0,143,330
59013,"Langley/Langley"," 78B","Langley",47,22,0,16,57,1,143,317
59013,"Langley/Langley"," 79","Langley",43,27,1,19,95,0,185,422
59013,"Langley/Langley"," 79-1","Langley",3,1,1,1,6,0,12,42
59013,"Langley/Langley"," 80","Langley",39,20,0,26,116,1,202,388
59013,"Langley/Langley"," 80-1","Langley",47,25,1,26,162,1,262,473
59013,"Langley/Langley"," 81","Langley",16,5,0,12,48,1,82,241
59013,"Langley/Langley"," 82","Langley",54,30,0,20,92,1,197,412
59013,"Langley/Langley"," 83","Langley",36,24,1,11,120,0,192,358
59013,"Langley/Langley"," 84","Langley",11,1,1,8,22,0,43,122
59013,"Langley/Langley"," 85","Langley",37,27,3,26,108,0,201,416
59013,"Langley/Langley"," 85-1","Langley",31,9,0,2,96,0,138,175
59013,"Langley/Langley"," 86","Langley",43,27,5,27,136,0,238,409
59013,"Langley/Langley"," 87","Langley",26,20,2,25,138,0,211,364
59013,"Langley/Langley"," 88","Langley",54,24,0,21,134,0,233,444
59013,"Langley/Langley"," 89","Langley",35,21,1,19,81,1,158,285
59013,"Langley/Langley"," 90A","Langley",39,18,0,16,84,0,157,306
59013,"Langley/Langley"," 90B","Langley",33,19,1,8,86,0,147,300
59013,"Langley/Langley"," 91","Langley",54,40,0,20,110,0,224,528
59013,"Langley/Langley"," 92","Langley",3,5,0,3,22,0,33,67
59013,"Langley/Langley"," 92-1","Langley",57,26,3,21,129,0,236,491
59013,"Langley/Langley"," 93","Langley",36,24,3,23,72,0,158,366
59013,"Langley/Langley"," 94","Langley",58,38,6,26,124,0,252,524
59013,"Langley/Langley"," 95","Langley",55,41,4,30,99,1,230,522
59013,"Langley/Langley"," 96","Langley",66,20,2,19,129,0,236,393
59013,"Langley/Langley"," 97","Langley",47,17,2,13,80,1,160,370
59013,"Langley/Langley"," 98","Langley",52,21,2,32,56,1,164,384
59013,"Langley/Langley"," 99","Langley",46,39,4,14,140,0,243,426
59013,"Langley/Langley"," 100","Langley",29,21,3,13,135,1,202,311
59013,"Langley/Langley"," 101","Langley",57,21,6,20,140,1,245,434
59013,"Langley/Langley"," 102","Langley",30,10,5,20,87,1,153,422
59013,"Langley/Langley"," 103","Langley",50,22,2,17,81,0,172,334
59013,"Langley/Langley"," 104","Langley",22,10,3,9,81,0,125,216
59013,"Langley/Langley"," 105","Langley",36,21,3,19,140,1,220,375
59013,"Langley/Langley"," 106","Langley",14,21,4,23,139,0,201,340
59013,"Langley/Langley"," 107","Langley",42,27,4,25,137,1,236,393
59013,"Langley/Langley"," 108","Langley",40,26,4,20,155,0,245,409
59013,"Langley/Langley"," 109","Langley",41,43,2,27,113,2,228,384
59013,"Langley/Langley"," 110","Langley",52,20,2,37,148,0,259,431
59013,"Langley/Langley"," 111","Langley",42,28,4,17,122,0,213,340
59013,"Langley/Langley"," 112","Langley",32,18,2,14,95,1,162,270
59013,"Langley/Langley"," 113","Langley",22,24,0,17,81,1,145,249
59013,"Langley/Langley"," 114","Langley",55,43,2,27,123,0,250,426
59013,"Langley/Langley"," 115","Langley",34,18,5,15,103,0,175,309
59013,"Langley/Langley"," 116","Langley",42,31,0,15,100,0,188,303
59013,"Langley/Langley"," 117","Langley",50,26,4,20,199,0,299,524
59013,"Langley/Langley"," 118","Langley",51,29,4,24,155,0,263,407
59013,"Langley/Langley"," 119","Langley",34,26,2,16,126,1,205,375
59013,"Langley/Langley"," 120","Langley",17,11,0,11,98,0,137,209
59013,"Langley/Langley"," 121","Langley",68,23,2,32,143,1,269,438
59013,"Langley/Langley"," 122","Langley",45,16,2,19,121,0,203,295
59013,"Langley/Langley"," 123","Langley",77,34,5,34,219,0,369,604
59013,"Langley/Langley"," 124","Langley",30,22,2,17,109,1,181,274
59013,"Langley/Langley"," 125","Langley",34,15,0,31,74,0,154,290
59013,"Langley/Langley"," 126","Brookswood",60,24,2,26,121,2,235,386
59013,"Langley/Langley"," 127","Langley",32,18,4,20,137,2,213,350
59013,"Langley/Langley"," 128","Langley",23,22,0,12,132,0,189,284
59013,"Langley/Langley"," 129","Langley",33,16,1,11,86,1,148,251
59013,"Langley/Langley"," 130","Langley",26,27,0,11,87,0,151,318
59013,"Langley/Langley"," 131","Brookswood",57,38,1,24,151,1,272,413
59013,"Langley/Langley"," 132","Langley",31,16,6,21,118,0,192,345
59013,"Langley/Langley"," 133","Langley",59,30,4,37,155,2,287,469
59013,"Langley/Langley"," 134","Langley",25,20,2,22,137,1,207,335
59013,"Langley/Langley"," 135","Langley",46,19,2,23,88,0,178,279
59013,"Langley/Langley"," 136","Langley",56,27,6,22,199,0,310,537
59013,"Langley/Langley"," 137","Langley",36,19,2,13,78,0,148,257
59013,"Langley/Langley"," 138","Langley",27,15,1,20,206,0,269,442
59013,"Langley/Langley"," 139","Langley",24,28,5,26,222,0,305,557
59013,"Langley/Langley"," 140","Langley",31,32,2,22,157,0,244,392
59013,"Langley/Langley"," 141","Langley",46,30,5,20,193,2,296,493
59013,"Langley/Langley"," 142","Langley",40,50,5,28,228,1,352,603
59013,"Langley/Langley"," 143","Langley",34,21,5,22,175,1,258,488
59013,"Langley/Langley"," 143-1","Langley",1,5,4,9,59,0,78,133
59013,"Langley/Langley"," 144","Langley",32,24,5,12,127,0,200,344
59013,"Langley/Langley"," 145","Langley",28,25,3,19,177,0,252,429
59013,"Langley/Langley"," 145-1","Langley",40,33,6,18,157,1,255,390
59013,"Langley/Langley"," 146","Langley",30,40,4,16,223,0,313,492
59013,"Langley/Langley"," 147","Langley",30,16,2,15,228,2,293,484
59013,"Langley/Langley"," 148","Langley",35,31,2,29,226,0,323,525
59013,"Langley/Langley"," 149","Langley",12,10,0,10,84,0,116,253
59013,"Langley/Langley"," 150","Langley",50,29,2,24,166,0,271,479
59013,"Langley/Langley"," 151","Langley",43,22,5,24,98,0,192,327
59013,"Langley/Langley"," 152","Langley",20,25,2,12,106,1,166,317
59013,"Langley/Langley"," 153","Langley",33,24,3,24,196,0,280,520
59013,"Langley/Langley"," 154","Langley",23,5,1,7,77,0,113,209
59013,"Langley/Langley"," 155","Langley",41,25,1,25,164,1,257,405
59013,"Langley/Langley"," 156","Langley",53,21,8,20,102,1,205,340
59013,"Langley/Langley"," 157","Langley",27,12,1,19,131,0,190,331
59013,"Langley/Langley"," 158","Fern Ridge",17,14,7,22,132,0,192,319
59013,"Langley/Langley"," 159","Langley",34,22,5,39,209,2,311,541
59013,"Langley/Langley"," 160","Fern Ridge",32,22,0,13,82,0,149,281
59013,"Langley/Langley"," 160-1","Langley",13,14,1,16,119,0,163,301
59013,"Langley/Langley"," 161","Langley",41,25,3,43,171,0,283,519
59013,"Langley/Langley"," 162","Langley",26,36,0,26,124,0,212,322
59013,"Langley/Langley"," 163","Aldergrove, Canadian Forces Station",42,31,2,6,104,1,186,382
59013,"Langley/Langley"," 164","Hopington",17,4,0,15,111,0,147,239
59013,"Langley/Langley"," 165","Aldergrove",25,30,0,11,121,0,187,344
59013,"Langley/Langley"," 166","Hopington",28,16,1,26,93,0,164,302
59013,"Langley/Langley"," 167","Hopington",44,13,3,24,113,0,197,400
59013,"Langley/Langley"," 168","Aldergrove",21,17,5,12,101,2,158,281
59013,"Langley/Langley"," 169","Aldergrove",41,21,0,19,121,1,203,398
59013,"Langley/Langley"," 170","Aldergrove",21,12,1,8,83,0,125,230
59013,"Langley/Langley"," 171","Aldergrove",20,19,3,26,132,0,200,325
59013,"Langley/Langley"," 172","Aldergrove",27,32,3,25,156,1,244,420
59013,"Langley/Langley"," 173","Aldergrove",22,19,1,23,128,0,193,289
59013,"Langley/Langley"," 174","Aldergrove",43,18,7,37,181,1,287,505
59013,"Langley/Langley"," 175","Aldergrove",15,23,0,18,90,1,147,307
59013,"Langley/Langley"," 176A","Matsqui 4",38,10,6,10,85,0,149,194
59013,"Langley/Langley"," 176B","Matsqui 4",30,8,0,11,95,0,144,199
59013,"Langley/Langley"," 177A","Langley",27,27,2,17,104,2,179,324
59013,"Langley/Langley"," 177B","Langley",29,15,4,20,115,0,183,325
59013,"Langley/Langley"," 178","Langley",76,28,6,35,173,0,318,541
59013,"Langley/Langley"," 179","Langley",35,15,1,16,94,0,161,309
59013,"Langley/Langley"," 180","Langley",27,11,3,17,99,0,157,290
59013,"Langley/Langley"," 181","Langley",25,10,3,11,80,0,129,229
59013,"Langley/Langley"," 182","Langley",69,11,1,17,107,1,206,443
59013,"Langley/Langley"," 183","Langley",67,18,1,24,116,1,227,484
59013,"Langley/Langley"," 184","Langley",44,15,4,17,117,0,197,353
59013,"Langley/Langley"," 185","Langley",42,22,4,23,147,0,238,408
59013,"Langley/Langley"," 186","Langley",31,17,10,6,136,0,200,326
59013,"Langley/Langley"," 186-1","Langley",30,19,6,18,120,1,194,366
59013,"Langley/Langley"," 187","Langley",40,23,1,21,89,0,174,344
59013,"Langley/Langley"," 187-1","Langley",29,24,0,17,92,0,162,340
59013,"Langley/Langley"," 188","Langley",65,15,6,27,124,2,239,411
59013,"Langley/Langley"," 189","Langley",36,14,0,10,83,0,143,307
59013,"Langley/Langley"," 190","Langley",41,15,1,16,89,1,163,350
59013,"Langley/Langley"," 191","Langley",59,31,2,34,133,2,261,505
59013,"Langley/Langley"," 192","Langley",47,18,4,26,130,1,226,446
59013,"Langley/Langley"," 193","Aldergrove",48,18,14,28,88,1,197,358
59013,"Langley/Langley"," 400","Langley",15,14,1,8,43,4,85,135
59013,"Langley/Langley"," 401","Langley",20,15,3,7,62,1,108,176
59013,"Langley/Langley"," 402","Langley",5,11,2,7,71,1,97,178
59013,"Langley/Langley"," 500","Mobile poll/Bureau itinérant",21,8,5,3,44,6,87,179
59013,"Langley/Langley"," 501","Mobile poll/Bureau itinérant",28,17,6,9,72,5,137,116
59013,"Langley/Langley"," 502","Mobile poll/Bureau itinérant",13,11,3,6,42,1,76,112
59013,"Langley/Langley"," 600","Walnut Grove--Fort Langley",115,93,6,69,512,0,795,
59013,"Langley/Langley"," 601","Walnut Grove--Fort Langley",0,1,0,3,8,0,12,
59013,"Langley/Langley"," 602","Walnut Grove--Fort Langley",14,13,0,17,80,0,124,
59013,"Langley/Langley"," 603","Langley--Hopington",82,64,3,31,438,0,618,
59013,"Langley/Langley"," 604","Langley",52,34,6,28,300,0,420,
59013,"Langley/Langley"," 605","Langley",33,20,2,18,137,0,210,
59013,"Langley/Langley"," 606","Langley",61,49,2,13,177,0,302,
59013,"Langley/Langley"," 607","Langley",33,34,4,16,141,3,231,
59013,"Langley/Langley"," 608","Langley",33,37,4,33,258,1,366,
59013,"Langley/Langley"," 609","Langley",29,15,3,23,92,1,163,
59013,"Langley/Langley"," 610","Aldergrove",24,14,1,12,124,0,175,
59013,"Langley/Langley"," 611","Langley",51,14,4,21,161,0,251,
59013,"Langley/Langley",,Group 1/Groupe 1,15,20,0,4,40,1,80,136
59013,"Langley/Langley",,Group 2/Groupe 2,102,81,6,64,524,11,788,

